diasuransikan	di @@asuransi @@kan
popularitas	popularitas
penerbitan	pen @@terbit @@an
pangkat	pangkat
pencatatan	pen @@catat @@an
mempertaruhkan	men @@taruh @@kan
datanya	data @@nya
dipecat	di @@pecat
handal	handal
bermartabat	ber @@martabat
mahasiswa	mahasiswa
mencerahkan	men @@cerah @@kan
antarpemilik	antar @@pen @@milik
demo	demo
parsial	parsial
diorganisasi	di @@organisasi
dikuatirkan	di @@kuatir @@kan
pekerjanya	pekerja @@nya
sebaran	sebar @@an
diderita	di @@derita
surgawinya	surgawi @@nya
fungsi	fungsi
sedih	sedih
dampaknya	dampak @@nya
memerankan	men @@peran @@kan
membuktikan	men @@bukti @@kan
ajaranmu	ajar @@an @@mu
ujarnya	ujar @@nya
irlandia	irlandia
balon	balon
lautnya	laut @@nya
mampu	mampu
merelakan	men @@rela @@kan
menggerakkan	men @@gerak @@kan
disalib	di @@salib
pemandu	pen @@pandu
tembakau	tembakau
memberatkan	men @@berat @@kan
merenungkan	men @@renung @@kan
dikategorikan	di @@kategori @@kan
gumuli	gumul @@i
budayanya	budaya @@nya
terhebat	ter @@hebat
bakti	bakti
membanting	men @@banting
berkulit	ber @@kulit
sedarah	se @@darah
keluarga	keluarga
bungkus	bungkus
mendiversifikasi	men @@diversifikasi
antusiasme	antusiasme
berujung	ber @@ujung
rasi	ras @@i
gajian	gaji @@an
kena	kena
memperlambat	men @@lambat
terhutang	ter @@hutang
meliputi	men @@liput @@i
seks	seks
dikukuhkan	di @@kukuh @@kan
dimediasi	di @@mediasi
pengeruk	pen @@keruk
penangguhan	pen @@tangguh @@an
kabarnya	kabar @@nya
mengucapkannya	men @@ucap @@kan @@nya
absensi	absensi
tenda	tenda
perolehannya	peroleh @@an @@nya
muatan	muat @@an
kata	kata
dibenarkan	di @@benar @@kan
duri	duri
perampok	pen @@rampok
gurun	gurun
olahragawan	olahraga @@wan
berhikmat	ber @@hikmat
email	email
tni	tn @@i
bimbang	bimbang
gerutuan	gerutu @@an
mengurai	men @@urai
perujukan	pen @@rujuk @@an
meracuni	men @@racun @@i
diketik	di @@ketik
rangka	rangka
rupanya	rupa @@nya
dikaji	di @@kaji
injil	injil
ditegur	di @@tegur
awalnya	awal @@nya
sahabat	sahabat
diakibatkan	di @@akibat @@kan
diubahnya	di @@ubah @@nya
kaca	kaca
hutang	hutang
bergosip	ber @@gosip
dicirikan	di @@ciri @@kan
menyembunyikan	men @@sembunyi @@kan
menyebrangi	men @@sebrang @@i
prestasi	prestasi
berserikat	ber @@serikat
yayasan	yayasan
inci	inci
diamati	di @@amati
indikasinya	indikasi @@nya
membungkuk	men @@bungkuk
diberatkan	di @@berat @@kan
sukacitanya	sukacita @@nya
tahunan	tahun @@an
anjing	anjing
turnamen	turnamen
menyukseskan	men @@sukses @@kan
hambatannya	hambat @@an @@nya
nyonya	nyonya
terpendam	ter @@pendam
terkejut	ter @@kejut
monitornya	monitor @@nya
instalasi	instalasi
terpasang	ter @@pasang
dorongan	dorong @@an
gereja	gereja
proyeknya	proyek @@nya
musium	musium
kriteria	kriteria
pelantikan	pen @@lantik @@an
tomat	tomat
entri	entri
pukul	pukul
membelanjakan	men @@belanja @@kan
antarpengurus	antar @@pen @@urus
berpribadi	ber @@pribadi
potensial	potensial
diklasifikasi	di @@klasifikasi
menjadikannya	men @@jadi @@kan @@nya
pelelangan	pen @@lelang @@an
tingkatannya	tingkat @@an @@nya
diartikan	di @@arti @@kan
materi	materi
larangan	larang @@an
dituliskan	di @@tulis @@kan
terkelola	ter @@kelola
menindak	men @@tindak
petang	petang
terelakkan	ter @@elak @@kan
abad	abad
pendidik	pen @@didik
pembenci	pen @@benci
puji	puji
jarimu	jari @@mu
melewatkan	men @@lewat @@kan
orangtuaku	orangtua @@aku
demobilisasi	demobilisasi
melebur	men @@lebur
didatangkan	di @@datang @@kan
membiarnya	men @@biar @@nya
strukturnya	struktur @@nya
pundak	pundak
dibabat	di @@babat
berbincang	ber @@bincang
membela	men @@bela
cetakan	cetak @@an
bakatnya	bakat @@nya
merumuskan	men @@rumus @@kan
asosiasi	asosiasi
terima	terima
soda	soda
dililiti	di @@lilit @@i
rasio	rasio
dikapalkan	di @@kapal @@kan
meramalkan	men @@ramal @@kan
cermat	cermat
cerdas	cerdas
ditaklukkan	di @@takluk @@kan
asin	asin
memperhitungkan	men @@hitung @@kan
berlipat	ber @@lipat
liar	liar
bersesuaian	ber @@sesuai @@an
pertanaman	per @@tanam @@an
ketidakefisienan	ke @@tidak @@efisien @@an
tersita	ter @@sita
situasi	situasi
mengkreditnya	men @@kredit @@nya
mesir	mesir
disidangkan	di @@sidang @@kan
bersepakat	ber @@sepakat
dilalui	di @@lalu @@i
tempuh	tempuh
menyusutnya	men @@susut @@nya
rajin	rajin
menaruhnya	men @@taruh @@nya
fotokopi	fotokopi
perdagangan	per @@dagang @@an
organisasinya	organisasi @@nya
bebanmu	beban @@mu
memerdekakan	men @@merdeka @@kan
termutakhir	ter @@mutakhir
kunjungannya	kunjung @@an @@nya
berbakat	ber @@bakat
kerah	kerah
diwajibkan	di @@wajib @@kan
eksploitasi	eksploitasi
hiasan	hias @@an
ketidakjujuran	ke @@tidak @@jujur @@an
peraturannya	per @@atur @@an @@nya
direndahkan	di @@rendah @@kan
ciptaan	cipta @@an
melambat	men @@lambat
kuantitas	kuantitas
antargenerasi	antar @@generasi
jatuhkan	jatuh @@kan
yusuf	yusuf
peserta	peserta
diharapkannya	di @@harap @@kan @@nya
direkrutnya	di @@rekrut @@nya
reksa	reksa
bersinggungan	ber @@singgung @@an
digeluti	di @@gelut @@i
surat	surat
buntu	buntu
keberangkatannya	ke @@berangkat @@an @@nya
raya	raya
gaya	gaya
tobat	tobat
dikelompokkan	di @@kelompok @@kan
peminjam	pen @@pinjam
berwenang	ber @@wenang
dimutakhirkan	di @@mutakhir @@kan
diestimasi	di @@estimasi
dilimpahkan	di @@limpah @@kan
takarannya	takar @@an @@nya
diserahkan	di @@serah @@kan
menyebutnya	men @@sebut @@nya
petugas	petugas
diselidiki	di @@selidik @@i
mengajaknya	men @@ajak @@nya
kaumnya	kaum @@nya
memperebutkan	men @@rebut @@kan
penggagas	pen @@gagas
mawar	mawar
cemburu	cemburu
terabaikan	ter @@abai @@kan
berhenti	ber @@henti
babak	babak
sekunder	sekunder
aspek	aspek
menggelora	men @@gelora
berfirman	ber @@firman
pilihannya	pilih @@an @@nya
piranti	piranti
insentif	insentif
kekalnya	kekal @@nya
penempatan	pen @@tempat @@an
dibalik	di @@balik
transparannya	transparan @@nya
hak	hak
entrinya	entri @@nya
jijik	jijik
bernyanyi	ber @@nyanyi
menciprat	men @@ciprat
penekanan	pen @@tekan @@an
kuadrat	kuadrat
penentuannya	pen @@tentu @@an @@nya
diilhamkan	di @@ilham @@kan
otomotif	otomotif
bentuknya	bentuk @@nya
dimaknai	di @@makna @@i
membolos	men @@bolos
ambisi	ambisi
pisang	pisang
melimpahi	men @@limpah @@i
hulu	hulu
mudahnya	mudah @@nya
inginkan	ingin @@kan
peredaran	per @@edar @@an
berprasangka	ber @@prasangka
direalisasikan	di @@realisasi @@kan
mendirikannya	men @@diri @@kan @@nya
difokuskan	di @@fokus @@kan
makan	makan
catatannya	catat @@an @@nya
noninfrastruktur	non @@infrastruktur
lompatan	lompat @@an
direka	di @@reka
positif	positif
dikasihinya	di @@kasih @@i @@nya
demokrasi	demokrasi
kekasihnya	kekasih @@nya
pembaharuan	pen @@baharu @@an
diagnosa	diagnosa
genggaman	genggam @@an
tajam	tajam
terompet	terompet
lampiran	lampir @@an
surut	surut
pembantu	pen @@bantu
gerak	gerak
jalar	jalar
pakar	pakar
mayat	mayat
berterima	ber @@terima
mencalonkan	men @@calon @@kan
nenek	nenek
ikatan	ikat @@an
fleksibel	fleksibel
samudera	samudera
asistennya	asisten @@nya
bertakhta	ber @@takhta
pendapatannya	pen @@dapat @@an @@nya
penghujat	pen @@hujat
ironisnya	ironis @@nya
menyedihkannya	men @@sedih @@kan @@nya
pangkalan	pangkal @@an
dijumlahkan	di @@jumlah @@kan
gila	gila
kaki	kaki
dibiasakan	di @@biasa @@kan
sebagus	se @@bagus
berdomisili	ber @@domisili
estimasi	estimasi
tersegmentasi	ter @@segmentasi
parkir	parkir
singkatnya	singkat @@nya
tubuhmu	tubuh @@mu
satkernya	satker @@nya
dipungut	di @@pungut
cari	cari
rayakan	raya @@kan
janji	janji
kuliah	kuliah
penggabungan	pen @@gabung @@an
ditulisi	di @@tulis @@i
dipegangnya	di @@pegang @@nya
ambivalen	ambivalen
menanamkan	men @@tanam @@kan
terencana	ter @@rencana
sesaat	se @@saat
pemerintahannya	pen @@perintah @@an @@nya
potong	potong
seintensif	se @@intensif
dibakar	di @@bakar
subkontrak	subkontrak
mempersoalkan	men @@soal @@kan
pertumbuhan	per @@tumbuh @@an
dananya	dana @@nya
grup	grup
serunya	seru @@nya
tekun	tekun
dikhotbahkan	di @@khotbah @@kan
memegangnya	men @@pegang @@nya
mengecam	men @@kecam
sebutkan	sebut @@kan
terparkir	ter @@parkir
peninjauan	pen @@tinjau @@an
menutupi	men @@tutup @@i
penataan	pen @@tata @@an
genggam	genggam
penyaliban	pen @@salib @@an
teriknya	terik @@nya
mabuk	mabuk
dianugerahkan	di @@anugerah @@kan
diusahakannya	di @@usaha @@kan @@nya
menunduk	men @@tunduk
perumusan	pen @@rumus @@an
disediakan	di @@sedia @@kan
berlibur	ber @@libur
bertahun	ber @@tahun
bertenun	ber @@tenun
iblis	iblis
pemeringkatan	pen @@peringkat @@an
memungutnya	men @@pungut @@nya
tangkap	tangkap
liputan	liput @@an
terungkapkan	ter @@ungkap @@kan
diberi	di @@beri
komoditasnya	komoditas @@nya
memperbesar	men @@besar
anggapan	anggap @@an
moral	moral
tuhan	tuhan
mencukupi	men @@cukup @@i
janin	janin
temannya	teman @@nya
provinsi	provinsi
putuskan	putus @@kan
mengajukannya	men @@aju @@kan @@nya
disangka	di @@sangka
murid	murid
tertampung	ter @@tampung
terbukti	ter @@bukti
moneter	moneter
menduplikasi	men @@duplikasi
diberlakukan	di @@ber @@laku @@kan
pesatnya	pesat @@nya
mungil	mungil
menaruh	men @@taruh
didukung	di @@dukung
gangguan	ganggu @@an
kantornya	kantor @@nya
isterinya	isteri @@nya
menopangnya	men @@topang @@nya
mesra	mesra
kerumunan	kerumun @@an
perangkap	pen @@rangkap
diutamakan	di @@utama @@kan
dibangku	di @@bangku
formasi	formasi
sekutunya	sekutu @@nya
nasib	nasib
lantunan	lantun @@an
bergoncang	ber @@goncang
risikonya	risiko @@nya
punah	punah
darahnya	darah @@nya
ketidakadaan	ke @@tidak @@ada @@an
skema	skema
nonkontrak	non @@kontrak
pembeda	pen @@beda
hotelnya	hotel @@nya
menolongnya	men @@tolong @@nya
memperbarui	men @@baru @@i
berdampak	ber @@dampak
cap	cap
girangnya	girang @@nya
pengertiannya	pengertian @@nya
kebagian	ke @@bagi @@an
pengarahannya	pen @@arah @@an @@nya
mendamaikan	men @@damai @@kan
tersisa	ter @@sisa
gugup	gugup
insinyur	insinyur
campur	campur
propinsi	propinsi
menyebabkan	men @@sebab @@kan
memilihnya	men @@pilih @@nya
berdebar	ber @@debar
polanya	pola @@nya
aturannya	atur @@an @@nya
temanmu	teman @@mu
prajurit	prajurit
ditelanjangi	di @@telanjang @@i
bersorak	ber @@sorak
berbeda	ber @@beda
mengungkapkannya	men @@ungkap @@kan @@nya
berkinerja	ber @@kinerja
as	as
menyayangkan	men @@sayang @@kan
menjangkiti	men @@jangkit @@i
batasan	batas @@an
semasa	se @@masa
daftarnya	daftar @@nya
dilembagakan	di @@lembaga @@kan
menyumbang	men @@sumbang
kampusnya	kampus @@nya
berwibawa	ber @@wibawa
antarmasyarakat	antar @@masyarakat
rentan	rentan
tekadnya	tekad @@nya
peluru	peluru
noda	noda
poster	poster
kedatangan	ke @@datang @@an
merosot	merosot
makna	makna
bedah	bedah
belanjanya	belanja @@nya
logam	logam
tuntasnya	tuntas @@nya
pertentangan	per @@tentang @@an
penanaman	pen @@tanam @@an
paruh	paruh
terpancar	ter @@pancar
bercampur	ber @@campur
transformasi	transformasi
mengklasifikasikan	men @@klasifikasi @@kan
penyelesaiannya	pen @@selesai @@an @@nya
rintangan	rintang @@an
seakurat	se @@akurat
terpercaya	ter @@percaya
penjaga	pen @@jaga
berkekurangan	ber @@ke @@kurang @@an
dokumen	dokumen
serap	serap
diagunkan	di @@agun @@kan
harap	harap
tolongku	tolong @@ku
jauh	jauh
sembuh	sembuh
studi	studi
antarkomunitas	antar @@komunitas
ramalannya	ramal @@an @@nya
bergumul	ber @@gumul
penyegelan	pen @@segel @@an
nontarif	non @@tarif
diurus	di @@urus
antarbidang	antar @@bidang
rekan	rekan
variabel	variabel
penyelenggaraan	pen @@selenggara @@an
menemaninya	men @@teman @@i @@nya
membengkak	men @@bengkak
merenovasi	men @@renovasi
ditaruh	di @@taruh
keluh	keluh
mencatat	men @@catat
dirham	dirham
menentangnya	men @@tentang @@nya
akrab	akrab
arab	arab
berkarakteristik	ber @@karakteristik
komputerisasi	komputerisasi
sombong	sombong
menikah	men @@nikah
menggaji	men @@gaji
membentuk	men @@bentuk
eksportir	eksportir
tugas	tugas
terbawa	ter @@bawa
unggun	unggun
dikenali	di @@kenal @@i
ditimpakan	di @@timpa @@kan
bersama	ber @@sama
bapamu	bapa @@mu
insiden	insiden
tombol	tombol
seriusnya	serius @@nya
evaluasinya	evaluasi @@nya
bom	bom
dilatarbelakangi	di @@latarbelakang @@i
mendesaknya	men @@desak @@nya
kaos	kaos
vakum	vakum
perbaikan	per @@baik @@an
injeksikan	injeksi @@kan
menggariskan	men @@garis @@kan
lapar	lapar
nonpersonel	non @@personel
terbaca	ter @@baca
dibentuknya	di @@bentuk @@nya
dipercayakan	di @@percaya @@kan
ketidakakuratan	ke @@tidak @@akurat @@an
berkeramik	ber @@keramik
dihubungi	di @@hubung @@i
berbekal	ber @@bekal
topinya	top @@i @@nya
pengangkatannya	pen @@angkat @@an @@nya
terenggut	ter @@renggut
tersentak	ter @@sentak
bis	bis
sibuk	sibuk
mengkampanyekan	men @@kampanye @@kan
dimasukkannya	di @@masuk @@kan @@nya
sepupu	sepupu
mengikrarkan	men @@ikrar @@kan
perannya	peran @@nya
dinas	dinas
berhemat	ber @@hemat
batu	batu
pengurutan	pen @@urut @@an
lokalnya	lokal @@nya
digadai	di @@gadai
kuno	kuno
dicermati	di @@cermat @@i
terbalik	ter @@balik
sirkuit	sirkuit
pemungut	pen @@pungut
akhirnya	akhir @@nya
kupikir	ku @@pikir
diberkati	di @@berkat @@i
melindungi	men @@lindung @@i
diperkuat	di @@per @@kuat
konteks	konteks
antardesanya	antar @@desa @@nya
mengingatmu	men @@ingat @@mu
dekat	dekat
mewarisi	men @@waris @@i
merahasiakan	men @@rahasia @@kan
mengenakannya	men @@kena @@kan @@nya
pertikaian	pertikaian
terkandung	ter @@kandung
absennya	absen @@nya
terusir	ter @@usir
perkebunan	per @@kebun @@an
induk	induk
kunjungi	kunjung @@i
haknya	hak @@nya
membutuhkan	men @@butuh @@kan
direkonstruksi	di @@rekonstruksi
ruangan	ruang @@an
dihapuskannya	di @@hapus @@kan @@nya
finansial	finansial
bermain	ber @@main
selidiki	selidik @@i
dipaksa	di @@paksa
berurutan	ber @@urut @@an
ketidakpekaan	ke @@tidak @@peka @@an
dikoleksi	di @@koleksi
geografi	geografi
antikristus	anti @@kristus
selusin	se @@lusin
berfluktuasi	ber @@fluktuasi
sepele	sepele
perwakilannya	per @@wakil @@an @@nya
mendengarkannya	men @@dengar @@kan @@nya
penyaluran	pen @@salur @@an
absen	absen
tafsirannya	tafsir @@an @@nya
diangkat	di @@angkat
menggembalakan	men @@gembala @@kan
terkesan	ter @@kesan
bermusyawarah	ber @@musyawarah
meminjamkan	men @@pinjam @@kan
pengkhianatan	pen @@khianat @@an
separuh	se @@paruh
inefisiensi	inefisiensi
tetesan	tetes @@an
sarangnya	sarang @@nya
pendayagunaan	pen @@dayaguna @@an
digunakan	di @@guna @@kan
berlutut	ber @@lutut
dilemparkan	di @@lempar @@kan
menghubungi	men @@hubung @@i
antarnegara	antar @@negara
timur	timur
hektar	hektar
menggolkan	men @@gol @@kan
permulaannya	per @@mula @@an @@nya
dikelolanya	di @@kelola @@nya
dipersembahkan	di @@per @@sembah @@kan
pemeluk	pen @@peluk
semang	semang
rasuli	rasul @@i
menggantikan	men @@ganti @@kan
membocorkan	men @@bocor @@kan
meriamnya	meriam @@nya
politis	politis
berat	berat
mengkompensasi	men @@kompensasi
kudus	kudus
memberitakan	men @@berita @@kan
terdalamnya	ter @@dalam @@nya
beban	beban
bubungan	bubung @@an
gembala	gembala
terlintas	ter @@lintas
kemajuannya	ke @@maju @@an @@nya
kagum	kagum
sekadarnya	se @@kadar @@nya
penelitian	pen @@teliti @@an
eksteriornya	eksterior @@nya
harganya	harga @@nya
tangki	tangki
dimata	di @@mata
mendiami	men @@diam @@i
penyuapan	pen @@suap @@an
menggenggam	men @@genggam
latar	latar
bulannya	bulan @@nya
jangkau	jangkau
belakangan	belakang @@an
dibubarkannya	di @@bubar @@kan @@nya
memicu	men @@picu
mengingkari	men @@ingkar @@i
memperkarakan	men @@perkara @@kan
dipinjamkan	di @@pinjam @@kan
penyelarasan	pen @@selaras @@an
pertambangan	per @@tambang @@an
beredar	ber @@edar
selisih	selisih
stiker	stiker
sampah	sampah
berlangsung	ber @@langsung
ditebus	di @@tebus
menjelaskannya	men @@jelas @@kan @@nya
mendiskriminasi	men @@diskriminasi
menyapanya	men @@sapa @@nya
peningkatannya	pen @@tingkat @@an @@nya
berpacaran	ber @@pacar @@an
perusakan	pen @@rusak @@an
ulang	ulang
ditabungkan	di @@tabung @@kan
membinasakan	men @@binasa @@kan
rasional	rasional
berbelanja	ber @@belanja
paruhnya	paruh @@nya
babakan	babak @@an
berkualitas	ber @@kualitas
diliputi	di @@liput @@i
parah	parah
mengartikan	men @@arti @@kan
dilengkapi	di @@lengkap @@i
upahan	upah @@an
merekam	men @@rekam
kongres	kongres
terkaya	ter @@kaya
liberal	liberal
penggunaan	pen @@guna @@an
relevan	relevan
kelopak	kelopak
rasial	rasial
seabad	se @@abad
secanggih	se @@canggih
penyemprot	pen @@semprot
merumput	men @@rumput
pertandingannya	per @@tanding @@an @@nya
bersemangat	ber @@semangat
pencegahan	pen @@cegah @@an
menghitungnya	men @@hitung @@nya
berhitung	ber @@hitung
pergerakan	per @@gerak @@an
cerdik	cerdik
pemaksaan	pen @@paksa @@an
berkurang	ber @@kurang
telaah	telaah
ditiru	di @@tiru
sendiri	sendiri
kajian	kaji @@an
diijinkan	di @@ijin @@kan
berjanji	ber @@janji
siaran	siar @@an
instruksi	instruksi
berterus	ber @@terus
kumpul	kumpul
menghujat	men @@hujat
sebatas	se @@batas
menghibur	men @@hibur
intim	intim
metrik	metrik
altar	altar
prioritas	prioritas
sahnya	sah @@nya
bapanya	bapa @@nya
stagnan	stagnan
mengajak	men @@ajak
melintas	men @@lintas
simbolis	simbolis
metode	metode
amanat	amanat
diluncurkan	di @@luncur @@kan
tangga	tangga
dilupakan	di @@lupa @@kan
pemakai	pen @@pakai
menyinggung	men @@singgung
memberi	men @@beri
didengarnya	di @@dengar @@nya
daur	daur
ketidakjelasan	ke @@tidak @@jelas @@an
menyelubungi	men @@selubung @@i
hinaan	hina @@an
menamakan	men @@nama @@kan
menyebabkannya	men @@sebab @@kan @@nya
mantan	mantan
penagihan	pen @@tagih @@an
seiring	seiring
tindakan	tindak @@an
nonteknis	nonteknis
keterlibatannya	ke @@terlibat @@an @@nya
terciptanya	ter @@cipta @@nya
duniawi	duniawi
mencocokkannya	men @@cocok @@kan @@nya
terserah	ter @@serah
ketidaksetiaan	ke @@tidak @@setia @@an
membawakan	men @@bawa @@kan
disederhanakan	di @@sederhana @@kan
menyimpulkan	men @@simpul @@kan
mengakomodasi	men @@akomodasi
acuh	acuh
diakhiri	di @@akhir @@i
menelepon	men @@telepon
mengakibatkan	men @@akibat @@kan
diajarkan	di @@ajar @@kan
ditekankan	di @@tekan @@kan
mendewakan	men @@dewa @@kan
implikasi	implikasi
tim	tim
dikasihi	di @@kasih @@i
menggoyang	men @@goyang
pengurus	pen @@urus
berbatu	ber @@batu
bantu	bantu
kejadiannya	ke @@jadi @@an @@nya
tertinggi	ter @@tinggi
marah	marah
memberitahuku	men @@beritahu @@ku
sumber	sumber
rawa	rawa
berkemungkinan	ber @@kemungkinan
fasilitas	fasilitas
diasingkan	di @@asing @@kan
mengusir	men @@usir
populasinya	populasi @@nya
kesediaan	ke @@sedia @@an
gerejanya	gereja @@nya
disalurkan	di @@salur @@kan
membedah	men @@bedah
berbahagia	ber @@bahagia
menghayati	men @@hayat @@i
memperbudak	men @@budak
situsnya	situs @@nya
validasi	validasi
tulis	tulis
pelaporan	pen @@lapor @@an
memutuskan	men @@putus @@kan
mengefektifkan	men @@efektif @@kan
diterapkannya	di @@terap @@kan @@nya
bersejarah	ber @@sejarah
bandara	bandara
badai	badai
terindah	ter @@indah
dianggapnya	di @@anggap @@nya
sisiku	sisi @@ku
disinggung	di @@singgung
lontar	lontar
menjangkau	men @@jangkau
angkatan	angkat @@an
memfasilitasi	men @@fasilitas @@i
peranannya	peran @@an @@nya
gembiranya	gembira @@nya
marinir	marinir
meliput	men @@liput
mengakar	men @@akar
terpuruk	ter @@puruk
kepingan	keping @@an
patung	patung
getaran	getar @@an
menuntun	men @@tuntun
menyaingi	men @@saing @@i
sesuai	sesuai
tagihan	tagih @@an
singapura	singapura
sipil	sipil
memakai	men @@pakai
enggan	enggan
dibutuhkan	di @@butuh @@kan
pala	pala
pesaingnya	pesaing @@nya
dibariskan	di @@baris @@kan
berdetak	ber @@detak
ratifikasi	ratifikasi
berkesusahan	ber @@ke @@susah @@an
antarkomoditas	antar @@komoditas
bangga	bangga
sekeluarga	se @@keluarga
statusnya	status @@nya
sanjungan	sanjung @@an
membatalkan	men @@batal @@kan
diredupkan	di @@redup @@kan
server	server
keraskan	keras @@kan
membuangnya	men @@buang @@nya
perdarahan	per @@darah @@an
menimba	men @@timba
menetesnya	men @@tetes @@nya
diajukannya	di @@aju @@kan @@nya
sanggup	sanggup
menakar	men @@takar
sisinya	sisi @@nya
merintangi	men @@rintang @@i
memamerkan	men @@pamer @@kan
percontohan	per @@contoh @@an
skornya	skor @@nya
berkesudahan	ber @@ke @@sudah @@an
menyenangkan	men @@senang @@kan
dipatok	di @@patok
jarak	jarak
bidikannya	bidik @@an @@nya
puluhan	puluh @@an
mengoper	men @@koper
rumput	rumput
hunian	huni @@an
penunjukkan	penunjukkan
sungkan	sungkan
korupsi	korupsi
regulasi	regulasi
dihormatinya	di @@hormat @@i @@nya
disetujui	di @@setuju @@i
mengentaskan	men @@entas @@kan
diminimalkan	di @@minimal @@kan
terurus	ter @@urus
diyakininya	di @@yakin @@i @@nya
susulan	susul @@an
diteladani	di @@teladan @@i
pengusiran	pen @@usir @@an
melobi	men @@lobi
mencakupi	men @@cakup @@i
aula	aula
berita	berita
rehabilitasinya	rehabilitasi @@nya
danau	danau
berkeyakinan	ber @@ke @@yakin @@an
pengamatannya	pengamat @@an @@nya
lengkap	lengkap
antarorangtua	antar @@orangtua
kehendak	kehendak
perbendaharaan	per @@bendahara @@an
baju	baju
dipajang	di @@pajang
menyajikan	men @@saji @@kan
hambaku	hamba @@aku
taburkan	tabur @@kan
memunculkan	men @@muncul @@kan
binatang	binatang
bersekutu	ber @@sekutu
diperparah	di @@per @@parah
dikompensasikan	di @@kompensasi @@kan
membayarnya	men @@bayar @@nya
posisinya	posisi @@nya
terbenam	ter @@benam
menggosipkan	men @@gosip @@kan
mendistribusi	men @@distribusi
penanda	pen @@tanda
teori	teori
prasarana	prasarana
direncanakan	di @@rencana @@kan
penambak	pen @@tambak
membongkar	men @@bongkar
mengembalikan	men @@kembali @@kan
mekar	mekar
bensin	bensin
mencerna	men @@cerna
stoknya	stok @@nya
tangis	tangis
defensif	defensif
terbelenggu	ter @@belenggu
didalam	di @@dalam
tersingkap	ter @@singkap
didiskualifikasi	di @@diskualifikasi
persebaran	per @@sebar @@an
mencobai	men @@coba @@i
menyalahgunakan	men @@salahguna @@kan
meluap	men @@luap
motivasinya	motivasi @@nya
perumpamaannya	per @@umpama @@an @@nya
memudar	men @@pudar
moyang	moyang
dagangan	dagang @@an
dindingnya	dinding @@nya
berdurasi	ber @@durasi
meningkatkan	men @@tingkat @@kan
dikirimkan	di @@kirim @@kan
menyuburkan	men @@subur @@kan
pengunjuk	pen @@unjuk
memampukan	men @@mampu @@kan
bermerek	ber @@merek
disana	di @@sana
menyerbu	men @@serbu
konservatif	konservatif
pendengarnya	pen @@dengar @@nya
pertengahan	per @@tengah @@an
mobilisasi	mobilisasi
reaksinya	reaksi @@nya
beroperasi	ber @@operasi
dendam	dendam
disemayamkan	di @@semayam @@kan
kontraknya	kontrak @@nya
kriterianya	kriteria @@nya
tercetak	ter @@cetak
terpanjang	ter @@panjang
libur	libur
habitat	habitat
dihibur	di @@hibur
akuratnya	akurat @@nya
juara	juara
cepatnya	cepat @@nya
ditempuh	di @@tempuh
waris	waris
perkataannya	per @@kata @@an @@nya
diandalkan	di @@andal @@kan
tayangan	tayang @@an
memanjakan	men @@manja @@kan
muramku	muram @@ku
dioptimalkan	di @@optimal @@kan
terukir	ter @@ukir
dikaburkan	di @@kabur @@kan
pengasapan	pen @@asap @@an
rute	rute
keinginannya	ke @@ingin @@an @@nya
mencermati	men @@cermat @@i
tertolak	ter @@tolak
perhitungan	per @@hitung @@an
instansinya	instansi @@nya
teladan	teladan
komoditas	komoditas
makro	makro
berlainan	ber @@lain @@an
memvonis	men @@vonis
karun	karun
elemen	elemen
kiranya	kira @@nya
praktek	praktek
khazanah	khazanah
bahasa	bahasa
menular	men @@tular
berjuang	ber @@juang
marjinal	marjinal
warga	warga
penunggakan	pen @@tunggak @@an
memberlakukan	men @@ber @@laku @@kan
berlalunya	ber @@lalu @@nya
terapkan	terap @@kan
november	november
tunggangan	tunggang @@an
curang	curang
kesan	kesan
soalnya	soal @@nya
penutupnya	pen @@tutup @@nya
pengalih	pen @@alih
bersedia	ber @@sedia
sel	sel
leher	leher
ui	ui
web	web
fondasi	fondasi
bertobat	ber @@tobat
bentrokan	bentrok @@an
mereformasi	men @@reformasi
diterbitkan	di @@terbit @@kan
menghadiri	men @@hadir @@i
dinormalkan	di @@normal @@kan
berdampaknya	ber @@dampak @@nya
dikenalnya	di @@kenal @@nya
perantaraan	perantara @@an
teknologi	teknologi
perlengkapannya	per @@lengkap @@an @@nya
kukira	ku @@kira
pemanfaatannya	pen @@manfaat @@an @@nya
jaman	jam @@an
merangkul	men @@rangkul
diredakan	di @@reda @@kan
hambatan	hambat @@an
konstruksi	konstruksi
mulutku	mulut @@ku
terhimpun	ter @@himpun
memanggil	men @@panggil
pergunungan	per @@gunung @@an
pembaca	pen @@baca
bercukur	ber @@cukur
girang	girang
bahtera	bahtera
ketatnya	ketat @@nya
analis	analis
bobot	bobot
kurangi	kurang @@i
alternatifnya	alternatif @@nya
perkawinan	per @@kawin @@an
permen	permen
pemurah	pen @@murah
kreatif	kreatif
penyiarnya	pen @@siar @@nya
moto	moto
memacu	men @@pacu
pembatas	pen @@batas
peluncuran	pen @@luncur @@an
ia	ia
terlindungi	ter @@lindung @@i
pembuka	pen @@buka
kelam	kelam
pemungutannya	pen @@pungut @@an @@nya
pasiennya	pasien @@nya
merangkak	men @@rangkak
membidik	men @@bidik
evolusi	evolusi
memacunya	men @@pacu @@nya
memesan	men @@pesan
kuharap	ku @@harap
direkapitulasi	di @@rekapitulasi
menjalar	men @@jalar
dekade	dekade
