menguraikan	men urai kan
mahasiswanya	mahasiswa nya
dosen	dosen
praktisnya	praktis nya
partikel	partikel
mulianya	mulia nya
dihadapinya	di hadap i nya
piala	piala
penulisannya	pen tulis an nya
menambah	men tambah
terletak	ter letak
pengenalan	pen kenal an
nonkontrak	non kontrak
pagi	pagi
merenung	men renung
dikompensasikan	di kompensasi kan
berpegang	ber pegang
berkelompok	ber kelompok
kenal	kenal
ekonomis	ekonomis
perpisahannya	per pisah an nya
nonreguler	non reguler
pelayanan	pen layan an
mengobati	men obat i
insentif	insentif
pernikahan	per nikah an
naungan	naung an
dibubarkannya	di bubar kan nya
cukai	cuka i
mengejarnya	men kejar nya
harganya	harga nya
halus	halus
kritikus	kritikus
memberitahuku	men beritahu ku
maksimalnya	maksimal nya
ayahmu	ayah mu
jati	jati
kuartal	kuartal
berimbang	ber imbang
menyucikan	men suci kan
rohaninya	rohani nya
keraskan	keras kan
pewaris	pen waris
memperjuangkan	men juang kan
pengasinan	pen asin an
setoran	setor an
memelihara	men pelihara
kertas	kertas
terbanyak	ter banyak
transparan	transparan
muridnya	murid nya
lanjut	lanjut
terhenti	ter henti
dipisahkan	di pisah kan
rapi	rapi
tambah	tambah
kotornya	kotor nya
diungkapkan	di ungkap kan
motornya	motor nya
penglihatan	penglihatan
pemisah	pen pisah
membekaskan	men bekas kan
terbebani	ter beban i
panenan	panen an
putuskan	putus kan
mempercayai	men percaya i
menjerit	men jerit
keluarganya	keluarga nya
terposisikan	ter posisi kan
tenda	tenda
meregangkan	men regang kan
dikabulkan	di kabul kan
laporkan	lapor kan
diingat	di ingat
sejauh	se jauh
mengabarkan	men kabar kan
takluk	takluk
dijangkau	di jangkau
makhluk	makhluk
pembunuhan	pen bunuh an
revisi	revisi
sesempurna	se sempurna
dihadiri	di hadir i
sepak	sepak
pembiayaan	pen biaya an
finansial	finansial
rubuh	rubuh
november	november
mengungkapkan	men ungkap kan
sambutan	sambut an
pengrajin	pen rajin
coraknya	corak nya
pengajuannya	pen aju an nya
bagian	bagi an
penciptaan	pen cipta an
teriknya	terik nya
balap	balap
pelan	pelan
mengingatmu	men ingat mu
direalisasikan	di realisasi kan
pasaran	pasar an
kutanggung	ku tanggung
rontokan	rontok an
koperasi	koperasi
dikenalnya	di kenal nya
penyerang	pen serang
dipatuhi	di patuh i
menempel	men tempel
cangkul	cangkul
kandungan	kandung an
meliputi	men liput i
goyah	goyah
tersobek	ter sobek
penghalang	pen halang
diakumulasikannya	di akumulasi kan nya
cuci	cuci
menyokong	men sokong
olahannya	olah an nya
seimbang	seimbang
panggil	panggil
nonperdagangan	non per dagang an
membina	men bina
dipekerjakan	di pekerja kan
sepengetahuan	se pengetahuan
tercium	ter cium
berkabung	berkabung
melandasi	men landas i
kondusif	kondusif
babak	babak
terpola	ter pola
percobaan	per coba an
sekretariat	sekretariat
rumit	rumit
beredar	ber edar
mengacuhkan	men acuh kan
menepi	men tepi
diwujudkan	di wujud kan
transplantasi	transplantasi
penelitinya	pen teliti nya
semalam	se malam
mengira	men kira
rekannya	rekan nya
terkemuka	ter kemuka
rekening	rekening
tunggangan	tunggang an
diprakarsai	di prakarsa i
cucu	cucu
melebihkan	men lebih kan
menjadikan	men jadi kan
relawan	rela wan
pangkat	pangkat
presentase	presentase
filosofi	filosofi
turbin	turbin
melancarkan	men lancar kan
puding	puding
wanita	wanita
kegemaran	ke gemar an
cerdik	cerdik
taktik	taktik
santapan	santap an
sopan	sopan
pemodal	pen modal
diangsur	di angsur
keras	keras
gerilyawan	gerilya wan
mentari	mentari
antartahun	antar tahun
allahmu	allah mu
berproduksi	ber produksi
mengganggu	men ganggu
perawat	pen rawat
ingat	ingat
barat	barat
hayatnya	hayat nya
perampokan	pen rampok an
mengasihimu	men kasih i mu
mobilitas	mobilitas
memikat	men pikat
geografis	geografis
menghasilkan	men hasil kan
persampahan	per sampah an
terkoyak	ter koyak
blok	blok
tontonan	tonton an
iuran	iuran
latar	latar
situs	situs
paham	paham
politik	politik
manusia	manusia
mengalir	men alir
digalakkan	di galak kan
penjahitan	pen jahit an
suaminya	suami nya
menyuratkan	men surat kan
persetujuan	per setuju an
nontarif	non tarif
dipanggil	di panggil
membusukkan	men busuk kan
peneliti	pen teliti
terciptanya	ter cipta nya
tambahannya	tambah an nya
pertanaman	per tanam an
penyelenggara	pen selenggara
menghiburku	men hibur ku
barunya	baru nya
kacang	kacang
tepi	tepi
beranggapan	ber anggap an
yayasan	yayasan
penerbitan	pen terbit an
selera	selera
diberikannya	di beri kan nya
memperkaya	men kaya
lengkung	lengkung
bercerai	ber cerai
bertunangan	ber tunang an
panti	panti
berusaha	ber usaha
berhitung	ber hitung
perwakilannya	per wakil an nya
postingan	posting an
masyarakatnya	masyarakat nya
berpulangnya	ber pulang nya
ayah	ayah
ketidakpuasannya	ke tidak puas an nya
berpendapat	ber pen dapat
mempersiapkan	men siap kan
terselubung	ter selubung
perhubungan	per hubung an
diperbolehkan	di per boleh kan
kelam	kelam
ditunjukkan	di tunjuk kan
divalidasi	di validasi
posisinya	posisi nya
hadapannya	hadap an nya
membakar	men bakar
tersembunyi	ter sembunyi
sasaran	sasar an
mempertanggungjawabkannya	men tanggungjawab kan nya
aneh	aneh
dibuatkan	di buat kan
kokoh	kokoh
sarang	sarang
percayai	percaya i
pembagi	pen bagi
memantapkan	men mantap kan
jambangan	jambang an
pidatonya	pidato nya
rekapitulasinya	rekapitulasi nya
tanah	tanah
selangit	se langit
bernama	ber nama
server	server
berselang	ber selang
apik	apik
pemula	pen mula
menggiatkan	men giat kan
jemu	jemu
ditujukan	di tuju kan
mencoba	men coba
melintasinya	men lintas i nya
tersajikan	ter saji kan
dikurangi	di kurang i
kisahnya	kisah nya
mengubahkan	men ubah kan
lazimnya	lazim nya
membayang	men bayang
memasukannya	men pasukan nya
puncaknya	puncak nya
aktual	aktual
sepakat	sepakat
menyesal	men sesal
puji	puji
siaga	siaga
ditaklukkan	di takluk kan
penyimpanan	pen simpan an
berasaskan	ber asas kan
memajang	men pajang
desain	desain
mengapung	men apung
rumahnya	rumah nya
kontraknya	kontrak nya
asuhan	asuh an
tonton	tonton
berujung	ber ujung
plastiknya	plastik nya
ampun	ampun
gajinya	gaji nya
memudar	men pudar
mengimani	men iman i
membekukan	men beku kan
pembaru	pen baru
berskala	ber skala
penggantinya	pen ganti nya
unta	unta
berkebalikan	ber ke balik an
terbaring	ter baring
mengemban	men emban
memberiku	men beri ku
cabai	cabai
paskah	paskah
klien	klien
atletik	atletik
tersedot	ter sedot
diraih	di raih
ditunjang	di tunjang
tuaku	tua aku
serinci	se rinci
dibuang	di buang
terlama	ter lama
menganggur	men anggur
merajalela	men rajalela
psikologis	psikologis
tabungannya	tabung an nya
lingkaran	lingkar an
segi	segi
digendong	di gendong
memproteksi	men proteksi
dimintai	di minta i
mengklasifikasi	men klasifikasi
bayangan	bayang an
ribut	ribut
sewaktu	se waktu
implementasinya	implementasi nya
wc	wc
diembannya	di emban nya
ditata	di tata
ladang	ladang
diklasifikasikan	di klasifikasi kan
dikonversi	di konversi
meramaikan	men ramai kan
mantan	mantan
anugerah	anugerah
jabatannya	jabat an nya
pertaniannya	per tani an nya
halnya	hal nya
diliputi	di liput i
vertikal	vertikal
berlangganan	ber langgan an
bawahmu	bawah mu
debu	debu
aktivitas	aktivitas
set	set
hatiku	hati ku
depan	depan
maksud	maksud
terjangkaunya	ter jangkau nya
disadari	di sadar i
fleksibel	fleksibel
teraman	ter aman
bercukur	ber cukur
jabar	jabar
penentuannya	pen tentu an nya
mempublikasikannya	men publikasi kan nya
cerminkan	cermin kan
menjelajahi	men jelajah i
induknya	induk nya
dibacanya	di baca nya
bergulir	ber gulir
sup	sup
berterima	ber terima
jarahan	jarah an
merayu	men rayu
pidato	pidato
sepuasnya	se puas nya
berakibat	ber akibat
gratis	gratis
kukira	ku kira
pembaca	pen baca
eksklusif	eksklusif
ilmu	ilmu
dipersoalkan	di per soal kan
antarpemilik	antar pen milik
uap	uap
mencakupi	men cakup i
es	es
pendingin	pen dingin
penanggulangannya	pen tanggulang an nya
selamatkanku	selamat kan ku
menunduk	men tunduk
letusannya	letus an nya
ditinggikan	di tinggi kan
janjinya	janji nya
wasitnya	wasit nya
merotasi	men rotasi
terhibur	ter hibur
berbasiskan	ber basis kan
pencetus	pen cetus
dituliskan	di tulis kan
bertindak	ber tindak
impor	impor
hakekatnya	hakekat nya
satker	satker
tercoreng	ter coreng
menciptakan	men cipta kan
keruh	keruh
diproduksi	di produksi
mengganggunya	men ganggu nya
ilmiah	ilmiah
gemar	gemar
campak	campak
arisan	arisan
farmasi	farmasi
famili	famili
ongkos	ongkos
pelaksananya	pen laksana nya
lalui	lalu i
bapamu	bapa mu
administrasi	administrasi
ditetapkan	di tetap kan
persneling	persneling
penarik	pen tarik
luwes	luwes
mengungkap	men ungkap
penggodokan	pen godok an
penerimanya	pen terima nya
perencanaan	pen rencana an
berbenah	ber benah
dikunjunginya	di kunjung i nya
kebobolan	ke bobol an
ragu	ragu
pesona	pesona
menghadapinya	men hadap i nya
dirobohkan	di roboh kan
defensif	defensif
persembahan	per sembah an
dikenakannya	di kena kan nya
sayap	sayap
topeng	topeng
kamboja	kamboja
antusiasme	antusiasme
mendorongnya	men dorong nya
belokan	belok an
menanggungnya	men tanggung nya
marah	marah
menyusuri	men susur i
menayangkan	men tayang kan
dipersembahkan	di per sembah kan
tantangan	tantang an
berkeberatan	ber ke berat an
kirimu	kiri mu
dikepalai	di kepala i
berasas	ber asas
melukiskan	men lukis kan
andalan	andal an
diremehkan	di remeh kan
berakting	ber akting
kakaknya	kakak nya
memagari	men pagar i
diatasi	di atas i
talak	talak
kurs	kurs
tersendiri	ter sendiri
dokumennya	dokumen nya
alas	alas
ditahun	di tahun
muluk	muluk
terkalahkan	terkalahkan
dipikirnya	di pikir nya
surat	surat
menegakkannya	men tegak kan nya
bara	bara
dipanen	di panen
berdetak	ber detak
matriks	matriks
berperkara	ber perkara
menangkapnya	men tangkap nya
dikirim	di kirim
jaksa	jaksa
kuhadapi	ku hadap i
skornya	skor nya
album	album
abjad	abjad
tangerang	tangerang
soal	soal
dimampukan	di mampu kan
timnya	tim nya
menggarap	men garap
pegangan	pegang an
berdasarkan	ber dasar kan
kenang	kenang
memusyawarahkannya	men musyawarah kan nya
anggun	anggun
menimbulkan	men timbul kan
proteksi	proteksi
menyentak	men sentak
berbadan	ber badan
rekonsiliasi	rekonsiliasi
dicairkan	di cair kan
punah	punah
bapaknya	bapak nya
pergumulan	per gumul an
peranakan	per anak an
terdepan	ter depan
pengimplementasian	pen implementasi an
mengawasi	men awas i
jatuhkan	jatuh kan
menyederhanakan	men sederhana kan
dijelajahi	di jelajah i
penumpangan	pen tumpang an
imunisasi	imunisasi
sesuatunya	sesuatu nya
rajanya	raja nya
investigasinya	investigasi nya
diperkuat	di per kuat
diciptakan	di cipta kan
bertarung	ber tarung
perkawinan	per kawin an
khusus	khusus
kering	kering
ditiru	di tiru
respon	respon
pembenci	pen benci
mencairkannya	men cair kan nya
latihan	latih an
pembukuan	pen buku an
berkuasa	ber kuasa
riset	riset
jeratan	jerat an
muka	muka
bata	bata
pintar	pintar
ketidakkonsistenan	ke tidak konsisten an
menghimpun	men himpun
mengitariku	men kitar i ku
ketidakseriusan	ke tidak serius an
gadai	gadai
menyibukkan	men sibuk kan
hartamu	harta mu
sepanjang	se panjang
ri	ri
jarak	jarak
memperlancar	men lancar
lemahnya	lemah nya
sejawatnya	se jawat nya
hasilnya	hasil nya
mengutuknya	men kutuk nya
bertiup	ber tiup
meneruskan	men terus kan
pencuci	pen cuci
sapu	sapu
lelakinya	lelaki nya
tender	tender
didialogkan	di dialog kan
tuntas	tuntas
sikap	sikap
diolah	di olah
silakan	silakan
artinya	arti nya
suasana	suasana
mengurangkan	men kurang kan
cabang	cabang
bercacat	ber cacat
kuliah	kuliah
segan	segan
menakjubkannya	men takjub kan nya
pemekaran	pen mekar an
menggulingkan	men guling kan
longgar	longgar
mengeliminasi	men eliminasi
terhalang	ter halang
permodalan	per modal an
terbuai	ter buai
kalangan	kalangan
bintang	bintang
lembu	lembu
koordinasi	koordinasi
singkatan	singkat an
pt	pt
menetes	men tetes
wajahnya	wajah nya
lubang	lubang
tekad	tekad
penyusup	pen susup
khayalan	khayal an
melemparinya	men lempar i nya
hal	hal
perekam	pen rekam
bersentuhan	ber sentuh an
mengikut	men ikut
terelakkan	ter elak kan
menerapkan	men terap kan
bersandarkan	ber sandar kan
tamak	tamak
penghilang	pen hilang
pergulatan	per gulat an
akses	akses
pemandu	pen pandu
bus	bus
rencana	rencana
individu	individu
bayarkan	bayar kan
mimpi	mimpi
alkohol	alkohol
pelupa	pen lupa
menanggapinya	men tanggap i nya
pandai	pandai
kredibilitas	kredibilitas
menelaah	men telaah
kantor	kantor
alamnya	alam nya
ditukar	di tukar
menolongnya	men tolong nya
direformasi	di reformasi
ditolong	di tolong
garis	garis
tasnya	tas nya
menjual	men jual
pencakar	pen cakar
alfabet	alfabet
menembus	men tembus
pemda	pemda
hangus	hangus
upayanya	upaya nya
terpintar	ter pintar
diskualifikasi	diskualifikasi
menebarkan	men tebar kan
diperdamaikan	di per damai kan
tingkat	tingkat
menghapuskan	men hapus kan
kancing	kancing
lantai	lantai
meluncurkan	men luncur kan
indera	indera
berdiskusi	ber diskusi
terobsesi	ter obsesi
konsekuensi	konsekuensi
pendangkalan	pen dangkal an
pelembagaan	pen lembaga an
bermotor	ber motor
bermakna	ber makna
yupiter	yupiter
obatnya	obat nya
perseroan	perseroan
antarlembaga	antar lembaga
tokonya	toko nya
membanting	men banting
ditontonnya	di tonton nya
komedi	komedi
senior	senior
sebatas	se batas
mustahil	mustahil
pengelolanya	pen kelola nya
persahabatan	per sahabat an
kredibel	kredibel
putusan	putus an
tersendat	tersendat
takutkan	takut kan
lintas	lintas
kehendak	kehendak
pembatalannya	pen batal an nya
ternaknya	ternak nya
pelayan	pen layan
menggali	men gali
mengguncang	men guncang
jauhkan	jauh kan
memperlemah	men lemah
melipat	men lipat
mengendalikan	men kendali kan
dilupakan	di lupa kan
islam	islam
menimbang	men timbang
mencicipi	men cicip i
mengokohkan	men kokoh kan
kepalanya	kepala nya
menuntut	men tuntut
pelikan	pelik an
tumpangan	tumpang an
penerjemah	pen terjemah
merelokasikan	men relokasi kan
dipertahankan	di per tahan kan
gemuk	gemuk
berakal	ber akal
dekan	dek an
dilihat	di lihat
memukulnya	men pukul nya
teknisnya	teknis nya
erat	erat
institusi	institusi
jenderal	jenderal
ambisi	ambisi
pemisahan	pen pisah an
bakan	bak an
artian	arti an
seseorang	seseorang
menstimulasi	men stimulasi
dugaan	duga an
amandemen	amandemen
ukurannya	ukur an nya
tarif	tarif
pangeran	pangeran
menempuhnya	men tempuh nya
terjamin	ter jamin
sejumlah	se jumlah
pinjam	pinjam
pertanahan	per tanah an
penolakan	pen tolak an
atap	atap
dijadikannya	di jadi kan nya
mengakomodasi	men akomodasi
sibuk	sibuk
penanya	pen tanya
dipanggang	di panggang
melatihnya	men latih nya
menaruh	men taruh
mengusir	men usir
berinisiatif	ber inisiatif
galeri	galeri
berkhotbah	ber khotbah
menyapu	men sapu
memaksimalkan	men maksimal kan
lambannya	lamban nya
aksesibilitas	aksesibilitas
memandikan	men mandi kan
negosiasi	negosiasi
arti	arti
diatasnya	di atas nya
ratap	ratap
ungkapkan	ungkap kan
senapan	senapan
mengulangi	men ulang i
ludah	ludah
antikekerasan	anti ke keras an
pengamanan	pen aman an
bersantai	ber santai
juang	juang
menyalurkan	men salur kan
punggung	punggung
ampuh	ampuh
haknya	hak nya
ketidakmunculan	ke tidak muncul an
protes	protes
diterjang	di terjang
berternak	ber ternak
terbawah	ter bawah
pencegah	pen cegah
seusai	se usai
diluncurkan	di luncur kan
dijajaki	di jajak i
ketidakharmonisan	ke tidak harmonis an
penjaminan	pen jamin an
dipetik	di petik
jadwalnya	jadwal nya
diantar	di antar
melupakannya	men lupa kan nya
soda	soda
disebut	di sebut
cita	cita
legislasi	legislasi
memperlihatkan	men lihat kan
efektivitasnya	efektivitas nya
tampung	tampung
enggannya	enggan nya
baku	baku
mengalahkan	men kalah kan
pengobatan	pen obat an
bertuan	ber tuan
memujikan	men puji kan
perolehan	peroleh an
rasial	rasial
layaknya	layak nya
game	game
tokoh	tokoh
mempersoalkannya	men soal kan nya
moto	moto
sejalan	se jalan
ditempel	di tempel
visinya	visi nya
dipegang	di pegang
cepat	cepat
gelang	gelang
anunya	anu nya
menyusahkan	men susah kan
pulangnya	pulang nya
sindikat	sindikat
detik	detik
menaatinya	men taat i nya
usang	usang
bermusyawarah	ber musyawarah
mengartikan	men arti kan
wadah	wadah
bawa	bawa
menggunting	men gunting
bergejolak	ber gejolak
menyimaknya	men simak nya
ganti	ganti
tertib	tertib
pengendalian	pen kendali an
penghentian	pen henti an
memindahkan	men pindah kan
menghilang	men hilang
menjamurnya	men jamur nya
serigala	serigala
mati	mati
hariannya	hari an nya
sehat	sehat
dijabat	di jabat
penyadaran	pen sadar an
terperangkap	ter pen rangkap
enumerasinya	enumerasi nya
tampungnya	tampung nya
mewarisi	men waris i
pekerjanya	pekerja nya
dipikat	di pikat
menaikkan	men naik kan
mencemaskan	men cemas kan
nada	nada
merubuhkan	men rubuh kan
bermimpi	ber mimpi
memetakan	men peta kan
terkenal	ter kenal
seminggu	se minggu
dekonsentrasi	dekonsentrasi
didengungkan	di dengung kan
memeriksanya	men periksa nya
pelajar	pelajar
olah	olah
mempraktekkan	men praktek kan
protokol	protokol
orang	orang
ketidaklengkapan	ke tidak lengkap an
membawa	men bawa
selandia	selandia
mengatasi	men atas i
menyelenggarakannya	men selenggara kan nya
telanjang	telanjang
melompat	men lompat
menanganinya	men tangan i nya
dikonsumsi	di konsumsi
meneladani	men teladan i
ampas	ampas
komunikasi	komunikasi
jam	jam
bergemuruh	ber gemuruh
antarkelompok	antar kelompok
antarpulau	antar pulau
potong	potong
fluktuasi	fluktuasi
dianiaya	di aniaya
bersalin	ber salin
terbang	terbang
diadukan	di adu kan
media	media
melacak	men lacak
pengintai	pen intai
terpaksa	ter paksa
sebenarnya	se benar nya
melangsungkan	men langsung kan
berkunjung	ber kunjung
kliring	kliring
penebus	pen tebus
sederhanakan	sederhana kan
penghasilannya	pen hasil an nya
tumbuh	tumbuh
pengangsuran	pen angsur an
dipilih	di pilih
perbedaan	per beda an
antarjenis	antar jenis
dimasukkan	di masuk kan
terdalamnya	ter dalam nya
menyelidiki	men selidik i
diinterogasi	di interogasi
pengeluarannya	pen keluar an nya
berumput	ber rumput
sampingan	samping an
diperlebar	di per lebar
darahnya	darah nya
sesak	sesak
membuka	men buka
bergantian	ber ganti an
tabung	tabung
cuacanya	cuaca nya
berharap	ber harap
bergereja	ber gereja
memedulikan	men peduli kan
rak	rak
sinerginya	sinergi nya
ahlinya	ahli nya
darussalam	darussalam
penjangkauan	pen jangkau an
diklaim	di klaim
cermin	cermin
situasi	situasi
semang	semang
pengertian	pengertian
gantung	gantung
dikoordinasikan	di koordinasi kan
keharusan	ke harus an
wakili	wakil i
motif	motif
angkanya	angka nya
monitornya	monitor nya
pendanaannya	pen dana an nya
sejuk	sejuk
lautnya	laut nya
auditor	auditor
membesar	men besar
mengungsi	men ungsi
koreksi	koreksi
dikerahkan	di kerah kan
buaian	buai an
menghindarkan	men hindar kan
dibangku	di bangku
mengajukan	men aju kan
sumber	sumber
kalung	kalung
memberitahukan	men beritahu kan
menjenguk	men jenguk
dilimpahkan	di limpah kan
sumberdayanya	sumberdaya nya
komersial	komersial
minumannya	minum an nya
terdefinisi	ter definisi
mengkonsultasikannya	men konsultasi kan nya
struktur	struktur
bersembunyi	ber sembunyi
penanda	pen tanda
mengajari	men ajar i
pengawas	pen awas
diampuni	di ampun i
merumuskannya	men rumus kan nya
kotanya	kota nya
berjumpa	ber jumpa
hina	hina
menganjurkan	men anjur kan
pertandingan	per tanding an
ismail	ismail
bercampur	ber campur
meluluskan	men lulus kan
barisan	baris an
keran	keran
lemparan	lempar an
mendebarkan	men debar kan
bidang	bidang
disebutkan	di sebut kan
israel	israel
telaknya	telak nya
tersebarnya	ter sebar nya
daur	daur
kompromi	kompromi
berprinsip	ber prinsip
pengajar	pen ajar
kuno	kuno
melimpah	men limpah
mendaftarkannya	men daftar kan nya
mapannya	mapan nya
mendatangkan	men datang kan
berperingkat	ber peringkat
senang	senang
membekas	men bekas
mandi	mandi
kerinduan	ke rindu an
bertengkar	ber tengkar
deklarasi	deklarasi
menggoyang	men goyang
menjatuhi	men jatuh i
dibakar	di bakar
sombong	sombong
rehabilitasi	rehabilitasi
motonya	moto nya
mendoakan	men doa kan
rujukan	rujuk an
gading	gading
pengumpulan	pen kumpul an
menkeu	menkeu
mandiri	mandiri
pembukaan	pen buka an
berkoordinasi	ber koordinasi
menolak	men tolak
dirumahkan	di rumah kan
pengangguran	pen anggur an
udara	udara
menguat	men kuat
sosialnya	sosial nya
asin	asin
perputaran	per putar an
bimbang	bimbang
mendidik	men didik
usus	usus
rendahkan	rendah kan
menyikapi	men sikap i
iklan	iklan
aparatnya	aparat nya
mengemudi	men kemudi
wacana	wacana
memfotokopi	men fotokopi
mengadu	men adu
membutuhkannya	men butuh kan nya
dianutnya	di anut nya
jebakan	jebak an
pencapaiannya	pen capai an nya
halal	halal
semak	semak
mendaratkannya	men darat kan nya
mengadukan	men adu kan
berulang	ber ulang
subjektivitas	subjektivitas
kutub	kutub
turunnya	turun nya
penyinaran	pen sinar an
spanyol	spanyol
kiosnya	kios nya
bersifat	ber sifat
menganan	men kanan
produk	produk
beragi	ber ragi
mendominasi	men dominasi
anyaman	anyam an
fakta	fakta
menunggangi	men tunggang i
memperdalam	men dalam
membacanya	men baca nya
pembuatan	pen buat an
bacaan	baca an
kandang	kandang
tektonik	tektonik
sarana	sarana
sejawat	se jawat
batasan	batas an
menyengsarakan	men sengsara kan
pemilahan	pen pilah an
terasing	ter asing
ekstrim	ekstrim
oktober	oktober
terjual	ter jual
bernomor	ber nomor
daratannya	darat an nya
membahu	men bahu
soalnya	soal nya
merakit	men rakit
ringkasan	ringkas an
retribusinya	retribusi nya
saudaranya	saudara nya
mengasihi	men kasih i
penyelang	pen selang
gumpalan	gumpal an
dilantunkan	di lantun kan
dikontrak	di kontrak
setangkai	se tangkai
belikan	beli kan
sepenting	se penting
serakah	serakah
azas	azas
pembayar	pen bayar
dimanipulasi	di manipulasi
hanyut	hanyut
menyebarnya	men sebar nya
memakainya	men pakai nya
konsolidasi	konsolidasi
diperkenalkannya	di per kenal kan nya
memperbincangkan	men bincang kan
diulas	di ulas
terbantu	ter bantu
tersiar	ter siar
pelelangan	pen lelang an
antarpemangku	antar pen pangku
menjelaskan	men jelas kan
dibiarkan	di biar kan
penambah	pen tambah
disalib	di salib
perkelahian	per kelahi an
memberatkan	men berat kan
berdurasi	ber durasi
pertokoan	per toko an
penjala	pen jala
dihancurkan	di hancur kan
asli	asli
pembelajaran	pen belajar an
tindak	tindak
berjabat	ber jabat
fosil	fosil
bawaan	bawa an
memahaminya	men paham i nya
ditemani	di teman i
semprot	semprot
divonis	di vonis
berkendaraan	ber kendara an
anonim	anonim
bermutu	ber mutu
melekatnya	men lekat nya
sampannya	sampan nya
mertua	mertua
konkret	konkret
menghilangnya	men hilang nya
pencemaran	pen cemar an
diteruskan	di terus kan
terhambatnya	ter hambat nya
termulia	ter mulia
surut	surut
dicontohkan	di contoh kan
kebal	kebal
sirkuit	sirkuit
terakhir	ter akhir
perintah	perintah
sekelompok	se kelompok
perceraiannya	per cerai an nya
patah	patah
merayakannya	men raya kan nya
ketinggalan	ke tinggal an
diperpanjang	di per panjang
tersalurkan	ter salur kan
memeliharaku	men pelihara aku
nasionalnya	nasional nya
tentara	tentara
pemberangkatannya	pen berangkat an nya
fiskal	fiskal
berdosa	ber dosa
operasional	operasional
jadwal	jadwal
berpenghasilan	ber pen hasil an
mengkompromikan	men kompromi kan
ditanggulangi	di tanggulang i
disajikan	di saji kan
sukacitanya	sukacita nya
kedudukan	ke duduk an
dicanangkan	di canang kan
tajamnya	tajam nya
menggolongkan	men golong kan
ulama	ulama
dipantau	di pantau
persalinan	per salin an
dibatasi	di batas i
gantinya	ganti nya
akibatkan	akibat kan
menggiring	men giring
infrastruktur	infrastruktur
pengiriman	pen kirim an
jiwaku	jiwa aku
bobotnya	bobot nya
diterapkan	di terap kan
kumuh	kumuh
tertunda	ter tunda
menghadap	men hadap
mendinginkan	men dingin kan
agresif	agresif
membimbing	men bimbing
lunak	lunak
otoritasnya	otoritas nya
menamakan	men nama kan
mendekat	men dekat
diwarisi	di waris i
gosip	gosip
menebang	men tebang
berjubahkan	ber jubah kan
terowongan	terowongan
akuratnya	akurat nya
antipesawat	anti pesawat
dipertanyakan	di per tanya kan
dengarkan	dengar kan
antardesa	antar desa
dikaji	di kaji
meminjamnya	men pinjam nya
bantahan	bantah an
mencukupinya	men cukup i nya
rindu	rindu
sumbangan	sumbang an
dipertanggungjawabkan	di per tanggungjawab kan
tuju	tuju
standarisasi	standarisasi
mentargetkan	men target kan
listrik	listrik
melanggar	men langgar
delegasi	delegasi
dilengkapi	di lengkap i
bayangkan	bayang kan
dianut	di anut
konfrontasi	konfrontasi
memperingatkan	men ingat kan
ucapannya	ucap an nya
menggerakkan	men gerak kan
dikontrakkan	di kontrak kan
diam	diam
penuntun	pen tuntun
sejam	se jam
menua	men tua
jalinan	jalin an
menjala	men jala
terpenjara	ter penjara
disuapi	di suap i
difasilitasi	di fasilitas i
tabrakan	tabrak an
terpancar	ter pancar
bersantap	ber santap
berperang	ber perang
penjamuran	pen jamur an
konstitusi	konstitusi
melayani	men layan i
akal	akal
pungut	pungut
kuotanya	kuota nya
ibadah	ibadah
cukupi	cukup i
rintangan	rintang an
murka	murka
menggosokkan	men gosok kan
semenit	se menit
infeksi	infeksi
dibagikan	di bagi kan
penggelembungan	pen gelembung an
penggundulan	pen gundul an
diunggah	di unggah
disebarluaskan	di sebarluas kan
mengimpor	men impor
curah	curah
memayungi	men payung i
menyumbang	men sumbang
serikat	serikat
direkapitulasi	di rekapitulasi
malapetaka	malapetaka
keperluan	ke perlu an
atom	atom
politiknya	politik nya
pertolongannya	per tolong an nya
ranjang	ranjang
urbanisasi	urbanisasi
kuantitas	kuantitas
melanjutkannya	men lanjut kan nya
diperlunak	di per lunak
disisi	di sisi
menuntun	men tuntun
tundukkan	tunduk kan
rohani	rohani
manajerial	manajerial
menggunakannya	men guna kan nya
selidiki	selidik i
tindihnya	tindih nya
kerinduannya	ke rindu an nya
partisipasi	partisipasi
realis	realis
balistik	balistik
kanwil	kanwil
bikin	bikin
parahnya	parah nya
tercetak	ter cetak
seleksi	seleksi
mandat	mandat
mencerahkan	men cerah kan
dipatok	di patok
halaman	halaman
mengikutinya	men ikut i nya
doktor	doktor
berfluktuasi	ber fluktuasi
terlindungi	ter lindung i
cairan	cair an
berpraktik	ber praktik
lahirnya	lahir nya
jawabku	jawab ku
perpustakaan	perpustakaan
sedekahmu	sedekah mu
eceran	ecer an
digabungkan	di gabung kan
rintangannya	rintang an nya
dikawal	di kawal
mengembalikan	men kembali kan
mengusulkan	men usul kan
lobi	lobi
menangi	menang i
direkomendasikan	di rekomendasi kan
tabungan	tabung an
sulitnya	sulit nya
pacarku	pacar ku
bermalam	ber malam
beranggaran	ber anggar an
tunggu	tunggu
judul	judul
berhak	ber hak
pembebanan	pen beban an
efektivitas	efektivitas
menelan	men telan
ragi	ragi
kuatkan	kuat kan
menabur	men tabur
tertutupi	ter tutup i
pencinta	pen cinta
rekaman	rekam an
merangkul	men rangkul
dibuktikan	di bukti kan
mensyukuri	men syukuri
sesignifikan	se signifikan
