bermimpi	ber mimpi
mengkoordinasikan	men koordinasi kan
salad	salad
seabad	se abad
menata	men tata
menanggapi	men tanggap i
sayap	sayap
lembah	lembah
suami	suami
superior	superior
antarpemerintah	antar pen perintah
tulangku	tulang ku
mesjid	mesjid
tesnya	tes nya
kendalanya	kendala nya
pembuatannya	pen buat an nya
dikuduskan	di kudus kan
bersertifikat	ber sertifikat
asumsi	asumsi
peliharaannya	pelihara an nya
menegakkannya	men tegak kan nya
keinginannya	ke ingin an nya
kartunya	kartu nya
jawab	jawab
memberitahukan	men beritahu kan
omzetnya	omzet nya
menindak	men tindak
mengirimkannya	men kirim kan nya
persis	persis
persentase	persentase
penalaran	pen nalar an
deputi	deputi
bertekuk	ber tekuk
pegunungan	pegunungan
dipindahkan	di pindah kan
penjelas	pen jelas
genetik	genetik
ditegakkan	di tegak kan
pelan	pelan
ruangan	ruang an
televisi	televisi
skemanya	skema nya
diambilnya	di ambil nya
menyemangati	men semangat i
investasinya	investasi nya
pendeta	pendeta
utuh	utuh
sifat	sifat
diagram	diagram
tangan	tangan
langkahku	langkah ku
tanganku	tangan ku
bermuatan	ber muat an
harumnya	harum nya
peri	pen ri
mainnya	main nya
diburu	di buru
menjauhi	men jauh i
dihapuskan	di hapus kan
bantalan	bantal an
berhimpitan	ber himpit an
projek	projek
pegawainya	pegawai nya
menyingkir	men singkir
nada	nada
barang	barang
bulanan	bulan an
antardesa	antar desa
antarpemangku	antar pen pangku
mementingkan	men penting kan
dianjurkan	di anjur kan
mengubur	men kubur
sebulan	se bulan
menelan	men telan
konversi	konversi
jembatannya	jembatan nya
memperdamaikan	men damai kan
kalanya	kala nya
belakangnya	belakang nya
bidan	bidan
sikat	sikat
tingkat	tingkat
meremajakannya	men remaja kan nya
kasar	kasar
diperberat	di per berat
almamater	almamater
padi	padi
bangsa	bangsa
bergerak	ber gerak
agustus	agustus
diresmikan	di resmi kan
majikannya	majikan nya
perencanaan	pen rencana an
dihormati	di hormat i
mengandung	men kandung
mengintai	men intai
persen	persen
moskow	moskow
rasul	rasul
patah	patah
kutempatkan	ku tempat kan
dinaikkan	di naik kan
lengan	lengan
mengabarkan	men kabar kan
profil	profil
mangsa	mangsa
berkantor	ber kantor
menyuap	men suap
mutunya	mutu nya
mengotori	men kotor i
kasihnya	kasih nya
dilaporkan	di lapor kan
kosong	kosong
pengampun	pen ampun
kerjasama	kerjasama
kupon	kupon
memperbaikinya	men baik i nya
khazanah	khazanah
puncak	puncak
tingkatan	tingkat an
gembalakan	gembala kan
terpaksa	ter paksa
bocor	bocor
mapan	mapan
mengelolanya	men kelola nya
mencabuti	men cabut i
belakangmu	belakang mu
terenggut	ter renggut
kapital	kapital
sebidang	se bidang
memagari	men pagar i
tersungkur	ter sungkur
berdurasi	ber durasi
berafiliasi	ber afiliasi
setianya	setia nya
diuraikan	di urai kan
diatasnya	di atas nya
meniadakan	men tiada kan
terhentinya	ter henti nya
dibagi	di bagi
koordinasinya	koordinasi nya
betul	betul
asalkan	asal kan
tumbuh	tumbuh
hatinya	hati nya
nama	nama
persetujuan	per setuju an
mengemban	men emban
gantungan	gantung an
diselamatkan	di selamat kan
personil	personil
profesional	profesional
popoknya	popok nya
jariku	jari ku
sana	sana
tugas	tugas
sepakat	sepakat
mencarikan	men cari kan
mengizinkan	men izin kan
pemilikan	pen milik an
disentuh	di sentuh
seefektif	se efektif
dokumennya	dokumen nya
jauh	jauh
mempelajari	men pelajar i
nyawanya	nyawa nya
rw	rw
polisi	polisi
protes	protes
pelindung	pen lindung
suci	suci
penghibur	pen hibur
unjuk	unjuk
agenda	agenda
kebutuhan	ke butuh an
mengasihiku	men kasih i ku
syiah	syiah
pisau	pisau
mengendarai	men kendara i
lunak	lunak
datanya	data nya
menguatkan	men kuat kan
pekerjanya	pekerja nya
dicantumkan	di cantum kan
seusia	se usia
pencuci	pen cuci
memeluk	men peluk
perdana	perdana
terdukung	ter dukung
bernomor	ber nomor
hening	hening
mendetil	men detil
menandakan	men tanda kan
granat	granat
memberkatinya	men berkat i nya
tagih	tagih
didorong	di dorong
sama	sama
persoalan	per soal an
populasinya	populasi nya
miliarder	miliarder
bertiup	ber tiup
penabung	pen tabung
menginvestasikannya	men investasi kan nya
bangsanya	bangsa nya
tender	tender
diseret	di seret
dirham	dirham
pengecer	pen ecer
sahabatnya	sahabat nya
tahunan	tahun an
rutin	rutin
rajanya	raja nya
penghasilan	pen hasil an
contoh	contoh
gigitannya	gigit an nya
musim	musim
komputer	komputer
melapor	men lapor
rawa	rawa
merampas	men rampas
dijemput	di jemput
muka	muka
asisten	asisten
melainkan	men lain kan
intelektual	intelektual
dikesampingkan	di kesamping kan
dikuasai	di kuasa i
nafsumu	nafsu mu
tangganya	tangga nya
penambahan	pen tambah an
merespon	men respon
direktur	direktur
dikehendaki	di kehendak i
aktris	aktris
diminta	di minta
siap	siap
perawatan	pen rawat an
mematikan	men mati kan
hidrogen	hidrogen
sawit	sawit
wawasan	wawasan
memikul	men pikul
disalurkan	di salur kan
pemutusan	pen putus an
suriah	suriah
pengecualiannya	pengecualian nya
kebal	kebal
kupikir	ku pikir
terpenuhi	men penuh i
tandatangani	tandatangan i
mengajarkan	men ajar kan
tenang	tenang
biarkan	biar kan
ujung	ujung
mengagungkan	men agung kan
karung	karung
provinsinya	provinsi nya
pil	pil
betina	betina
memilihnya	men pilih nya
liter	liter
lokal	lokal
diadakannya	di ada kan nya
dipaksakan	di paksa kan
berkenan	ber kenan
keponakan	keponakan
terpukau	ter pukau
lestari	lestari
pertambangan	per tambang an
menguburkan	men kubur kan
kualitasnya	kualitas nya
perhatikan	perhatikan
pedang	pedang
gempa	gempa
angkutan	angkut an
digulirkan	di gulir kan
judul	judul
menjanda	men janda
diusulkan	di usul kan
asean	asean
kredibilitas	kredibilitas
sinergi	sinergi
internal	internal
upahnya	upah nya
diloloskan	di lolos kan
membenarkan	men benar kan
tarifnya	tarif nya
menghentikannya	men henti kan nya
artikel	artikel
memberontak	men berontak
akses	akses
subjektivitas	subjektivitas
ras	ras
tinggalkan	tinggal kan
belakang	belakang
semisal	se misal
ketanggapan	ke tanggap an
mahasiswanya	mahasiswa nya
kaku	kaku
tanamkan	tanam kan
penggemukan	pen gemuk an
akumulasi	akumulasi
total	total
panggilan	panggil an
maraton	maraton
galangan	galang an
latihan	latih an
kaosnya	kaos nya
hadirnya	hadir nya
konflik	konflik
terperdaya	ter perdaya
selatan	selatan
diperbuatnya	di per buat nya
ditutup	di tutup
bersamaan	ber sama an
elemen	elemen
min	min
putuskan	putus kan
asuhan	asuh an
melatihnya	men latih nya
lipatan	lipat an
perbaikan	per baik an
pengalihan	pen alih an
ikut	ikut
pandang	pandang
alternatif	alternatif
lintasan	lintas an
dilengkapi	di lengkap i
data	data
penghuninya	pen huni nya
pengapalan	pen kapal an
disusun	di susun
penasihat	penasihat
didata	di data
dipandang	di pandang
kafein	kafein
mengaliri	men alir i
deposito	deposito
semacam	se macam
berjaga	ber jaga
menganalisis	men analisis
persatuan	per satu an
terpecahkan	ter pecah kan
penelitiannya	pen teliti an nya
dermaga	dermaga
sinarnya	sinar nya
memasukannya	men pasukan nya
mencadangkan	men cadang kan
melanjutkan	men lanjut kan
laba	laba
selain	se lain
kampanyenya	kampanye nya
pemikiran	pen pikir an
mempermasalahkannya	men masalah kan nya
saji	saji
penerima	pen terima
gayanya	gaya nya
jemput	jemput
kendaraan	kendara an
pengarahan	pen arah an
menoleh	men toleh
penyetoran	pen setor an
mutasi	mutasi
membelokkan	men belok kan
penerjemah	pen terjemah
disidangkan	di sidang kan
stok	stok
medis	medis
sari	sari
layanannya	layan an nya
dikasihinya	di kasih i nya
kekeliruan	ke keliru an
terakhirnya	ter akhir nya
paradigma	paradigma
berkekuatan	ber ke kuat an
pengeluaran	pen keluar an
kudanya	kuda nya
administrasinya	administrasi nya
didesentralisasikan	di desentralisasi kan
pengangkut	pen angkut
kepindahan	ke pindah an
telur	telur
dipersepsikan	di persepsi kan
mendoakan	men doa kan
ditayangkan	di tayang kan
mendesaknya	men desak nya
lewatkan	lewat kan
memungut	men pungut
merenggut	men renggut
argumentasi	argumentasi
teduh	teduh
angin	angin
merendahkan	men rendah kan
menteri	menteri
membusukkan	men busuk kan
merefleksikan	men refleksi kan
panggung	panggung
kunjung	kunjung
dijahitkan	di jahit kan
manfaatnya	manfaat nya
saya	saya
mendadak	mendadak
pengaturnya	pen atur nya
israel	israel
prospek	prospek
seraya	se raya
perumahan	pen rumah an
spekulasi	spekulasi
pelayannya	pen layan nya
lapaknya	lapak nya
menganggapnya	men anggap nya
pertukangan	per tukang an
usahanya	usaha nya
dialokasikan	di alokasi kan
menghubungkan	men hubung kan
sekeluarga	se keluarga
menyangkali	men sangkal i
membatasinya	men batas i nya
tipe	tipe
penghakiman	pen hakim an
terformulasi	ter formulasi
utang	utang
tradisional	tradisional
lulus	lulus
pembaruannya	pen baru an nya
berburu	ber buru
pelukan	peluk an
penghambat	pen hambat
pemuatan	pen muat an
tuhanku	tuhan ku
membinasakan	men binasa kan
diciptakannya	di cipta kan nya
independensi	independensi
akomodasi	akomodasi
tabah	tabah
bercerita	ber cerita
daya	daya
berbobot	ber bobot
menghimpunkan	men himpun kan
mengisyaratkan	men isyarat kan
kuingin	ku ingin
pelaksanaannya	pen laksana an nya
memancarkan	men pancar kan
merangkap	men rangkap
pendirian	pen diri an
konseling	konseling
konfirmasi	konfirmasi
memutakhirkan	men mutakhir kan
anunya	anu nya
penguasanya	pen kuasa nya
cela	cela
tajamnya	tajam nya
tempuhnya	tempuh nya
dirangkum	di rangkum
sengketa	sengketa
kemungkinannya	kemungkinan nya
diulang	di ulang
dirindukan	di rindu kan
bertekun	ber tekun
identik	identik
cerdas	cerdas
domestik	domestik
kategori	kategori
pencacah	pen cacah
menyepakatinya	men sepakat i nya
bereaksi	ber reaksi
rujukan	rujuk an
menguat	men kuat
penghulu	pen hulu
publikasi	publikasi
melintasi	men lintas i
tersayat	ter sayat
penyanyi	pen nyanyi
pelaporan	pen lapor an
membingungkan	men bingung kan
antarkuota	antar kuota
dibatalkannya	di batal kan nya
terhutang	ter hutang
terisolasi	ter isolasi
nun	nun
lumpur	lumpur
disangkal	di sangkal
pemilu	pemilu
mukjizat	mukjizat
terdefinisi	ter definisi
dipotong	di potong
dimuat	di muat
tolongku	tolong ku
perkelahian	per kelahi an
daunnya	daun nya
telaah	telaah
mengabaikan	men abai kan
disangka	di sangka
transaksi	transaksi
pilot	pilot
kenakan	kena kan
mengevakuasi	men evakuasi
aneh	aneh
pengambilan	pen ambil an
seismik	seismik
perakitan	pen rakit an
terhormat	ter hormat
karakter	karakteri
perdanya	perda nya
teks	teks
akibatnya	akibat nya
beranak	ber anak
dimanfaatkan	di manfaat kan
bait	bait
ui	ui
penugasan	pen tugas an
united	united
sejam	se jam
minta	minta
bahkan	bah kan
dipublikasikan	di publikasi kan
regional	regional
tahanan	tahan an
bertetanggaan	ber tetangga an
himbauan	himbau an
mengupayakan	men upaya kan
sebulir	se bulir
pemangkasan	pen pangkas an
dijahit	di jahit
persiapan	per siap an
asalan	asal an
polandia	polandia
terposisikan	ter posisi kan
terkuno	ter kuno
ditusuk	di tusuk
rohaninya	rohani nya
sungai	sungai
berkorban	ber korban
pengeruk	pen keruk
terbiasa	ter biasa
surgawinya	surgawi nya
peneliti	pen teliti
lahir	lahir
antarhasil	antar hasil
diucapkan	di ucap kan
mencemaskan	men cemas kan
memperkaya	men kaya
datang	datang
meter	meter
menduplikasi	men duplikasi
tergoda	ter goda
corak	corak
nondepartemen	non departemen
pacu	pacu
diterbitkan	di terbit kan
durian	duri an
bengkok	bengkok
keluhan	keluh an
benci	benci
menyapu	men sapu
pelaut	pen laut
pendidik	pen didik
kuajarkan	ku ajar kan
perbintangan	per bintang an
memformulasikan	men formulasi kan
memerintah	men perintah
mengkompensasi	men kompensasi
tikar	tikar
terburuk	ter buruk
antarjenis	antar jenis
dijajakan	di jaja kan
terbentur	ter bentur
tulisannya	tulis an nya
sekeliling	se keliling
rate	rate
terobosan	terobos an
terutama	ter utama
narkotika	narkotika
mencangkul	men cangkul
berangin	ber angin
privasinya	privasi nya
putraku	putra aku
balon	balon
hebat	hebat
dihubungi	di hubung i
aslinya	asli nya
aksi	aksi
pertanaman	per tanam an
khususnya	khusus nya
didapat	di dapat
perbincangan	per bincang an
yahudi	yahudi
pemangku	pen pangku
menentangnya	men tentang nya
foto	foto
lelakinya	lelaki nya
dirampungkan	di rampung kan
mengetahui	men ketahui
mengacaukan	men kacau kan
berlatih	ber latih
berprasangka	ber prasangka
sekeras	se keras
diemban	di emban
menghadap	men hadap
produktifitas	produktifitas
menyimpulkan	men simpul kan
pacarku	pacar ku
musiknya	musik nya
kanan	kanan
dikaji	di kaji
gurun	gurun
pendangkalan	pen dangkal an
produsen	produsen
lampiran	lampir an
kuatir	kuatir
lonjakan	lonjak an
kekasihnya	kekasih nya
petinju	pen tinju
bakatnya	bakat nya
mangkuk	mangkuk
pundi	pundi
diceraikan	di cerai kan
menggunakannya	men guna kan nya
diwakili	di wakil i
mempublikasikannya	men publikasi kan nya
optimis	optimis
aktif	aktif
pelempar	pen lempar
seimannya	se iman nya
harinya	hari nya
ditempatkan	di tempat kan
eceran	ecer an
katamu	kata mu
kipas	kipas
reporter	reporter
menakar	men takar
keikutsertaannya	ke ikutserta an nya
penganggur	pen anggur
bensin	bensin
membocorkan	men bocor kan
menganggap	men anggap
sirip	sirip
terbelah	ter belah
pencegah	pen cegah
jeruknya	jeruk nya
kenalannya	kenal an nya
transportasinya	transportasi nya
lengkap	lengkap
menggandakan	men ganda kan
bisnisnya	bisnis nya
tekankan	tekan kan
terhubung	ter hubung
semenit	se menit
timbang	timbang
pinggir	pinggir
eksportir	eksportir
pasca	pasca
arsitektur	arsitektur
kendaraannya	kendara an nya
dihabiskan	di habis kan
terpilih	ter pilih
disisihkan	di sisih kan
terbentuknya	ter bentuk nya
memandangi	men pandang i
pengrajin	pen rajin
merepotkan	men repot kan
memproduksinya	men produksi nya
ratap	ratap
menyusuri	men susur i
memprotes	men protes
rancangan	rancang an
penghiburan	pen hibur an
dipungut	di pungut
bersenjatakan	ber senjata kan
menghormati	men hormat i
dimuliakan	di mulia kan
dicari	di cari
ditemani	di teman i
konservasi	konservasi
penggelembungan	pen gelembung an
pemaparan	pen papar an
diurai	di urai
mencontohkan	men contoh kan
izinnya	izin nya
pemasoknya	pen pasok nya
terpana	terpana
semapan	se mapan
omzet	omzet
dasarnya	dasar nya
dikurung	di kurung
menghadiri	men hadir i
jarinya	jari nya
mobilnya	mobil nya
menderita	men derita
diperbaharui	di per baharu i
berbelanja	ber belanja
tegar	tegar
tradisionalnya	tradisional nya
berbeda	ber beda
jeda	jeda
menelaah	men telaah
menerkam	men terkam
mengecilkan	men kecil kan
dokter	dokter
bunyi	bunyi
kuba	kuba
terintimidasi	ter intimidasi
menjadikannya	men jadi kan nya
bertani	ber tani
dindingnya	dinding nya
kendalikan	kendali kan
tertutup	ter tutup
serapan	serap an
terkutuk	ter kutuk
mencurinya	men curi nya
terkenal	ter kenal
menegangkan	men tegang kan
dijadikannya	di jadi kan nya
satkernya	satker nya
bulu	bulu
konsensus	konsensus
kecurigaan	ke curiga an
kuminta	ku minta
melimpahnya	men limpah nya
pencukur	pen cukur
menafsirkan	men tafsir kan
waduk	waduk
bergabung	ber gabung
ditekel	di tekel
dipilah	di pilah
mikro	mikro
pengurutan	pen urut an
administratifnya	administratif nya
diubahkan	di ubah kan
mempererat	men erat
suaranya	suara nya
ditjen	ditjen
maksimum	maksimum
mengekspor	men ekspor
konteksnya	konteks nya
disatukan	di satu kan
tuanmu	tuan mu
wajib	wajib
petinggi	petinggi
pelajaran	pelajar an
puji	puji
berkebun	ber kebun
kesempatannya	kesempatan nya
perlengkapannya	per lengkap an nya
tertawaan	ter tawa an
darussalam	darussalam
berisiko	ber risiko
terindah	ter indah
menjatuhi	men jatuh i
ditunda	di tunda
ulangan	ulang an
nyaris	nyaris
tercapainya	ter capai nya
teman	teman
asalnya	asal nya
desa	desa
petanya	peta nya
pelanggaran	pen langgar an
ditunjukkannya	di tunjuk kan nya
potongan	potong an
matang	matang
berinteraksi	ber interaksi
biro	biro
gugur	gugur
diurutkan	di urut kan
sengsara	sengsara
terima	terima
diaksesnya	di akses nya
didampinginya	di damping i nya
lanjut	lanjut
perduli	perduli
berbahagia	ber bahagia
memikulmu	men pikul mu
berpihak	ber pihak
ingat	ingat
dinasehati	di nasehat i
ditarik	di tarik
khawatir	khawatir
dihadiahi	di hadiah i
belikan	beli kan
mengukurkan	men ukur kan
cerah	cerah
kukenal	ku kenal
bertuliskan	ber tulis kan
keriput	keriput
allahku	allah ku
tergali	ter gali
terkoyak	ter koyak
tangkapannya	tangkap an nya
memberi	men beri
mekar	mekar
uang	uang
irlandia	irlandia
pencuri	pen curi
darurat	darurat
kontraktor	kontraktor
bara	bara
pulau	pulau
penghuni	pen huni
simbolis	simbolis
tinggal	tinggal
singkatnya	singkat nya
serangga	serangga
diseberangi	di seberang i
mengirim	men kirim
anggota	anggota
menghantarkan	men hantar kan
terkorup	ter korup
mengairi	men air i
seterusnya	se terus nya
separah	se parah
permasalahannya	per masalah an nya
mendesak	men desak
menyesatkan	men sesat kan
mereproduksinya	men reproduksi nya
menjamur	men jamur
mencium	men cium
kerasukan	ke rasuk an
dikumandangkan	di kumandang kan
menguasai	men kuasa i
semeriah	se meriah
dihindari	di hindar i
rendah	rendah
tempatmu	tempat mu
organisasinya	organisasi nya
terpangkas	ter pangkas
berbatasan	ber batas an
nelayan	nelayan
mengakses	men akses
baju	baju
janinnya	janin nya
menjelaskannya	men jelas kan nya
penutupnya	pen tutup nya
dilayani	di layan i
teknologi	teknologi
menekuni	men tekun i
istimewa	istimewa
melayani	men layan i
mengulangnya	men ulang nya
melengkapi	men lengkap i
indikator	indikator
biasa	biasa
dilemparkan	di lempar kan
juruselamatku	juruselamat ku
ambivalen	ambivalen
dibolehkan	di boleh kan
bertumpuk	ber tumpuk
diagunkan	di agun kan
ditelan	di telan
kagum	kagum
sadar	sadar
limpahan	limpah an
penunggak	pen tunggak
marjinal	marjinal
berbagi	ber bagi
bidannya	bidan nya
1990an	1990 an
curah	curah
merawatnya	men rawat nya
lahirnya	lahir nya
sangkaan	sangka an
menginspirasi	men inspirasi
terpalang	ter palang
skandalnya	skandal nya
kebutuhanku	ke butuh an ku
dipinjam	di pinjam
saringan	saring an
terserak	ter serak
ketidakadilan	ke tidak adil an
memperkokoh	men kokoh
dilantunkannya	di lantun kan nya
ledakan	ledak an
kurs	kurs
pemadaman	pen madam an
istri	istri
dipuji	di puji
mengeluarkannya	men keluar kan nya
melatarbelakangi	men latarbelakang i
perkawinannya	per kawin an nya
penerbangannya	pen terbang an nya
merekomendasi	men rekomendasi
menggosokkan	men gosok kan
fotokopi	fotokopi
melebur	men lebur
ketidakefektifan	ke tidak efektif an
melontarkan	men lontar kan
pembobolan	pen bobol an
menghakimi	men hakim i
memikulnya	men pikul nya
dicerna	di cerna
melangkahi	men langkah i
penuhi	penuh i
mengungguli	men unggul i
bersalah	ber salah
cair	cair
disamai	di sama i
terluas	ter luas
terurus	ter urus
menggenapi	men genap i
disebarluaskan	di sebarluas kan
berselang	ber selang
kapas	kapas
merehabilitasi	men rehabilitasi
diakhiri	di akhir i
menyederhanakannya	men sederhana kan nya
ban	ban
timnya	tim nya
pengikatan	pen ikat an
proses	proses
rekornya	rekor nya
memasangnya	men pasang nya
terkaya	ter kaya
topi	top i
bersepakat	ber sepakat
maju	maju
ragam	ragam
olahraga	olahraga
lebah	lebah
timbangan	timbang an
berhala	berhala
rantai	rantai
tergantung	ter gantung
membanting	men banting
menambah	men tambah
pertumbuhan	per tumbuh an
dianiaya	di aniaya
terabaikannya	ter abai kan nya
mewah	mewah
ketidakpastian	ke tidak pasti an
kebunnya	kebun nya
terasing	ter asing
ketidaktransparanan	ke tidak transparan an
muslim	muslim
prevalensi	prevalensi
robot	robot
mengarungi	men karung i
pikiran	pikir an
kepemimpinan	kepemimpinan
mendua	men dua
memandangku	men pandang ku
muatan	muat an
mencukupkan	men cukup kan
eksekutif	eksekutif
disuapi	di suap i
bangga	bangga
sesama	se sama
awak	awak
provinsi	provinsi
tetapnya	tetap nya
mendaftarkannya	men daftar kan nya
klasifikasi	klasifikasi
bawahmu	bawah mu
mual	mual
personal	personal
buktinya	bukti nya
mengobati	men obat i
wajar	wajar
dibebankan	di beban kan
kuatirmu	kuatir mu
terhalang	ter halang
merekatkan	men rekat kan
arsip	arsip
memiliki	men milik i
tips	tips
berdiri	ber diri
dimasukkannya	di masuk kan nya
ditimpakan	di timpa kan
jabatan	jabat an
adegan	adegan
berkerabat	ber kerabat
dipahami	di paham i
termasuk	ter masuk
percaya	percaya
dirujuk	di rujuk
palsu	palsu
menghambakan	men hamba kan
ditanya	di tanya
tentara	tentara
perpipaan	per pipa an
kelihatan	ke lihat an
ditendang	di tendang
menyebarluaskan	men sebarluas kan
pertokoan	per toko an
teragung	ter agung
tertancap	ter tancap
bersamanya	ber sama nya
diwajibkan	di wajib kan
terabaikan	ter abai kan
koneksi	koneksi
riilnya	riil nya
dihubungkan	di hubung kan
bertahap	ber tahap
label	label
kartu	kartu
bermukim	ber mukim
trend	trend
ditukar	di tukar
pertandingannya	per tanding an nya
dioptimalkan	di optimal kan
penyusunannya	pen susun an nya
memajang	men pajang
panah	panah
ditindaklanjuti	di tindaklanjut i
kupas	kupas
perabotan	perabot an
pemenuhannya	pen penuh an nya
menyiasatinya	men siasat i nya
menghafal	men hafal
inci	inci
menyiangi	men siang i
blok	blok
kuil	kuil
dikelola	di kelola
tunjangan	tunjang an
audit	audit
terinfeksi	ter infeksi
bergemuruh	ber gemuruh
tikus	tikus
bising	bising
memulihkan	men pulih kan
pemalsuan	pen palsu an
lidahnya	lidah nya
merontokkan	men rontok kan
gemar	gemar
menjaga	men jaga
imbas	imbas
memfasilitasi	men fasilitas i
mampukan	mampu kan
penutupan	pen tutup an
mempertanyakan	men tanya kan
terungkap	ter ungkap
tektonik	tektonik
pemandangannya	pen pandang an nya
pemetikan	pen petik an
mengikisnya	men kikis nya
bergelar	ber gelar
mencuri	men curi
fisika	fisika
merelakan	men rela kan
interupsi	interupsi
diraup	di raup
ketidaknyamanan	ke tidak nyaman an
terkoordinir	ter koordinir
kepunyaan	ke punya an
dorongan	dorong an
lantang	lantang
banknya	bank nya
mengkonfirmasikan	men konfirmasi kan
pemakaian	pen pakai an
dimakannya	di makan nya
cacing	cacing
pendokumentasian	pen dokumentasi an
kuyakini	ku yakin i
meletus	men letus
terowongan	terowongan
diagnosanya	nyagnosa nya
pakan	pakan
inggris	inggris
konsorsium	konsorsium
memberantas	men berantas
komponennya	komponen nya
penafsiran	pen tafsir an
puncaknya	puncak nya
penghasilannya	pen hasil an nya
sorenya	sore nya
mengajak	men ajak
selamatkanku	selamat kan ku
kapalnya	kapal nya
sarang	sarang
menjajakan	men jaja kan
goyang	goyang
mulanya	mula nya
dipilih	di pilih
terdalamnya	ter dalam nya
disepelekan	di sepele kan
konsekuensi	konsekuensi
transformasi	transformasi
merosot	merosot
efisiennya	efisien nya
mogok	mogok
teknik	teknik
dicurigai	di curiga i
inovasi	inovasi
selai	sela i
sopan	sopan
komersil	komersil
mempekerjakan	men pekerja kan
gerejanya	gereja nya
raga	raga
berfikir	ber fikir
penargetan	pen target an
padinya	padi nya
perbankan	per bank an
jatah	jatah
dagang	dagang
bakat	bakat
memfokuskan	men fokus kan
anyaman	anyam an
akunting	akunting
mengontrakkan	men kontrak kan
terkungkung	ter kungkung
kualifikasi	kualifikasi
brasil	brasil
setingkat	se tingkat
memanfaatkan	men manfaat kan
sumbangan	sumbang an
ajukan	aju kan
muslihat	muslihat
seluas	se luas
urusan	urus an
mengabdi	men abdi
menghargai	men harga i
jahitan	jahit an
berukuran	ber ukur an
pembentukan	pen bentuk an
tuliskan	tulis kan
penerus	pen terus
irigasinya	irigasi nya
jantung	jantung
kebobolan	ke bobol an
mengindahkan	men indah kan
dilaluinya	di lalu i nya
daerah	daerah
naiknya	naik nya
sinyal	sinyal
gejolak	gejolak
teringat	ter ingat
kepalamu	kepala mu
berlanjut	ber lanjut
takhta	takhta
tercantum	ter cantum
ketik	ketik
menipis	men tipis
warganya	warga nya
terdistribusikan	ter distribusi kan
membusuk	men busuk
mewakilinya	men wakil i nya
menamakan	men nama kan
aktifnya	aktif nya
toleransi	toleransi
ditambahkannya	di tambah kan nya
dilukis	di lukis
tinggi	tinggi
selengkap	se lengkap
rumitnya	rumit nya
memudarkan	men pudar kan
rayakan	raya kan
menaikkan	men naik kan
properti	properti
lengkapnya	lengkap nya
bina	bina
kulit	kulit
profesinya	profesi nya
bertengkar	ber tengkar
tamunya	tamu nya
harapannya	harap an nya
pribadinya	pribadi nya
kreativitas	kreativitas
bola	bola
identitasnya	identitas nya
mengasuransi	men asuransi
menyuburkan	men subur kan
dimaksud	di maksud
pengelolaannya	pen kelola an nya
muncul	muncul
sebanding	se banding
mempercepat	men cepat
fleksibel	fleksibel
hampa	hampa
wakil	wakil
diputus	di putus
sorot	sorot
melembaga	men lembaga
pertanggungjawabannya	per tanggungjawab an nya
pendiri	pen diri
bersangkutan	ber sangkut an
pencatatan	pen catat an
esa	esa
ajakan	ajak an
letusan	letus an
menjejak	men jejak
menyelidiki	men selidik i
mengesankan	men kesan kan
keramik	keramik
galian	gali an
kenaikan	ke naik an
diratifikasi	di ratifikasi
wahyu	wahyu
berpenampilan	ber pen tampil an
diindonesiakan	di indonesia kan
terkena	ter kena
memperkenankan	men kenan kan
menyamai	men sama i
uangnya	uang nya
penindasan	pen tindas an
longgar	longgar
ditanyai	di tanya i
tagihan	tagih an
jalanya	jala nya
penyucian	pen suci an
pengalokasiannya	pen alokasi an nya
lahan	lahan
jenazah	jenazah
dibentuknya	di bentuk nya
dikepung	di kepung
bernuansa	ber nuansa
stagnan	stagnan
antarmasyarakat	antar masyarakat
ibarat	ibarat
menyengsarakan	men sengsara kan
santai	santai
riba	riba
hulu	hulu
sumbangannya	sumbang an nya
beradu	ber adu
meluncur	men luncur
memasyarakat	men masyarakat
pengetahuan	pengetahuan
pengekspor	pen ekspor
agresif	agresif
menggema	men gema
penebusan	pen tebus an
kompas	kompas
simbol	simbol
direspon	di respon
survei	survei
tertahankan	ter tahan kan
petugas	petugas
mencintai	men cinta i
utangnya	utang nya
persalinannya	per salin an nya
mendaftar	men daftar
kunjungi	kunjung i
diletakkan	di letak kan
asteroid	asteroid
pendapatan	pen dapat an
kompetensi	kompetensi
ironis	ironis
ceroboh	ceroboh
melewatinya	men lewat i nya
menjamin	men jamin
sidik	sidik
rohnya	roh nya
aniaya	aniaya
besok	besok
pakunya	paku nya
mengadministrasikan	men administrasi kan
posisi	posisi
nikel	nikel
sekelompok	se kelompok
diperkuat	di per kuat
pertunjukannya	per tunjuk an nya
menyembah	men sembah
tafsiran	tafsir an
bulannya	bulan nya
menganggukkan	men angguk kan
memperlengkapi	men lengkap i
detail	detail
perwujudan	per wujud an
saleh	saleh
persendian	per sendi an
digunakannya	di guna kan nya
menyentak	men sentak
rodanya	roda nya
terlukiskan	ter lukis kan
fluktuasi	fluktuasi
max	max
terperinci	ter pen rinci
diperingan	di per ringan
penyitaan	pen sita an
menyarankan	men saran kan
daratnya	darat nya
berlangsung	ber langsung
motif	motif
materi	materi
halangan	halang an
posyandu	posyandu
burung	burung
berstatus	ber status
penandatanganan	pen tandatangan an
perbelanjaan	per belanja an
usulannya	usul an nya
badak	badak
mulus	mulus
mempelajarinya	men pelajar i nya
pemusnahan	pen musnah an
muda	muda
saran	saran
evolusi	evolusi
