halnya	hal nya
memanjatkan	men panjat kan
alkitab	alkitab
berunding	ber runding
suap	suap
danau	danau
pelestarian	pen lestari an
diredam	di redam
terpendam	ter pendam
akses	akses
kakak	kakak
eksekutif	eksekutif
sunyi	sunyi
ceritanya	cerita nya
mencangkul	men cangkul
terbentuk	ter bentuk
disinyalir	di sinyalir
menilik	men tilik
pelanggar	pen langgar
sertifikasi	sertifikasi
sebangsanya	se bangsa nya
pelunasan	pen lunas an
kandungan	kandung an
pangsa	pangsa
kantong	kantong
menumpas	men tumpas
memperbaikinya	men baik i nya
panjangnya	panjang nya
etis	etis
memanennya	men panen nya
membesarkan	men besar kan
sesampainya	se sampai nya
mengutusnya	men utus nya
polisi	polisi
diminimalkan	di minimal kan
menebusnya	men tebus nya
mengekspor	men ekspor
diampuni	di ampun i
kalanya	kala nya
memerangi	men perang i
menyangka	men sangka
kacang	kacang
diakui	di aku i
berakhirnya	ber akhir nya
aus	aus
gelas	gelas
pesawatnya	pesawat nya
menganjurkan	men anjur kan
situs	situs
perundingan	pen runding an
ditinggalkan	di tinggal kan
dijelaskan	di jelas kan
cermin	cermin
pengecualian	pengecualian
diangkat	di angkat
steril	steril
pengeruk	pen keruk
merubuhkan	men rubuh kan
buatan	buat an
ditelepon	di telepon
disalib	di salib
tersentuh	ter sentuh
bir	bir
pengetahuan	pengetahuan
membuatku	men buat ku
mekar	mekar
penjaminan	pen jamin an
perdamaian	per damai an
melayani	men layan i
tertancap	ter tancap
berbatu	ber batu
sabaran	sabar an
semut	semut
samudera	samudera
sajian	saji an
didiagnosa	di diagnosa
macam	macam
menunggak	men tunggak
disempurnakan	di sempurna kan
parameter	parameter
menjagamu	men jaga mu
hadapanku	hadap an ku
lebih	lebih
panggung	panggung
berbelok	ber belok
laksanakan	laksana kan
bahagia	bahagia
film	film
lamanya	lama nya
ikutannya	ikut an nya
lupakan	lupa kan
aroma	aroma
dedikasi	dedikasi
menyiasati	men siasat i
diperhitungkan	di per hitung kan
perkreditan	per kredit an
antarguru	antar guru
diperbesar	di per besar
membekas	men bekas
aborsi	aborsi
diucapkan	di ucap kan
lingkungannya	lingkung an nya
pertaruhan	per taruh an
rekor	rekor
gerutu	gerutu
taksir	taksir
bersaing	ber saing
peledak	pen ledak
tekad	tekad
terbaik	ter baik
pembacanya	pen baca nya
kumuhnya	kumuh nya
barangsiapa	barangsiapa
persentasenya	persentase nya
meyakini	men yakin i
dialirkan	di alir kan
berinisiatif	ber inisiatif
induknya	induk nya
menguatkannya	men kuat kan nya
paruhnya	paruh nya
cari	cari
janjinya	janji nya
tenggang	tenggang
kehendaknya	kehendak nya
dipasang	di pasang
mendesak	men desak
sedia	sedia
matriks	matriks
nonpenerima	non pen terima
misalnya	misal nya
lambatnya	lambat nya
mengering	men kering
implikasinya	implikasi nya
natalnya	natal nya
pendanaannya	pen dana an nya
diprotes	di protes
koleksinya	koleksi nya
kerabatnya	kerabat nya
ingat	ingat
verifikasinya	verifikasi nya
bercerai	ber cerai
belahan	belah an
mengucap	men ucap
menderita	men derita
menyurati	men surat i
ciri	ciri
diperingatkan	di per ingat kan
pengunduran	pen undur an
sadar	sadar
adam	adam
pedang	pedang
surut	surut
ahlinya	ahli nya
renang	renang
neraka	neraka
pernikahannya	per nikah an nya
layang	layang
investigasi	investigasi
serigala	serigala
serapan	serap an
kejadiannya	ke jadi an nya
diartikan	di arti kan
partikel	partikel
menemaninya	men teman i nya
ditelanjangi	di telanjang i
memandikan	men mandi kan
menewaskan	men tewas kan
melelehkan	men leleh kan
menggoyang	men goyang
bersentuhan	ber sentuh an
gejolak	gejolak
tercapai	ter capai
jejak	jejak
terdata	ter data
bima	bima
menelepon	men telepon
pelaut	pen laut
membahu	men bahu
ramai	ramai
jurusan	jurus an
terlarang	ter larang
perenungannya	pen renung an nya
menggantung	men gantung
dicakup	di cakup
mental	mental
evaluasi	evaluasi
bersamaku	ber sama aku
pengintegrasian	pen integrasi an
diterbitkan	di terbit kan
berambisi	ber ambisi
saksi	saksi
penjaminnya	pen jamin nya
sekeras	se keras
sembuh	sembuh
tersihir	ter sihir
prediksi	prediksi
jajak	jajak
penjelajahan	pen jelajah an
raksasa	raksasa
mengaburkan	men kabur kan
reaksi	reaksi
menikahi	men nikah i
sebagian	sebagian
sekawasan	se kawasan
kotoran	kotor an
menggemparkan	men gempar kan
pengaruh	pengaruh
pertalian	per tali an
ditebus	di tebus
hubunganmu	hubung an mu
terjebak	ter jebak
abstrak	abstrak
pemahaman	pen paham an
teladannya	teladan nya
mementingkan	men penting kan
inovasi	inovasi
merawati	men rawat i
menggetarkan	men getar kan
diintegrasikan	di integrasi kan
ui	ui
kejadianku	ke jadi an ku
rambutan	rambut an
mengacuhkan	men acuh kan
campur	campur
menyampaikannya	men sampai kan nya
tertinggi	ter tinggi
menegaskan	men tegas kan
sesak	sesak
penipuan	pen tipu an
mengambilkan	men ambil kan
merendahkan	men rendah kan
pengaduannya	pen adu an nya
mampuan	mampu an
porsi	porsi
diatasnya	di atas nya
menyobek	men sobek
mengumumkan	men umum kan
ketelanjangan	ke telanjang an
berdetak	ber detak
wawancara	wawancara
mengijonkan	men ijon kan
sejam	se jam
timbulnya	timbul nya
tersesatnya	ter sesat nya
pengetahuannya	pengetahuan nya
wartawan	wartawan
bakunya	baku nya
tampaknya	tampak nya
produktivitas	produktivitas
selera	selera
pengelolanya	pen kelola nya
perkumpulan	per kumpul an
tesnya	tes nya
teringat	ter ingat
proyeksi	proyeksi
keras	keras
mengurai	men urai
semapan	se mapan
menyetujui	men setuju i
kesenjangan	kesenjangan
cicilan	cicil an
irigasi	irigasi
periang	pen riang
membelanjakan	men belanja kan
sama	sama
massal	massal
diutus	di utus
membaiknya	men baik nya
kombinasi	kombinasi
berbelanja	ber belanja
singa	singa
berlebih	ber lebih
merambah	men rambah
bermotor	ber motor
bersiap	ber siap
paruh	paruh
membuatkan	men buat kan
meminimalkan	men minimal kan
penggalangan	pen galang an
penelitinya	pen teliti nya
antarorangtua	antar orangtua
merebak	men rebak
gugup	gugup
ditempuh	di tempuh
terencana	ter rencana
meminum	men minum
memperburuk	men buruk
sampingan	samping an
dikomunikasikan	di komunikasi kan
telaah	telaah
antarjenjang	antar jenjang
urbanisasi	urbanisasi
terpadu	ter padu
bahasan	bahas an
akibatnya	akibat nya
dadaku	dada aku
menyalahgunakannya	men salahguna kan nya
badai	badai
diukir	di ukir
dihantam	di hantam
isak	isak
merotasi	men rotasi
melobi	men lobi
pundak	pundak
peninjauan	pen tinjau an
juni	juni
ayahmu	ayah mu
melebur	men lebur
buntu	buntu
listrik	listrik
bersandar	ber sandar
digarap	di garap
mengenangnya	men kenang nya
ketidakadilan	ke tidak adil an
dicap	di cap
perantaraan	perantara an
pengiring	pen iring
karyanya	karya nya
penyalur	pen salur
buka	buka
kimiawi	kimiawi
garapan	garap an
pemulihan	pen pulih an
dipelajarinya	di pelajar i nya
menyapa	men sapa
respon	respon
dilalui	di lalu i
akuntabilitas	akuntabilitas
revolusi	revolusi
menggantinya	men ganti nya
april	april
indahnya	indah nya
penindasan	pen tindas an
pergiliran	per gilir an
kudengar	ku dengar
pengalengan	pen kaleng an
penerjemahan	pen terjemah an
mempromosikan	men promosi kan
penyerahannya	pen serah an nya
diduga	di duga
jamuan	jamu an
menggerakkan	men gerak kan
evolusi	evolusi
galangan	galang an
jiwa	jiwa
bungkusan	bungkus an
dikerjasamakan	di kerjasama kan
leganya	lega nya
berkedudukan	ber ke duduk an
juru	juru
gitar	gitar
mengaruniakan	men karunia kan
perumahan	pen rumah an
perkebunan	per kebun an
bapa	bapa
menceburkan	men cebur kan
embun	embun
baki	bak i
lesu	lesu
pengajuannya	pen aju an nya
seefektif	se efektif
mengubah	men ubah
meninggalkan	men tinggal kan
meratifikasi	men ratifikasi
memasangnya	men pasang nya
loncatan	loncat an
mencanangkan	men canang kan
payung	payung
berharap	ber harap
tengkorak	tengkorak
memenuhi	men penuh i
bebasnya	bebas nya
penerimaan	pen terima an
pasca	pasca
dimanipulasi	di manipulasi
pendam	pendam
perancangan	pen rancang an
rambutku	rambut ku
parit	parit
ketidakakuratan	ke tidak akurat an
perbendaharaannya	per bendahara an nya
administratifnya	administratif nya
robot	robot
menyekolahkan	men sekolah kan
mematikan	men mati kan
penagihannya	pen tagih an nya
menerobos	men terobos
tentu	tentu
berselang	ber selang
juruselamatnya	juruselamat nya
menghambakan	men hamba kan
parsial	parsial
diulas	di ulas
penyiar	pen siar
parahnya	parah nya
membanjirnya	men banjir nya
berargumentasi	ber argumentasi
memanen	men panen
mengemudi	men kemudi
pengayaan	pen kaya an
berkesan	ber kesan
ditagih	di tagih
isolasi	isolasi
jumlah	jumlah
cangkang	cangkang
dikonfirmasikan	di konfirmasi kan
tekankan	tekan kan
mengirimnya	men kirim nya
tenar	tenar
puncaknya	puncak nya
babakan	babak an
menghancurkannya	men hancur kan nya
ukuran	ukur an
kucilkan	kucil kan
konsekuensi	konsekuensi
gembira	gembira
raja	raja
moneter	moneter
letusannya	letus an nya
penebus	pen tebus
tuhanku	tuhan ku
ilmu	ilmu
dijatuhkan	di jatuh kan
diperkenalkan	di per kenal kan
antardaerah	antar daerah
sabet	sabet
ditimpakan	di timpa kan
bulanan	bulan an
kasi	kas i
diulangi	di ulang i
dipublikasikan	di publikasi kan
gerejanya	gereja nya
nuklir	nuklir
penyampaiannya	pen sampai an nya
mengantarnya	men antar nya
membujuk	men bujuk
penyerahan	pen serah an
kurun	kurun
sertifikatnya	sertifikat nya
antarvariabel	antar variabel
memikirkan	men pikir kan
tabrak	tabrak
ditaburkan	di tabur kan
semusim	se musim
rambut	rambut
dinas	dinas
anggap	anggap
menyebarnya	men sebar nya
melarat	melarat
album	album
kajian	kaji an
pengungkapan	pen ungkap an
dipilihkan	di pilih kan
berdiam	ber diam
bajak	bajak
memerlukan	men perlu kan
membuahkan	men buah kan
menyebar	men sebar
merepotkan	men repot kan
olokan	olok an
kejatuhannya	ke jatuh an nya
dipermuliakan	di per mulia kan
mengelilinginya	men keliling i nya
serikat	serikat
allahku	allah ku
menyeringai	men seringai
melewati	men lewat i
menemani	men teman i
eksportir	eksportir
menyamar	men samar
statistik	statistik
membalas	men balas
melompat	men lompat
susukan	susu kan
membatu	men batu
suaraku	suara aku
pembebasan	pen bebas an
didengarnya	di dengar nya
pengepakan	pen kepak an
memberitahukan	men beritahu kan
cuci	cuci
kredibel	kredibel
damai	damai
merisaukan	men risau kan
penguasaan	pen kuasa an
pencipta	pen cipta
sesuatunya	sesuatu nya
penjabaran	pen jabar an
paksaan	paksa an
potongan	potong an
sepengetahuan	se pengetahuan
getah	getah
memegang	men pegang
perhiasan	per hias an
usianya	usia nya
sirkuit	sirkuit
ditanamkan	di tanam kan
jabatannya	jabat an nya
penggembala	pen gembala
pengalih	pen alih
nonmuslim	nonmuslim
beraneka	ber aneka
batin	batin
elpiji	elpiji
sukarela	sukarela
prestasinya	prestasi nya
kotak	kotak
penyelaras	pen selaras
transportasinya	transportasi nya
rekonstruksinya	rekonstruksi nya
mencuri	men curi
liriknya	lirik nya
respons	respons
kampus	kampus
diperkirakannya	di per kira kan nya
menenun	men tenun
realitas	realitas
rela	rela
lemparan	lempar an
anjingnya	anjing nya
terancam	ter ancam
antarjenis	antar jenis
tinju	tinju
teluk	teluk
meratapi	men ratap i
terprogram	ter program
muka	muka
kriteria	kriteria
menghindarkan	men hindar kan
diubahnya	di ubah nya
memperbolehkan	men boleh kan
berdalih	ber dalih
baiknya	baik nya
hartanya	harta nya
emosional	emosional
permennya	permen nya
memadamkan	men madam kan
menindaklanjuti	men tindaklanjut i
dindingnya	dinding nya
dirham	dirham
surgawinya	surgawi nya
poster	poster
pelacur	pen lacur
seporsi	se porsi
maksimal	maksimal
cacing	cacing
bertobat	ber tobat
memformulasikan	men formulasi kan
keterampilannya	keterampilan nya
menghafal	men hafal
relawan	rela wan
pemuji	pen puji
pengemis	pen kemis
berunjuk	ber unjuk
disimpulkannya	di simpul kan nya
memastikan	men pasti kan
ketidakpekaan	ke tidak peka an
pendengarnya	pen dengar nya
istana	istana
perkotaan	per kota an
mengobati	men obat i
ditoleransi	di toleransi
hayatnya	hayat nya
berhubungan	ber hubung an
hak	hak
rapuhnya	rapuh nya
material	material
menjagaku	men jaga aku
obat	obat
cerai	cerai
gabus	gabus
judi	judi
mengurangkan	men kurang kan
memerbaiki	men perbaiki
kecewa	kecewa
yunani	yunani
mengeluarkan	men keluar kan
pegawainya	pegawai nya
kadar	kadar
pedihnya	pedih nya
sikapnya	sikap nya
tuan	tuan
piring	piring
diutarakan	di utara kan
dibaca	di baca
sewaktu	se waktu
berkala	ber kala
kondusif	kondusif
tepuk	tepuk
kalori	kalori
penyusun	pen susun
upahnya	upah nya
potensial	potensial
digembalakan	di gembala kan
memperdamaikan	men damai kan
tertanam	ter tanam
guru	guru
mengejeknya	men ejek nya
menganugerahkan	men anugerah kan
limbah	limbah
diternakkan	di ternak kan
tersajikan	ter saji kan
ditanami	di tanam i
sempurnanya	sempurna nya
sintetis	sintetis
kaisar	kaisar
olahraganya	olahraga nya
syairnya	syair nya
distrik	distrik
merpati	merpati
khawatir	khawatir
penuturan	pen tutur an
penagihan	pen tagih an
familinya	famili nya
kamis	kamis
aset	aset
mendayagunakan	men dayaguna kan
teridentifikasi	ter identifikasi
berita	berita
menghadapi	men hadap i
diperlukannya	di perlu kan nya
dipindahkan	di pindah kan
editorialnya	editorial nya
1990an	1990 an
dipedulikan	di peduli kan
memasukkan	men masuk kan
diperingkat	di peringkat
terbunuh	ter bunuh
uang	uang
depkeu	depkeu
sosial	sosial
kompilasi	kompilasi
terlampau	ter lampau
gemar	gemar
mengawasinya	men awas i nya
baca	baca
gulung	gulung
pengelola	pen kelola
sinyal	sinyal
khazanah	khazanah
penenun	pen tenun
olimpiade	olimpiade
berusaha	ber usaha
persembunyiannya	per sembunyi an nya
diketahuinya	di ketahui nya
armada	armada
domestik	domestik
laksana	laksana
nuansa	nuansa
skeptis	skeptis
repotnya	repot nya
kita	kita
perindustrian	per industri an
bilik	bilik
pariwisata	pariwisata
meneruskan	men terus kan
melecehkan	men leceh kan
berpikirnya	ber pikir nya
dilaporkan	di lapor kan
menendang	men tendang
sah	sah
pengertiannya	pengertian nya
berbaring	ber baring
ditantang	di tantang
dibacanya	di baca nya
kliennya	klien nya
menjumpai	men jumpa i
terseleksi	ter seleksi
sukarnya	sukar nya
kulit	kulit
laparnya	lapar nya
senapan	senapan
tercetak	ter cetak
berkampanye	ber kampanye
sholat	sholat
bernyanyi	ber nyanyi
beragama	ber agama
terhambatnya	ter hambat nya
cepat	cepat
pribadinya	pribadi nya
ternak	ternak
observasi	observasi
meraup	men raup
tepung	tepung
sehebat	se hebat
wilayahnya	wilayah nya
sebijaksana	se bijaksana
peningkatannya	pen tingkat an nya
terjepit	ter jepit
perbudakan	per budak an
diagram	diagram
cantik	cantik
ukur	ukur
diembannya	di emban nya
membayar	men bayar
mengejar	men kejar
duri	duri
tewas	tewas
natal	natal
menyengsarakan	men sengsara kan
komitenya	komite nya
antarstatus	antar status
membukakan	men buka kan
obatan	obat an
menandai	men tanda i
olahragawan	olahraga wan
berlanjut	ber lanjut
dosennya	dosen nya
mempermasalahkannya	men masalah kan nya
trend	trend
pengembalian	pen kembali an
belenggu	belenggu
cukurnya	cukur nya
pas	pas
kelam	kelam
menghanguskan	men hangus kan
tercanggih	ter canggih
mengepalai	men kepala i
prosedur	prosedur
dilunasi	di lunas i
pengatur	pen atur
perhubungan	per hubung an
terkemuka	ter kemuka
membanggakan	men bangga kan
wiraswastawan	wiraswasta wan
radiasi	radiasi
asramanya	asrama nya
gembalaku	gembala aku
ditanyakan	di tanya kan
menyita	men sita
tangkapan	tangkap an
tercantum	ter cantum
pembaru	pen baru
punglinya	pungli nya
kelasnya	kelas nya
ditegur	di tegur
terselip	ter selip
terkejut	ter kejut
mengeringkan	men kering kan
minimal	minimal
mengosongkannya	men kosong kan nya
mengucilkan	men kucil kan
panggil	panggil
percepatan	per cepat an
antar	antar
diwarnai	di warna i
purbakala	purbakala
asuhan	asuh an
didialogkan	di dialog kan
penyelenggaraannya	pen selenggara an nya
perbaikan	per baik an
rekornya	rekor nya
bertumbuh	ber tumbuh
membenarkan	men benar kan
kontroversi	kontroversi
bakatnya	bakat nya
kuperintahkan	ku perintah kan
mengikuti	men ikut i
peliharaannya	pelihara an nya
mencocokkannya	men cocok kan nya
hartamu	harta mu
tanamkan	tanam kan
diambilnya	di ambil nya
miskin	miskin
kredit	kredit
pengangguran	pen anggur an
menjadi	men jadi
yakini	yakin i
kendaraannya	kendara an nya
sokongan	sokong an
pengarung	pen karung
berjarak	ber jarak
mewawancarainya	men wawancara i nya
disarankan	di saran kan
senilai	se nilai
perolehannya	peroleh an nya
sekantung	se kantung
konfirmasi	konfirmasi
merekonstruksi	men rekonstruksi
dewan	dewan
pengkhianatan	pen khianat an
menyuguhkan	men suguh kan
menggandakan	men ganda kan
mainanmu	main an mu
pendingin	pen dingin
angkasa	angkasa
sekolah	sekolah
matanya	mata nya
dijangkau	di jangkau
perabot	perabot
membelanjakannya	men belanja kan nya
aib	aib
refleksi	refleksi
berkompromi	ber kompromi
daunnya	daun nya
pemeluk	pen peluk
bubungan	bubung an
menetapkannya	men tetap kan nya
tontonan	tonton an
dibayangkan	di bayang kan
miliki	milik i
unggulan	unggul an
golongan	golong an
menyingkap	men singkap
ketidakberanian	ke tidak berani an
dikelolanya	di kelola nya
membelikan	men beli kan
besi	besi
pengikat	pen ikat
kaum	kaum
katamu	kata mu
diorganisasi	di organisasi
menunjuk	men tunjuk
karya	karya
jenewa	jenewa
penunjang	pen tunjang
terpentingnya	ter penting nya
pakai	pakai
meletusnya	men letus nya
bercanda	ber canda
menggembirakan	men gembira kan
mengejutkannya	men kejut kan nya
mendasari	men dasar i
menantangnya	men tantang nya
tindih	tindih
kerasukan	ke rasuk an
dikutuk	di kutuk
komplain	komplain
ketidakkonsistenan	ke tidak konsisten an
memanggang	men panggang
pemusik	pen musik
saldo	saldo
presentasi	presentasi
sembunyikan	sembunyi kan
dipersentasekan	di persentase kan
hinaan	hina an
terbunuhnya	ter bunuh nya
ranjang	ranjang
patokan	patok an
daging	daging
santun	santun
berharga	ber harga
ditetapkan	di tetap kan
kondisinya	kondisi nya
jaminannya	jamin an nya
perceraiannya	per cerai an nya
diambilkan	di ambil kan
dihormati	di hormat i
jabodetabek	jabodetabek
diperdagangkan	di per dagang kan
hidung	hidung
hakekat	hakekat
didirikan	di diri kan
liga	liga
sentuhan	sentuh an
termahal	ter mahal
uap	uap
seusai	se usai
topik	topik
pengestimasian	pen estimasi an
televisi	televisi
kejar	kejar
privasi	privasi
perspektif	perspektif
dirapatkan	di rapat kan
penerbitan	pen terbit an
likuiditas	likuiditas
talenta	talenta
digendong	di gendong
kebangkitan	ke bangkit an
pemasaran	pen pasar an
obligasi	obligasi
penyadaran	pen sadar an
dipanggang	di panggang
diberitahu	di beritahu
seksual	seksual
komentar	komentar
sempitnya	sempit nya
logo	logo
darah	darah
hambaku	hamba aku
klasiknya	klasik nya
mengharuskan	men harus kan
kepindahan	ke pindah an
nama	nama
benaknya	benak nya
kamboja	kamboja
irigasinya	irigasi nya
diaudit	di audit
kontraknya	kontrak nya
wanita	wanita
dilacak	di lacak
hunian	huni an
kumiliki	ku milik i
wol	wol
terpencil	terpencil
liciknya	licik nya
dituliskan	di tulis kan
riil	riil
abaikan	abai kan
camat	camat
walikota	walikota
ditekuni	di tekun i
merampas	men rampas
beralih	ber alih
etnik	etnik
suaranya	suara nya
ternaknya	ternak nya
menerangkan	men terang kan
pelantikannya	pen lantik an nya
dikirimkan	di kirim kan
saji	saji
menginstruksikan	men instruksi kan
skala	skala
memperlihatkan	men lihat kan
diimunisasi	di imunisasi
atom	atom
menyelesaikan	men selesai kan
logonya	logo nya
penerima	pen terima
menciptakan	men cipta kan
diinvestasikan	di investasi kan
menengok	men tengok
dikepung	di kepung
pelelangan	pen lelang an
mengutip	men kutip
efektifitas	efektifitas
meluangkan	men luang kan
menjanda	men janda
prakarsa	prakarsa
meniadakan	men tiada kan
ramainya	ramai nya
penyebarluasan	pen sebarluas an
mobilisasi	mobilisasi
mencemari	men cemar i
bertatap	ber tatap
urusanku	urus an ku
terbentur	ter bentur
kriterianya	kriteria nya
antusiasme	antusiasme
musium	musium
penonton	pen tonton
dimaksimalkan	di maksimal kan
kipas	kipas
mengizinkannya	men izin kan nya
menjerit	men jerit
sahut	sahut
menuntutnya	men tuntut nya
dilucuti	di lucut i
cobaan	coba an
takjub	takjub
menggoyahkan	men goyah kan
diurai	di urai
tentunya	tentu nya
realisasi	realisasi
tingginya	tinggi nya
simpulkan	simpul kan
pertahanan	per tahan an
dihakimi	di hakim i
pengamat	pengamat
memperlancar	men lancar
sapi	sapi
sulit	sulit
tercatat	ter catat
dikoordinasikan	di koordinasi kan
selasa	selasa
dititipkan	di titip kan
ditentukan	di tentu kan
jagung	jagung
dibayar	di bayar
diiringi	di iring i
rajaku	raja aku
istimewa	istimewa
memaparkan	men papar kan
bayaran	bayar an
terbuai	ter buai
mengkomunikasikan	men komunikasi kan
beraib	ber aib
diklasifikasi	di klasifikasi
peningkatan	pen tingkat an
terkini	terkini
wajan	wajan
merombak	men rombak
mendominasi	men dominasi
diperbaruinya	di per baru i nya
didukung	di dukung
menyebabkan	men sebab kan
menghiasi	men hias i
kawanan	kawan an
gusar	gusar
diluputkan	di luput kan
corak	corak
berdarah	ber darah
terungkapkan	ter ungkap kan
difungsikan	di fungsi kan
memerintahkannya	men perintah kan nya
protokol	protokol
gaji	gaji
jangkau	jangkau
akad	akad
berkebalikan	ber ke balik an
terpasang	ter pasang
akumulasi	akumulasi
ular	ular
rute	rute
mendekati	men dekat i
bermekaran	ber mekar an
kabut	kabut
mengandalkan	men andal kan
tertangkap	ter tangkap
data	data
menjamin	men jamin
ditinggal	di tinggal
adanya	ada nya
belanjaan	belanja an
gubernurnya	gubernur nya
pembatasan	pen batas an
antarprovinsi	antar provinsi
jawabannya	jawab an nya
rincian	rinci an
mahal	mahal
berkabung	berkabung
efisiensinya	efisiensi nya
kudanya	kuda nya
realokasi	realokasi
berselisih	ber selisih
denpasar	denpasar
kasusnya	kasus nya
mengungkapkan	men ungkap kan
bernegosiasi	ber negosiasi
ditimbulkannya	di timbul kan nya
menyedihkan	men sedih kan
berbiaya	ber biaya
ketidakhadiran	ke tidak hadir an
disemayamkan	di semayam kan
lelah	lelah
penguasanya	pen kuasa nya
tersayat	ter sayat
berdinding	ber dinding
terperangkap	ter pen rangkap
menoleransinya	men toleransi nya
penafsir	pen tafsir
menko	menko
implikasi	implikasi
penambang	pen tambang
disahkan	di sah kan
dihapuskan	di hapus kan
canggih	canggih
melenyapkan	men lenyap kan
menular	men tular
menghimpunkan	men himpun kan
kebutuhanku	ke butuh an ku
dirjen	dirjen
termasuk	ter masuk
imam	imam
barangnya	barang nya
tercurah	ter curah
madunya	madu nya
belikan	beli kan
dipadukan	di padu kan
awet	awet
pengadu	pen adu
lupa	lupa
sepuasnya	se puas nya
rancangan	rancang an
menjauhkan	men jauh kan
butuh	butuh
fotokopinya	fotokopi nya
dihabiskan	di habis kan
bidannya	bidan nya
konferensi	konferensi
mengklasifikasikan	men klasifikasi kan
menyelamatkannya	men selamat kan nya
permata	permata
turunannya	turun an nya
operasinya	operasi nya
batasan	batas an
memburuk	men buruk
separah	se parah
yahudi	yahudi
ditunjukkan	di tunjuk kan
emosinya	emosi nya
demonstrasi	demonstrasi
amarahnya	amarah nya
tertabrak	ter tabrak
hektar	hektar
menunggang	men tunggang
daftarkan	daftar kan
selayaknya	se layak nya
menggolongkan	men golong kan
menuliskan	men tulis kan
berdampingan	ber damping an
traktornya	traktor nya
menelusuri	men telusuri
perpipaan	per pipa an
seni	seni
menggugat	men gugat
merenovasi	men renovasi
sinarnya	sinar nya
kalkun	kalkun
terpenuhinya	men penuh i nya
tangerang	tangerang
berasumsi	ber asumsi
berumput	ber rumput
persekutuannya	per sekutu an nya
ulang	ulang
organik	organik
asalnya	asal nya
jahe	jahe
kadonya	kado nya
kandangnya	kandang nya
tuntut	tuntut
klorofil	klorofil
mempersulit	men sulit
membenci	men benci
konversi	konversi
sukacita	sukacita
dilumpuhkan	di lumpuh kan
batang	batang
menjamur	men jamur
menyebarkan	men sebar kan
melumpuhkan	men lumpuh kan
kebobolan	ke bobol an
hampa	hampa
persidangan	per sidang an
bersejarah	ber sejarah
bergema	ber gema
rujukan	rujuk an
delima	delima
mengucapkan	men ucap kan
bergegas	ber gegas
organ	organ
mendongkrak	men dongkrak
dipilihnya	di pilih nya
kas	kas
resep	resep
lahirnya	lahir nya
permukiman	per mukim an
dikenal	di kenal
mencerminkan	men cermin kan
pengobatannya	pen obat an nya
mayat	mayat
telak	telak
firaun	firaun
konstan	konstan
bangkrut	bangkrut
persneling	persneling
bercirikan	ber ciri kan
berpakaian	ber pakai an
doa	doa
topeng	topeng
tangkapannya	tangkap an nya
mereda	men reda
lain	lain
ketidaklengkapan	ke tidak lengkap an
melunasinya	men lunas i nya
dampaknya	dampak nya
resiko	resiko
umur	umur
peranannya	peran an nya
perkasa	perkasa
uraian	urai an
lihat	lihat
sore	sore
keramik	keramik
iri	iri
tersobek	ter sobek
jadwal	jadwal
asalan	asal an
tuna	tuna
antarwilayah	antar wilayah
menjawab	men jawab
diusik	di usik
meregangkan	men regang kan
mendetail	men detail
mengikutkan	men ikut kan
bertambah	ber tambah
dicabut	di cabut
kupasang	ku pasang
menikah	men nikah
bersama	ber sama
diutamakan	di utama kan
pendamaian	pen damai an
posisinya	posisi nya
laptop	laptop
selengkap	se lengkap
perangkat	perangkat
mencarinya	men cari nya
pengeringan	pen kering an
menghargainya	men harga i nya
klub	klub
padi	padi
silam	silam
proses	proses
penangguhan	pen tangguh an
bagiannya	bagi an nya
dideklarasikan	di deklarasi kan
terealisasikan	ter realisasi kan
ampuh	ampuh
auman	aum an
dipelajari	di pelajar i
minat	minat
pengguna	pen guna
tambak	tambak
etnis	etnis
terlewatkan	ter lewat kan
smp	smp
melatarbelakangi	men latarbelakang i
memungut	men pungut
menanggulangi	men tanggulang i
memberitahuku	men beritahu ku
komentarnya	komentar nya
pabrik	pabrik
fotokopi	fotokopi
menyumbang	men sumbang
memburuknya	men buruk nya
ungkapan	ungkap an
melayu	melayu
menyuapkannya	men suap kan nya
menipu	men tipu
produk	produk
gantung	gantung
roh	roh
memprediksikan	men prediksi kan
dipertahankan	di per tahan kan
sejenisnya	se jenis nya
diterus	di terus
privasinya	privasi nya
penahan	pen tahan
komitmen	komitmen
motonya	moto nya
dibenci	di benci
dikte	dikte
omongan	omong an
merangkak	men rangkak
wisatawan	wisata wan
planet	planet
penunjukan	pen tunjuk an
pengikutnya	pen ikut nya
duka	duka
ikuti	ikut i
pengeluarannya	pen keluar an nya
mengeluarkannya	men keluar kan nya
bantalan	bantal an
melupakanku	men lupa kan ku
didarati	di darat i
konsensus	konsensus
direkam	di rekam
menyarankan	men saran kan
tekanan	tekan an
ketidakadaan	ke tidak ada an
pelanggaran	pen langgar an
perdananya	perdana nya
memperhitungkan	men hitung kan
jungkir	jungkir
letusan	letus an
dayanya	daya nya
mengontak	men kontak
rapi	rapi
mempercayainya	men percaya i nya
pembentuk	pen bentuk
menyinggung	men singgung
ditembak	di tembak
restrukturisasi	restrukturisasi
lentur	lentur
berpotensial	ber potensial
eksternal	eksternal
meningkatnya	men tingkat nya
diterjunkan	di terjun kan
penganut	pen anut
bikin	bikin
pulang	pulang
terakomodasi	ter akomodasi
naungan	naung an
disisipkan	di sisip kan
pengerukan	pen keruk an
gitarnya	gitar nya
