mengganggu	men ganggu
bersejarah	ber sejarah
utangnya	utang nya
perpindahan	per pindah an
menyeberang	men seberang
menimbang	men timbang
penipu	pen tipu
kerabat	kerabat
mandi	mandi
administrator	administrator
belanjanya	belanja nya
pengurangan	pen kurang an
prihatin	prihatin
selidiki	selidik i
menekuni	men tekun i
menegaskan	men tegas kan
terpencil	terpencil
mengantisipasi	men antisipasi
sikat	sikat
camat	camat
kuburan	kubur an
disiasati	di siasat i
menuduhnya	men tuduh nya
verifikasi	verifikasi
pengapalan	pen kapal an
sentral	sentral
jendela	jendela
peti	peti
sekerjanya	se kerja nya
tehnya	teh nya
prinsip	prinsip
disisihkan	di sisih kan
dipercaya	di percaya
sulit	sulit
menggembalakan	men gembala kan
terik	terik
tertuang	ter tuang
dipersoalkan	di per soal kan
diajukannya	di aju kan nya
mendarat	men darat
dirjen	dirjen
pemakaian	pen pakai an
mereproduksinya	men reproduksi nya
kabupaten	kabupaten
pengadaan	pen ada an
sulaman	sulam an
mengabarkan	men kabar kan
mengasingkan	men asing kan
mencadangkan	men cadang kan
rintangan	rintang an
memegang	men pegang
perbudakan	per budak an
dijelaskan	di jelas kan
menjejak	men jejak
mengurangi	men kurang i
menyembuhkannya	men sembuh kan nya
korup	korup
ongkosnya	ongkos nya
isapan	isap an
poin	poin
mencukupi	men cukup i
semata	se mata
dijangkau	di jangkau
bertuliskan	ber tulis kan
tunggakannya	tunggak an nya
terjatuh	ter jatuh
jawabnya	jawab nya
alternatifnya	alternatif nya
belakangan	belakang an
merebut	men rebut
mereview	men review
disaksikan	di saksi kan
pembekalan	pen bekal an
optimisme	optimisme
tersingkap	ter singkap
menanti	menanti
menyebutnya	men sebut nya
tuannya	tuan nya
merpati	merpati
pengaruhnya	pengaruh nya
persaingannya	per saing an nya
terlantar	terlantar
bereaksi	ber reaksi
kepunyaan	ke punya an
menyiasatinya	men siasat i nya
halamannya	halaman nya
pelan	pelan
mengemukakan	men kemuka kan
maret	maret
bersaing	ber saing
lunas	lunas
olahan	olah an
kontraknya	kontrak nya
sedetik	se detik
tangguh	tangguh
berdatangan	ber datang an
wawancara	wawancara
bertujuan	ber tuju an
berisiko	ber risiko
aktor	aktor
anggotanya	anggota nya
gunakan	guna kan
menghambat	men hambat
layanannya	layan an nya
berhak	ber hak
bermusyawarah	ber musyawarah
capai	capai
tempel	tempel
pendarahan	pen darah an
mendekati	men dekat i
menyelenggarakan	men selenggara kan
penampung	pen tampung
intelektual	intelektual
minimalnya	minimal nya
terpenuhi	men penuh i
antik	antik
bertalian	ber tali an
sorenya	sore nya
biar	biar
menyusui	men susu i
figurnya	figur nya
permulaan	per mula an
devisa	devisa
menghabiskannya	men habis kan nya
persendian	per sendi an
digilir	di gilir
ketidakpahaman	ke tidak paham an
display	display
menyebut	men sebut
eternitnya	eternit nya
proposal	proposal
menugasi	men tugas i
menelan	men telan
tulang	tulang
perencana	pen rencana
galak	galak
beton	beton
sangkakala	sangkakala
martabat	martabat
diusir	di usir
dihadiri	di hadir i
diucapkan	di ucap kan
penjahit	pen jahit
ribut	ribut
peringkat	peringkat
diyakini	di yakin i
pendekatannya	pen dekat an nya
celaka	celaka
kesudahan	ke sudah an
jeruknya	jeruk nya
mahkamah	mahkamah
setujui	setuju i
terbebani	ter beban i
sanksi	sanksi
bapamu	bapa mu
bentuk	bentuk
bersama	ber sama
bernuansa	ber nuansa
negeri	negeri
kuterima	ku terima
salju	salju
tips	tips
krim	krim
mendalami	men dalam i
dipikirnya	di pikir nya
berdalih	ber dalih
menulisnya	men tulis nya
terkonsentrasi	ter konsentrasi
menghubungkannya	men hubung kan nya
polandia	polandia
alamnya	alam nya
anehnya	aneh nya
didengarkan	di dengar kan
pencatat	pen catat
kemungkinan	kemungkinan
dibiaya	di biaya
mencabut	men cabut
penyusunannya	pen susun an nya
yatim	yatim
mendoakannya	men doa kan nya
taksir	taksir
ketidakpastian	ke tidak pasti an
status	status
bersantai	ber santai
tubuhmu	tubuh mu
terpadat	ter padat
tanggap	tanggap
hasrat	hasrat
gagasan	gagas an
angkut	angkut
perkreditan	per kredit an
fisika	fisika
pemaksaan	pen paksa an
menempuhnya	men tempuh nya
arah	arah
paku	paku
kota	kota
menghancurkan	men hancur kan
menumpahkan	men tumpah kan
pikir	pikir
universitas	universitas
meringkaskan	men ringkas kan
halnya	hal nya
depkeu	depkeu
lamanya	lama nya
silahkan	silahkan
tertawa	ter tawa
lengkung	lengkung
rusaknya	rusak nya
maraton	maraton
ilmu	ilmu
menyejukkan	men sejuk kan
berpesta	ber pesta
penggemar	pen gemar
tepung	tepung
dianut	di anut
tenggelam	tenggelam
lahiran	lahir an
mengatur	men atur
usah	usah
bertengkar	ber tengkar
pesannya	pesan nya
kompas	kompas
menampung	men tampung
dagangan	dagang an
maknanya	makna nya
meliputi	men liput i
kerasukan	ke rasuk an
mikrofon	mikrofon
disesatkan	di sesat kan
asisten	asisten
rumahmu	rumah mu
mengamankan	men aman kan
menyokong	men sokong
jabodetabek	jabodetabek
dikoordinir	di koordinir
pembicara	pen bicara
nyawa	nyawa
meyakinkan	men yakin kan
tugas	tugas
dikonsentrasikan	di konsentrasi kan
lazimnya	lazim nya
upah	upah
menanjak	men tanjak
memujikan	men puji kan
memproduksi	men produksi
sawahnya	sawah nya
berbahasa	ber bahasa
bersimpati	ber simpati
anti	anti
mengubur	men kubur
terpilih	ter pilih
berkala	ber kala
membebaskan	men bebas kan
ketidakberanian	ke tidak berani an
hurufnya	huruf nya
banyaknya	banyak nya
praktis	praktis
berkomentar	ber komentar
mengampuni	men ampun i
jatah	jatah
berdinas	ber dinas
menunjang	men tunjang
muhammad	muhammad
perhambaan	per hamba an
difasilitasi	di fasilitas i
penjagaan	pen jaga an
pengenal	pen kenal
mendapat	men dapat
penimbunan	pen timbun an
meninggalkannya	men tinggal kan nya
suspensi	suspensi
bertiup	ber tiup
kluster	kluster
kandidat	kandidat
dikawal	di kawal
dikonsultasikan	di konsultasi kan
beralih	ber alih
pertokoan	per toko an
bubungan	bubung an
layak	layak
membosankan	men bosan kan
berantai	ber rantai
akasia	akasia
ketidakberuntungan	ke tidak beruntung an
tetangga	tetangga
barangnya	barang nya
pandai	pandai
seyogyanya	se yogya nya
norwegia	norwegia
urgensi	urgensi
diadopsi	di adopsi
ditaruh	di taruh
mengganti	men ganti
food	food
penggerak	pen gerak
dinikahinya	di nikah i nya
berasaskan	ber asas kan
kunjungan	kunjung an
dilayani	di layan i
ditangani	di tangan i
pertahanan	per tahan an
dibersihkan	di bersih kan
penghancur	pen hancur
melemparkan	men lempar kan
ditahun	di tahun
suram	suram
kejatuhannya	ke jatuh an nya
omzetnya	omzet nya
menyiramnya	men siram nya
terkumpul	ter kumpul
berpelukan	ber peluk an
personil	personil
berharga	ber harga
syafaat	syafaat
kering	kering
memancingnya	men pancing nya
dagangnya	dagang nya
fasik	fasik
antagonis	antagonis
syaraf	syaraf
meledak	men ledak
serukan	seru kan
kelimpahan	ke limpah an
diluruskan	di lurus kan
aksi	aksi
mendambakan	men damba kan
pasukan	pasukan
sampingnya	samping nya
datangnya	datang nya
sawit	sawit
menuding	men tuding
mengangkatnya	men angkat nya
tuhanku	tuhan ku
berjiwa	ber jiwa
mencintaiku	men cinta i ku
frekuensi	frekuensi
nenek	nenek
bawahannya	bawah an nya
ditembus	di tembus
kelapa	kelapa
mengoper	men koper
digadaikan	di gadai kan
berimplikasi	ber implikasi
transplantasi	transplantasi
menyembuhkan	men sembuh kan
kelola	kelola
terucap	ter ucap
eksploitasi	eksploitasi
terdorong	ter dorong
pendanaannya	pen dana an nya
memberikannya	men beri kan nya
prestasi	prestasi
anggur	anggur
diajarkan	di ajar kan
bebanmu	beban mu
membekukan	men beku kan
melaksanakan	men laksana kan
ciptaan	cipta an
rekaman	rekam an
menolak	men tolak
menguatkannya	men kuat kan nya
peri	pen ri
menyarankan	men saran kan
tebusannya	tebus an nya
terowongan	terowongan
menggarap	men garap
misterius	misterius
kereta	kereta
areal	areal
bermunculan	ber muncul an
tuan	tuan
menguduskan	men kudus kan
analisi	analis i
saldo	saldo
luka	luka
penerbitan	pen terbit an
kotamadya	kotamadya
disabotase	di sabotase
pangeran	pangeran
penerima	pen terima
bersemangat	ber semangat
nampak	nampak
dituntaskan	di tuntas kan
mencapainya	men capai nya
wawasan	wawasan
cintanya	cinta nya
rekornya	rekor nya
nonpertanian	non per tani an
diprakarsai	di prakarsa i
mengutus	men utus
memedihkan	men pedih kan
baru	baru
dicanangkannya	di canang kan nya
melempar	men lempar
penulisan	pen tulis an
pengerukan	pen keruk an
berdetak	ber detak
jamuan	jamu an
bimbingan	bimbing an
abjad	abjad
menyoroti	men sorot i
rela	rela
sisi	sisi
obsesi	obsesi
tungkunya	tungku nya
penderitaannya	pen derita an nya
tandan	tandan
lumpuh	lumpuh
bersangkutan	ber sangkut an
pertikaian	pertikaian
menyalurkan	men salur kan
jantungnya	jantung nya
mempersulit	men sulit
terlindung	ter lindung
antikemiskinan	anti ke miskin an
profesi	profesi
terserah	ter serah
memburu	men buru
dipertimbangkan	di per timbang kan
wc	wc
petunjuk	petunjuk
melemparinya	men lempar i nya
menggembirakan	men gembira kan
bergumul	ber gumul
eropa	eropa
bertatap	ber tatap
membiarkan	men biar kan
sasarannya	sasar an nya
bala	bala
baris	baris
liriknya	lirik nya
menggulingkan	men guling kan
payudara	payudara
pelayanannya	pen layan an nya
penandatangan	pen tandatangan
menggarisbawahi	men garisbawah i
tanda	tanda
kelompok	kelompok
dikupas	di kupas
nonkontrak	non kontrak
korelasinya	korelasi nya
menduduki	men duduk i
pikul	pikul
mengejek	men ejek
signifikan	signifikan
sebulan	se bulan
parfum	parfum
deras	deras
wasitnya	wasit nya
tersulit	ter sulit
ribuan	ribu an
eksklusif	eksklusif
tercemarnya	ter cemar nya
membakarmu	men bakar mu
berbeban	ber beban
tanam	tanam
sini	sini
radikal	radikal
mengulurkan	men ulur kan
diinstruksikan	di instruksi kan
figur	figur
membiayai	men biaya i
mengidentifikasikan	men identifikasi kan
terbangnya	terbang nya
pautnya	paut nya
wahyu	wahyu
capnya	cap nya
terdahsyat	ter dahsyat
digalakkan	di galak kan
sekotak	se kotak
menunda	men tunda
tuntasnya	tuntas nya
setangkai	se tangkai
diatas	di atas
jahe	jahe
berwawasan	ber wawasan
bakan	bak an
alergi	alergi
menata	men tata
keberangkatannya	ke berangkat an nya
hartamu	harta mu
budi	budi
alkitabnya	alkitab nya
perbintangan	per bintang an
menampik	men tampik
bangga	bangga
memerlukannya	men perlu kan nya
diperingatkan	di per ingat kan
memberkatinya	men berkat i nya
dipromosikan	di promosi kan
terompetnya	terompet nya
tertidur	ter tidur
separuhnya	se paruh nya
motivasinya	motivasi nya
ringkasannya	ringkas an nya
pengarahannya	pen arah an nya
mendampingi	men damping i
dikelola	di kelola
bermutu	ber mutu
ketelanjangan	ke telanjang an
bersusah	ber susah
udang	udang
gemuruh	gemuruh
militernya	militer nya
dimasukinya	di masuk i nya
renungan	renung an
ditarik	di tarik
cincin	cincin
tarifnya	tarif nya
arkeologi	arkeologi
perdesaan	per desa an
menyaksikan	men saksi kan
mengobarkan	men kobar kan
ketuanya	ketua nya
posisi	posisi
dipekerjakan	di pekerja kan
santapan	santap an
ambil	ambil
mencukupinya	men cukup i nya
penambangan	pen tambang an
tersesatnya	ter sesat nya
binatang	binatang
pencucian	pen cuci an
terkenang	ter kenang
sambungan	sambung an
pembahasannya	pen bahas an nya
kuabaikan	ku abai kan
perancangan	pen rancang an
keharusan	ke harus an
persahabatan	per sahabat an
melimpahnya	men limpah nya
traktor	traktor
dikecewakan	di kecewa kan
sumatera	sumatera
menghalangimu	men halang i mu
terjepit	ter jepit
diaksesnya	di akses nya
jemaat	jemaat
kiamat	kiamat
dikenai	di kena i
pemberangkatannya	pen berangkat an nya
menjatahkan	men jatah kan
pacu	pacu
perayaan	pen raya an
tokonya	toko nya
penjaja	pen jaja
jam	jam
ampun	ampun
mengekspor	men ekspor
membelenggu	men belenggu
menyerbu	men serbu
memfoto	men foto
siap	siap
kompetisi	kompetisi
melibatkan	men libat kan
waktuku	waktu ku
gilir	gilir
semalam	se malam
penggenapan	pen genap an
dipasok	di pasok
menentu	men tentu
penguasanya	pen kuasa nya
berbatu	ber batu
ganjaran	ganjar an
diumpankan	di umpan kan
rancangan	rancang an
sukses	sukses
menghargainya	men harga i nya
peningkatan	pen tingkat an
berlatih	ber latih
memperbincangkan	men bincang kan
terkendali	ter kendali
umumkan	umum kan
estimasi	estimasi
menangi	menang i
penyerangan	pen serang an
menolong	men tolong
merotasi	men rotasi
berumput	ber rumput
memanggilnya	men panggil nya
musiknya	musik nya
berpuasa	ber puasa
agama	agama
dipotong	di potong
pengangguran	pen anggur an
ayah	ayah
komersialnya	komersial nya
diawali	di awal i
gembala	gembala
kecil	kecil
menyelesaikan	men selesai kan
menopangnya	men topang nya
perpipaan	per pipa an
memberi	men beri
asa	asa
amoral	amoral
menyangga	men sangga
beradik	ber adik
menyentuh	men sentuh
kitabnya	kitab nya
dibedakan	di beda kan
orangtua	orangtua
maksimal	maksimal
ikannya	ikan nya
arena	arena
sejahtera	sejahtera
mengganggunya	men ganggu nya
terpangkas	ter pangkas
mendekatkan	men dekat kan
bergemar	ber gemar
dikasih	di kasih
publikasi	publikasi
diambilkan	di ambil kan
menginterupsi	men interupsi
ketidakstabilan	ke tidak stabil an
menghimbau	men himbau
diajarnya	di ajar nya
biaya	biaya
menanganinya	men tangan i nya
khayalan	khayal an
membiayainya	men biaya i nya
rinci	rinci
peliharaannya	pelihara an nya
berbagi	ber bagi
didistribusikan	di distribusi kan
pelaut	pen laut
getah	getah
bervariasi	ber variasi
subkontraknya	subkontrak nya
penekanan	pen tekan an
diagunkan	di agun kan
bersabda	ber sabda
setuju	setuju
pengaduannya	pen adu an nya
mendominasinya	men dominasi nya
esok	esok
penghakiman	pen hakim an
kategori	kategori
mengikutsertakan	men ikutserta kan
harian	hari an
rambutku	rambut ku
celah	celah
dihakimi	di hakim i
orde	orde
denda	denda
kertas	kertas
pasalnya	pasal nya
menguras	men kuras
angsa	angsa
memindai	men pindai
doaku	doa aku
fotokopinya	fotokopi nya
pesta	pesta
tindak	tindak
tindih	tindih
menentangnya	men tentang nya
memamerkannya	men pamer kan nya
sebaran	sebar an
arogan	arogan
dipahami	di paham i
menundukkan	men tunduk kan
nyamuk	nyamuk
tersalib	ter salib
tercakup	ter cakup
biji	biji
memediasi	men mediasi
bertingkah	ber tingkah
kebobolan	ke bobol an
memperdalam	men dalam
memberikan	men beri kan
pemain	pen main
pandu	pandu
irlandia	irlandia
kalkulasi	kalkulasi
antartingkatan	antar tingkat an
perlengkapannya	per lengkap an nya
dipertanyakan	di per tanya kan
disiram	di siram
bersantap	ber santap
penyerahan	pen serah an
muncul	muncul
menginformasikan	men informasi kan
geografis	geografis
membuang	men buang
pengaksesan	pen akses an
memutakhirkan	men mutakhir kan
tasnya	tas nya
rohaninya	rohani nya
wewenangnya	wewenang nya
sepakat	sepakat
pasta	pasta
diartikan	di arti kan
gaji	gaji
memprotes	men protes
ditawan	di tawan
lapar	lapar
pengetahuan	pengetahuan
kuba	kuba
perlengkapan	per lengkap an
sedekahmu	sedekah mu
putus	putus
turbin	turbin
favorit	favorit
mengartikannya	men arti kan nya
sambutan	sambut an
ketidaksetujuan	ke tidak setuju an
realokasi	realokasi
menggugat	men gugat
menyalahgunakannya	men salahguna kan nya
letih	letih
mengeksploitasi	men eksploitasi
diminati	di minat i
kotorannya	kotor an nya
ditetapkannya	di tetap kan nya
merespon	men respon
sempurna	sempurna
kristus	kristus
tertunda	ter tunda
pengintai	pen intai
dihadapkan	di hadap kan
naik	naik
mengiklankan	men iklan kan
menggenangi	men genang i
keterlibatannya	ke terlibat an nya
kamarnya	kamar nya
merombak	men rombak
bersumpah	ber sumpah
otomatis	otomatis
kerabatnya	kerabat nya
anggota	anggota
tempatnya	tempat nya
kukatakan	ku kata kan
berhitung	ber hitung
memenuhinya	men penuh i nya
diperdagangkan	di per dagang kan
penipuan	pen tipu an
diulang	di ulang
mengakar	men akar
kasihmu	kasih mu
bermuara	ber muara
sejuk	sejuk
mengedarkan	men edar kan
menumpuk	men tumpuk
menampilkan	men tampil kan
kontroversial	kontroversial
monopoli	monopoli
harum	harum
liberalisasi	liberalisasi
cabai	cabai
kondusif	kondusif
konsultasi	konsultasi
telanjang	telanjang
penghematan	pen hemat an
realistis	realistis
rekrut	rekrut
katalis	katalis
mempertanggungjawabkan	men tanggungjawab kan
menangisi	men tangis i
tertua	ter tua
takaran	takar an
doktrin	doktrin
dianalisis	di analisis
revisi	revisi
akuratnya	akurat nya
penunjang	pen tunjang
terekam	ter rekam
disembuhkan	di sembuh kan
telepon	telepon
fosil	fosil
terutang	ter utang
fasilitas	fasilitas
reuni	reuni
pilihannya	pilih an nya
dijajaki	di jajak i
kelanjutannya	ke lanjut an nya
parkir	parkir
sah	sah
diakhiri	di akhir i
dirumuskan	di rumus kan
permasalahan	per masalah an
kimia	kimia
mengemudi	men kemudi
balon	balon
beasiswa	beasiswa
diskualifikasi	diskualifikasi
prinsipnya	prinsip nya
lantang	lantang
kolonial	kolonial
hayati	hayat i
mendebarkan	men debar kan
memberitahukan	men beritahu kan
untungnya	untung nya
melampirkan	men lampir kan
argumentasi	argumentasi
akhirnya	akhir nya
soalnya	soal nya
pelamar	pen lamar
kuat	kuat
mencair	men cair
antarruangan	antar ruang an
mengkoordinir	men koordinir
menyantap	men santap
angkanya	angka nya
pemasarannya	pen pasar an nya
berbaris	ber baris
pendefinisian	pen definisi an
merek	merek
mengkonsumsi	men konsumsi
nyonya	nyonya
identitasnya	identitas nya
sedarah	se darah
terhutang	ter hutang
dibanyak	di banyak
mengumpat	men umpat
habitat	habitat
tertawaan	ter tawa an
congkak	congkak
dikendarainya	di kendara i nya
tertempel	ter tempel
tangga	tangga
tradisi	tradisi
komitmen	komitmen
gugatan	gugat an
aktivitas	aktivitas
tuntutan	tuntut an
pengendalian	pen kendali an
antarpeserta	antar peserta
empuk	empuk
didapatkannya	di dapat kan nya
mengasah	men asah
hulu	hulu
massal	massal
mediasi	mediasi
memagari	men pagar i
mengingkari	men ingkar i
terposisikan	ter posisi kan
mengusulkannya	men usul kan nya
halaman	halaman
menyamakan	men sama kan
antarkuota	antar kuota
kekal	kekal
suplemen	suplemen
ketidaktepatan	ke tidak tepat an
memposisikan	men posisi kan
kerangka	kerangka
sopan	sopan
kisarannya	kisar an nya
menyebarluaskan	men sebarluas kan
bersenjatakan	ber senjata kan
ditentang	di tentang
hadir	hadir
membanting	men banting
membungkus	men bungkus
asumsinya	asumsi nya
politikus	politikus
mencakupi	men cakup i
kepingan	keping an
iurannya	iuran nya
jaminan	jamin an
dicobai	di coba i
dipimpin	di pimpin
rintangannya	rintang an nya
skala	skala
pertimbangan	per timbang an
jambangan	jambang an
meneruskan	men terus kan
dikuatirkan	di kuatir kan
memuaskan	men puas kan
rak	rak
ajarkan	ajar kan
tonton	tonton
ubah	ubah
ketidakmunculan	ke tidak muncul an
kentang	kentang
bergabung	ber gabung
didapati	di dapat i
perujukan	pen rujuk an
mengarungi	men karung i
makna	makna
tender	tender
pasiennya	pasien nya
protes	protes
tepukan	tepuk an
penunggak	pen tunggak
disimpulkannya	di simpul kan nya
melewatinya	men lewat i nya
terbaik	ter baik
layar	layar
berargumentasi	ber argumentasi
bersoal	ber soal
romawi	romawi
kutipan	kutip an
pelajaran	pelajar an
pemuatan	pen muat an
surat	surat
terakomodasinya	ter akomodasi nya
terencana	ter rencana
dipikirkannya	di pikir kan nya
memfokuskan	men fokus kan
pendaftaran	pen daftar an
diprioritaskan	di prioritas kan
hartanya	harta nya
keterampilan	keterampilan
teramati	ter amati
pekerja	pekerja
intensi	intens i
indikatornya	indikator nya
luntur	luntur
beribadah	ber ibadah
ayatnya	ayat nya
melambat	men lambat
pelindung	pen lindung
bongkar	bongkar
dijelang	di jelang
darat	darat
dimilikinya	di milik i nya
mendiversifikasi	men diversifikasi
ciptakan	cipta kan
penghinaan	pen hina an
materinya	materi nya
optimalnya	optimal nya
diistilahkan	di istilah kan
mendiskriminasi	men diskriminasi
menumbuhkan	men tumbuh kan
penuntun	pen tuntun
membela	men bela
dibutuhkan	di butuh kan
berakar	ber akar
jauhnya	jauh nya
cabang	cabang
musium	musium
tambal	tambal
diperbesar	di per besar
putrinya	putri nya
diperkenalkannya	di per kenal kan nya
cipta	cipta
berperingkat	ber peringkat
menantunya	menantu nya
mendapatkannya	men dapat kan nya
jembatannya	jembatan nya
beraninya	berani nya
dipanggang	di panggang
teruskan	terus kan
berminat	ber minat
bermekaran	ber mekar an
pengepakan	pen kepak an
melainkan	men lain kan
tuduh	tuduh
tampaknya	tampak nya
tesisnya	tesis nya
hobi	hobi
menyadarinya	men sadar i nya
lilin	lilin
ketidaktaatan	ke tidak taat an
perawatan	pen rawat an
kehadiran	ke hadir an
menguraikan	men urai kan
taninya	tani nya
pesanan	pesan an
bumi	bumi
penegakan	pen tegak an
galangan	galang an
motif	motif
teknik	teknik
mandiri	mandiri
kotanya	kota nya
akses	akses
seluas	se luas
pertemanan	per teman an
pengalokasiannya	pen alokasi an nya
mengolah	men olah
mengingatnya	men ingat nya
berbobot	ber bobot
lampu	lampu
dikoordinasi	di koordinasi
lantainya	lantai nya
profesor	profesor
terciptanya	ter cipta nya
atletik	atletik
tinggal	tinggal
mengejar	men kejar
menganut	men anut
komersial	komersial
respons	respons
penunggakan	pen tunggak an
berstatus	ber status
muramku	muram ku
mendengarkan	men dengar kan
reputasinya	reputasi nya
rawan	rawan
asramanya	asrama nya
curahan	curah an
semaksimal	se maksimal
pemula	pen mula
peternakan	peternakan
pengintegrasian	pen integrasi an
kinerja	kinerja
penginjilannya	pen injil an nya
membelanjakan	men belanja kan
terima	terima
pengaudit	pen audit
memperlambat	men lambat
rombongan	rombong an
menerima	men terima
perang	perang
merosotnya	merosot nya
eksekutif	eksekutif
pendaftar	pen daftar
konteks	konteks
mendukakan	men duka kan
riset	riset
memiliki	men milik i
dicatat	di catat
ejekan	ejek an
membangun	men bangun
bentrokan	bentrok an
perkaretan	per karet an
bermigrasi	ber migrasi
dihantam	di hantam
ada	ada
dananya	dana nya
tengkorak	tengkorak
tumpangan	tumpang an
bertahun	ber tahun
privat	privat
york	york
menghapusnya	men hapus nya
mempengaruhi	men pengaruh i
kupelajari	ku pelajar i
bus	bus
manfaat	manfaat
menyeleksi	men seleksi
pinggiran	pinggir an
bidangnya	bidang nya
lebih	lebih
bukit	bukit
minatnya	minat nya
transisi	transisi
bensin	bensin
penurunan	pen turun an
lantai	lantai
bertekun	ber tekun
sepenuh	se penuh
emas	emas
menyusuri	men susur i
tonggak	tonggak
membusukkan	men busuk kan
terselenggaranya	ter selenggara nya
racun	racun
berkelimpahan	ber ke limpah an
penonton	pen tonton
mengimplementasikan	men implementasi kan
menunggang	men tunggang
merobohkan	men roboh kan
kafein	kafein
prasarananya	prasarana nya
induknya	induk nya
paham	paham
bloknya	blok nya
tertumpuk	ter tumpuk
pelarangan	pen larang an
bergejolak	ber gejolak
curah	curah
dinikahi	di nikah i
berbelok	ber belok
kejatuhan	ke jatuh an
gurunya	guru nya
anak	anak
perizinan	per izin an
ibadah	ibadah
rahim	rahim
balasannya	balas an nya
memenuhi	men penuh i
santun	santun
progresif	progresif
pengucuran	pen kucur an
kapas	kapas
interpretasi	interpretasi
merekomendasi	men rekomendasi
bandung	bandung
dibuatkan	di buat kan
lalai	lalai
kuadrat	kuadrat
minggunya	minggu nya
asin	asin
sejumlah	se jumlah
memaksakan	men paksa kan
diperparah	di per parah
terkesan	ter kesan
memakainya	men pakai nya
menyelaraskan	men selaras kan
citra	citra
luasnya	luas nya
belanda	belanda
mengusir	men usir
membuktikan	men bukti kan
merawatnya	men rawat nya
dipersentasekan	di persentase kan
terjawab	ter jawab
multinasional	multinasional
pencapaiannya	pen capai an nya
mutakhir	mutakhir
istimewa	istimewa
gubernur	gubernur
letusannya	letus an nya
digarap	di garap
meledakkan	men ledak kan
terbitan	terbit an
pembayarannya	pen bayar an nya
koleksi	koleksi
bruto	bruto
olahraga	olahraga
bercela	ber cela
tertata	ter tata
berkekurangan	ber ke kurang an
disingkat	di singkat
literatur	literatur
tiruan	tiru an
mempercayakan	men percaya kan
sediakan	sedia kan
memukuli	men pukul i
pesawatnya	pesawat nya
ditelan	di telan
penalaran	pen nalar an
pesawat	pesawat
leganya	lega nya
dilunasi	di lunas i
sekunder	sekunder
difoto	di foto
optimistis	optimistis
pengupahan	pen upah an
pesaing	pesaing
tambaknya	tambak nya
tersebut	ter sebut
penyegelan	pen segel an
memperingatkan	men ingat kan
jumat	jumat
terjemahan	terjemah an
usaha	usaha
situsnya	situs nya
bobroknya	bobrok nya
sengketa	sengketa
usang	usang
mengeram	men eram
informasinya	informasi nya
pemotongan	pen potong an
kental	kental
menenun	men tenun
senjatanya	senjata nya
ditunjuk	di tunjuk
akhir	akhir
leluasa	leluasa
menyepelekan	men sepele kan
mempublikasikan	men publikasi kan
banjir	banjir
menggelikan	men geli kan
ditemani	di teman i
usus	usus
pengecer	pen ecer
menginterpretasikan	men interpretasi kan
wasit	wasit
dialokasikan	di alokasi kan
mencuat	men cuat
mendistribusikannya	men distribusi kan nya
dinormalkan	di normal kan
dibenahi	di benah i
airnya	air nya
membelokkan	men belok kan
desember	desember
kebutuhanmu	ke butuh an mu
merata	men rata
mematikan	men mati kan
mengalokasikannya	men alokasi kan nya
mengakumulasi	men akumulasi
terkandung	ter kandung
terserang	ter serang
direndahkan	di rendah kan
dirindukan	di rindu kan
pengering	pen kering
penerimanya	pen terima nya
menyimpang	men simpang
mengemban	men emban
menjabarkan	men jabar kan
logonya	logo nya
sabda	sabda
waris	waris
bodoh	bodoh
intens	intens
lewat	lewat
didekati	di dekat i
rekan	rekan
tanganku	tangan ku
pendapatan	pen dapat an
pergeseran	per geser an
didedikasikan	di dedikasi kan
antikristus	anti kristus
inggris	inggris
persneling	persneling
sungkan	sungkan
kedudukan	ke duduk an
ibunya	ibu nya
personel	personel
setara	setara
laporkan	lapor kan
tobat	tobat
sedangkan	sedang kan
pasal	pasal
iklannya	iklan nya
darurat	darurat
mulanya	mula nya
handuk	handuk
umurku	umur ku
bajakan	bajak an
kerjasama	kerjasama
profil	profil
forensik	forensik
mengeluarkan	men keluar kan
potongan	potong an
modal	modal
meluluskan	men lulus kan
kita	kita
komersil	komersil
pertumbuhan	per tumbuh an
menyepakati	men sepakat i
menuturkan	men tutur kan
antarpemerintahan	antar pen perintah an
anda	anda
tingkatannya	tingkat an nya
siaga	siaga
pengambil	pen ambil
membesar	men besar
protein	protein
tutur	tutur
berkekuatan	ber ke kuat an
stasiun	stasiun
hambatan	hambat an
mataku	mata aku
perangkat	perangkat
meniadakan	men tiada kan
masalahnya	masalah nya
kabarnya	kabar nya
pendayagunaan	pen dayaguna an
direka	di reka
obat	obat
berkarya	ber karya
penderitaan	pen derita an
pernikahan	per nikah an
ludah	ludah
panci	panci
sasaran	sasar an
mengiring	men iring
menghadang	men hadang
angkat	angkat
bawang	bawang
perkataan	per kata an
babakan	babak an
mulianya	mulia nya
tergoda	ter goda
kedengarannya	ke dengar an nya
sepakbola	sepakbola
membebaskannya	men bebas kan nya
ketidakjelasan	ke tidak jelas an
pekerjaanku	pekerja an ku
meneg	meneg
observasi	observasi
akibat	akibat
ketidakterbukaan	ke tidak terbuka an
hubungan	hubung an
bendera	bendera
turunan	turun an
menggugahnya	men gugah nya
menghiasi	men hias i
sesignifikan	se signifikan
terpanggil	ter panggil
digadai	di gadai
perbukitan	per bukit an
menjala	men jala
merumuskannya	men rumus kan nya
natur	natur
