sepedanya	sepeda nya
anaknya	anak nya
jatahnya	jatah nya
jahit	jahit
depan	depan
melibatkan	men libat kan
penuh	penuh
potongan	potong an
semenit	se menit
bermekaran	ber mekar an
didik	didik
terpaksa	ter paksa
menyerap	men serap
komputer	komputer
pertengahan	per tengah an
menjagaku	men jaga aku
mengharuskan	men harus kan
permainan	per main an
dikritik	di kritik
baris	baris
drama	drama
relasinya	relasi nya
antarkomunitas	antar komunitas
praktisnya	praktis nya
kandas	kandas
estimasi	estimasi
misteri	misteri
instalasi	instalasi
menjadikan	men jadi kan
dievaluasi	di evaluasi
dipermasalahkan	di per masalah kan
terbangnya	terbang nya
fotonya	foto nya
berterimakasih	ber terimakasih
digabungkan	di gabung kan
kukira	ku kira
penciuman	pen cium an
dimonitor	di monitor
tindak	tindak
biji	biji
disetorkan	di setor kan
piring	piring
kesehariannya	keseharian nya
unsur	unsur
sudut	sudut
pembentukannya	pen bentuk an nya
diusung	di usung
anugerah	anugerah
diasingkan	di asing kan
dimungkinkan	dimungkinkan
ladang	ladang
pernikahannya	per nikah an nya
akad	akad
prosedur	prosedur
mempersoalkan	men soal kan
potensial	potensial
perilakunya	perilaku nya
anggaran	anggar an
menyingkir	men singkir
mingguan	minggu an
penagihannya	pen tagih an nya
diubahnya	di ubah nya
transmisi	transmisi
menghambakan	men hamba kan
wujud	wujud
pasukan	pasukan
gerutuan	gerutu an
gula	gula
suku	suku
administrator	administrator
mengarsipkan	men arsip kan
menantunya	menantu nya
utamanya	utama nya
memberinya	men beri nya
menggantung	men gantung
pendanaan	pen dana an
menghilangkannya	men hilang kan nya
terbiasa	ter biasa
penggemar	pen gemar
sikat	sikat
menganjurkan	men anjur kan
kasar	kasar
terbanyak	ter banyak
perkataan	per kata an
kedipan	kedip an
sipil	sipil
persepsinya	persepsi nya
penanda	pen tanda
memantaunya	men pantau nya
merancangkan	men rancang kan
genetik	genetik
dicengkeram	di cengkeram
menyetujui	men setuju i
rasul	rasul
menyiarkan	men siar kan
cermin	cermin
pesat	pesat
dihina	di hina
tinggal	tinggal
mewakilinya	men wakil i nya
ampuh	ampuh
dindingnya	dinding nya
ternyata	ter nyata
situ	situ
eceran	ecer an
berwujud	ber wujud
matanya	mata nya
membiayainya	men biaya i nya
kamis	kamis
mencontohkan	men contoh kan
memprediksikan	men prediksi kan
ismail	ismail
serapan	serap an
berperang	ber perang
pertumbuhan	per tumbuh an
berstatus	ber status
jadikan	jadi kan
pencatatan	pen catat an
pertanggungjawabannya	per tanggungjawab an nya
terwujud	ter wujud
taat	taat
lautan	laut an
pinjaman	pinjam an
dikapalkan	di kapal kan
tatapannya	tatap an nya
kontraknya	kontrak nya
berprinsip	ber prinsip
pendidikannya	pen didik an nya
ditempel	di tempel
menampung	men tampung
berikut	ber ikut
dongeng	dongeng
bapamu	bapa mu
luasan	luas an
menyucikan	men suci kan
lomba	lomba
tampungnya	tampung nya
bermasyarakat	ber masyarakat
ambruk	ambruk
pembentuk	pen bentuk
sepengetahuan	se pengetahuan
jangka	jangka
mengingat	men ingat
ditolong	di tolong
tagih	tagih
nyawanya	nyawa nya
robot	robot
perda	perda
menjulang	men julang
menggalang	men galang
sah	sah
penambang	pen tambang
suara	suara
alur	alur
menyelesaikan	men selesai kan
pergerakan	per gerak an
kandungannya	kandung an nya
tiruan	tiru an
petunjuknya	petunjuk nya
sekelompok	se kelompok
memedulikan	men peduli kan
sikap	sikap
menghubungi	men hubung i
wc	wc
tampil	tampil
disetujui	di setuju i
sebangsanya	se bangsa nya
perampokan	pen rampok an
harinya	hari nya
tuliskan	tulis kan
memecat	men pecat
diperkirakan	di per kira kan
menitipkan	men titip kan
andalan	andal an
wawancara	wawancara
dilindungi	di lindung i
terapkan	terap kan
gadai	gadai
menumpang	men tumpang
disebut	di sebut
canggung	canggung
manajer	manajer
air	air
konservatif	konservatif
terjemahan	terjemah an
rupanya	rupa nya
registrasi	registrasi
samudera	samudera
menakar	men takar
dikutuk	di kutuk
membayang	men bayang
omong	omong
prediksi	prediksi
penyusun	pen susun
mengulurkan	men ulur kan
parsial	parsial
wasit	wasit
pengadministrasiannya	pen administrasi an nya
berteknologi	ber teknologi
pekerjanya	pekerja nya
akte	akte
terekspresikan	ter ekspresi kan
upayanya	upaya nya
patriotik	patriotik
sejawatnya	se jawat nya
gran	gr an
penalaran	pen nalar an
penyinaran	pen sinar an
pemotongan	pen potong an
membenarkan	men benar kan
dipertimbangkan	di per timbang kan
aktivitas	aktivitas
tandatangani	tandatangan i
nyanyian	nyanyi an
menggerus	men gerus
ikatan	ikat an
dijual	di jual
merosotnya	merosot nya
dipekerjakan	di pekerja kan
hadapannya	hadap an nya
diijinkan	di ijin kan
terlatih	ter latih
pasir	pasir
dibayar	di bayar
trend	trend
responsnya	respons nya
dilanda	di landa
seumpama	se umpama
prosedurnya	prosedur nya
kenal	kenal
laki	laki
nyanyiannya	nyanyi an nya
menghormati	men hormat i
pengaduannya	pen adu an nya
komitenya	komite nya
menyebarluaskan	men sebarluas kan
berkelanjutan	ber ke lanjut an
aturannya	atur an nya
ringkasan	ringkas an
diperankan	di peran kan
tahanan	tahan an
rekening	rekening
ketidaksuksesan	ke tidak sukses an
kendalanya	kendala nya
saudaranya	saudara nya
menghalangimu	men halang i mu
terhentinya	ter henti nya
otoritas	otoritas
berumur	ber umur
memandikan	men mandi kan
badak	badak
absensi	absensi
ketidakmampuan	ke tidak mampu an
mengimplementasi	men implementasi
lanjuti	lanjut i
diperkirakannya	di per kira kan nya
membereskan	men beres kan
bermimpi	ber mimpi
pengiriman	pen kirim an
coklat	coklat
melukainya	men luka i nya
menghimpun	men himpun
triwulan	triwulan
retak	retak
jariku	jari ku
dicuri	di curi
syiah	syiah
dijatuhi	di jatuh i
mengeluh	men keluh
ditanamkan	di tanam kan
tercatat	ter catat
tepuk	tepuk
ikuti	ikut i
dini	din i
perhutanan	per hutan an
diurai	di urai
penyelesai	pen selesai
teruskan	terus kan
dicatatkan	di catat kan
pengungkapan	pen ungkap an
dibebaskan	di bebas kan
manufaktur	manufaktur
memandangnya	men pandang nya
menghangatkan	men hangat kan
pesanannya	pesan an nya
konsumen	konsumen
menahannya	men tahan nya
berambut	ber rambut
pengiring	pen iring
fokusnya	fokus nya
gol	gol
jeruknya	jeruk nya
mengunggah	men unggah
mempromosikan	men promosi kan
seru	seru
arahan	arah an
dihancurkan	di hancur kan
omongnya	omong nya
diusulkan	di usul kan
pendidik	pen didik
pengikutnya	pen ikut nya
artikel	artikel
artis	artis
mengencangkan	men kencang kan
buat	buat
menyimaknya	men simak nya
nada	nada
mengasingkan	men asing kan
kontroversi	kontroversi
mengerahkan	men kerah kan
pejuang	pejuang
romantis	romantis
pemuka	pen muka
terorisme	terorisme
teleskop	teleskop
pantauan	pantau an
perkataannya	per kata an nya
kabupaten	kabupaten
deklarasi	deklarasi
superior	superior
perhatiannya	per hati an nya
menanjak	men tanjak
menyuratkan	men surat kan
sinarnya	sinar nya
set	set
tersingkap	ter singkap
seadanya	se ada nya
tertuju	ter tuju
kapalnya	kapal nya
canada	canada
semudah	se mudah
terhenti	ter henti
kukatakan	ku kata kan
tuturnya	tutur nya
setahap	se tahap
mendengar	men dengar
mendatanginya	men datang i nya
menghilangnya	men hilang nya
membiayai	men biaya i
gelap	gelap
bereaksi	ber reaksi
keharusan	ke harus an
diperdakan	di perda kan
kita	kita
pengkaji	pen kaji
dikelilingi	di keliling i
pemasaran	pen pasar an
profesionalismenya	profesionalisme nya
berjumlah	ber jumlah
ketidakakuratan	ke tidak akurat an
bubur	bubur
dipraktekkan	di praktek kan
pelengkap	pen lengkap
pencalonan	pen calon an
antarhasil	antar hasil
mengelak	men elak
pengurusannya	pen urus an nya
olahraganya	olahraga nya
distorsi	distorsi
saham	saham
memajukan	men maju kan
ketahanan	ke tahan an
kadarnya	kadar nya
mewah	mewah
menguburkan	men kubur kan
letih	letih
memprakirakan	men prakira kan
institusi	institusi
sabotase	sabotase
percaya	percaya
yatim	yatim
santunan	santun an
selepas	se lepas
pelacur	pen lacur
mencalonkan	men calon kan
netral	netral
untung	untung
pengacau	pen kacau
meminjam	men pinjam
padat	padat
diredupkan	di redup kan
gema	gema
agustus	agustus
percobaan	per coba an
nonharga	non harga
terbentuknya	ter bentuk nya
ditinggal	di tinggal
turunkan	turun kan
melambat	men lambat
dikuatkan	di kuat kan
pelapor	pen lapor
mengemudi	men kemudi
longgar	longgar
mengeliminasi	men eliminasi
tergoda	ter goda
kasi	kas i
teramati	ter amati
umatnya	umat nya
fisiknya	fisik nya
dipersentasekan	di persentase kan
membangkitkan	men bangkit kan
terusik	ter usik
buruan	buru an
potensi	potensi
melupakannya	men lupa kan nya
memberikan	men beri kan
catatan	catat an
pelayarannya	pen layar an nya
karunia	karunia
mengulangi	men ulang i
pers	pers
menghindar	men hindar
pemberitaannya	pen berita an nya
keriput	keriput
imbas	imbas
perijinan	per ijin an
dipersoalkan	di per soal kan
pungut	pungut
didiami	di diam i
sepupu	sepupu
memperlambat	men lambat
ditenderkan	di tender kan
kapas	kapas
voltase	voltase
pengangguran	pen anggur an
geografisnya	geografis nya
korelasinya	korelasi nya
kufirmankan	ku firman kan
menumpuk	men tumpuk
susut	susut
lembah	lembah
buang	buang
nonkontrak	non kontrak
dapatkan	dapat kan
bebasnya	bebas nya
simpatinya	simpati nya
menjelang	men jelang
nutrisinya	nutrisi nya
ketidaksetaraan	ke tidak setara an
bertanggungjawab	ber tanggungjawab
menoleransinya	men toleransi nya
pengurus	pen urus
takarannya	takar an nya
berbatasan	ber batas an
kejar	kejar
sekolahan	sekolah an
diharapkannya	di harap kan nya
hantu	hantu
bau	bau
menyimpannya	men simpan nya
pajaknya	pajak nya
gawangnya	gawang nya
sejarah	sejarah
berbuah	ber buah
merehabilitasi	men rehabilitasi
asas	asas
tebusannya	tebus an nya
disucikan	di suci kan
memayungi	men payung i
berkondisi	ber kondisi
dipersepsikan	di persepsi kan
bermitra	ber mitra
imam	imam
cukur	cukur
curah	curah
terstruktur	ter struktur
mengenakannya	men kena kan nya
penganiayaan	pen aniaya an
biro	biro
mempertanggungjawabkannya	men tanggungjawab kan nya
siklus	siklus
berawalan	ber awal an
diam	diam
diliputi	di liput i
terpelihara	ter pelihara
diupah	di upah
mengimplementasikan	men implementasi kan
sedihnya	sedih nya
berjangka	ber jangka
tertular	ter tular
duka	duka
antarbadan	antar badan
perahunya	perahu nya
arahnya	arah nya
perseroan	perseroan
reproduksi	reproduksi
mengevaluasi	men evaluasi
remeh	remeh
urutan	urut an
dominasi	dominasi
fasilitasi	fasilitas i
lagunya	lagu nya
memberikannya	men beri kan nya
kepalanya	kepala nya
mengotori	men kotor i
mengaburkan	men kabur kan
diwakilkan	di wakil kan
pengorbanannya	pen korban an nya
penyadaran	pen sadar an
berwarna	ber warna
gejolak	gejolak
dinikahi	di nikah i
antarrumah	antar rumah
memadamkan	men madam kan
pendata	pen data
meminjamkan	men pinjam kan
tuaku	tua aku
mencuci	men cuci
berbunga	ber bunga
bosnya	bos nya
arti	arti
aktor	aktor
lezatnya	lezat nya
rujukan	rujuk an
membunuhnya	men bunuh nya
merujuk	men rujuk
menganggur	men anggur
logo	logo
kupas	kupas
mempercayakan	men percaya kan
lontar	lontar
diperkenalkan	di per kenal kan
menangisi	men tangis i
menghapusnya	men hapus nya
merangsang	men rangsang
permintaannya	per minta an nya
artistik	artistik
merevisi	men revisi
berbadan	ber badan
pemasok	pen pasok
penengah	pen tengah
dikemukakan	di kemuka kan
menginginkan	men ingin kan
tulisan	tulis an
menghimpunkan	men himpun kan
menggemparkan	men gempar kan
hadirat	hadirat
terdiam	ter diam
web	web
tani	tani
reputasinya	reputasi nya
berbicara	ber bicara
dukung	dukung
renungan	renung an
sejenis	se jenis
membedakan	men beda kan
diangkat	di angkat
berkompromi	ber kompromi
peluncuran	pen luncur an
sektor	sektor
disiram	di siram
lelaki	lelaki
menambah	men tambah
jambu	jambu
menghiburku	men hibur ku
tempo	tempo
akumulasi	akumulasi
memasarkan	men pasar kan
dikorbankan	di korban kan
acuh	acuh
pemukimannya	pen mukim an nya
kepercayaannya	ke percaya an nya
semangat	semangat
permulaan	per mula an
ajar	ajar
pahitnya	pahit nya
dikontrak	di kontrak
reuni	reuni
pelantikan	pen lantik an
mencolok	men colok
lembar	lembar
perencanaan	pen rencana an
pemungutannya	pen pungut an nya
menyimpan	men simpan
refleksi	refleksi
perampok	pen rampok
dimiliki	di milik i
menembak	men tembak
tunjangan	tunjang an
panel	panel
antarpulau	antar pulau
beranggota	ber anggota
terkumpul	ter kumpul
memilihnya	men pilih nya
berkilauan	ber kilau an
mengaplikasikan	men aplikasi kan
ambil	ambil
investasi	investasi
hadiah	hadiah
dikonfirmasikan	di konfirmasi kan
dampaknya	dampak nya
mutakhir	mutakhir
terang	terang
perbuatanmu	per buat an mu
dipasarkan	di pasar kan
penanaman	pen tanam an
jajarannya	jajar an nya
isu	isu
kamus	kamus
pundak	pundak
tugas	tugas
mengeluarkan	men keluar kan
terhalangi	ter halang i
dasawarsa	dasawarsa
merintis	men rintis
berinovasi	ber inovasi
tni	tn i
pempublikasian	pen publikasi an
disusun	di susun
pengumpul	pen kumpul
minatnya	minat nya
bebas	bebas
diikutinya	di ikut i nya
melontarkan	men lontar kan
dikatakannya	di kata kan nya
tanganku	tangan ku
nuklir	nuklir
relevannya	relevan nya
muslimah	muslimah
dipercayakan	di percaya kan
pertanyaan	per tanya an
dimandatkan	di mandat kan
lantunan	lantun an
puding	puding
perbaikannya	per baik an nya
berdoa	ber doa
penimbunan	pen timbun an
sebotol	se botol
merekomendasi	men rekomendasi
politiknya	politik nya
berangin	ber angin
puji	puji
keterlibatannya	ke terlibat an nya
penerbang	pen terbang
mengusulkannya	men usul kan nya
mempermudah	men mudah
didata	di data
kelapanya	kelapa nya
membengkokkan	men bengkok kan
menyalahgunakannya	men salahguna kan nya
pelanggan	pen langgan
mengapung	men apung
menyejukkan	men sejuk kan
pemberantasan	pen berantas an
perbuatan	per buat an
separuh	se paruh
buntu	buntu
halal	halal
pengaudit	pen audit
rumput	rumput
organisasi	organisasi
stiker	stiker
terlewatnya	ter lewat nya
mendekatinya	men dekat i nya
mengoper	men koper
berargumentasi	ber argumentasi
sayap	sayap
bodohnya	bodoh nya
dibawanya	di bawa nya
tergantung	ter gantung
dipenjara	di penjara
olahragawan	olahraga wan
bersumber	ber sumber
lokalnya	lokal nya
baca	baca
persembahan	per sembah an
menegosiasikan	men negosiasi kan
mendoakan	men doa kan
penyelamatan	pen selamat an
jatuhnya	jatuh nya
keturunannya	ke turun an nya
tengkorak	tengkorak
permodalan	per modal an
abjad	abjad
derita	derita
petik	petik
arsitektur	arsitektur
sengit	sengit
dibukanya	di buka nya
omzet	omzet
terhibur	ter hibur
proyeksi	proyeksi
istrinya	istri nya
kontribusi	kontribusi
bersinar	ber sinar
sambungan	sambung an
penjara	penjara
meramaikan	men ramai kan
mendirikannya	men diri kan nya
dirombak	di rombak
muslihat	muslihat
pemdanya	pemda nya
menarifkan	men tarif kan
dibentuk	di bentuk
judi	judi
dieliminasi	di eliminasi
perancangan	pen rancang an
haknya	hak nya
mengingini	men ingin i
dikupas	di kupas
eksperimen	eksperimen
menghadang	men hadang
berbekal	ber bekal
secanggih	se canggih
firmanku	firman ku
menyangkal	men sangkal
pengeruk	pen keruk
mengejeknya	men ejek nya
terpenuhinya	men penuh i nya
bahtera	bahtera
ibadah	ibadah
bantuan	bantu an
lokal	lokal
bersifat	ber sifat
terakhir	ter akhir
sisa	sisa
tabir	tabir
paduan	padu an
lipat	lipat
menjunjung	men junjung
meregangkan	men regang kan
berat	berat
memperkarakan	men perkara kan
terjalin	ter jalin
suap	suap
terpisahkan	ter pisah kan
atom	atom
teknik	teknik
diluluskan	di lulus kan
sintetis	sintetis
meliput	men liput
gizinya	gizi nya
menggantungkan	men gantung kan
beragi	ber ragi
bertambahnya	ber tambah nya
penyembuhan	pen sembuh an
menjadi	men jadi
segan	segan
saudaraku	saudara aku
mencarikan	men cari kan
perawatannya	pen rawat an nya
pemodal	pen modal
membelanjakan	men belanja kan
penyelenggara	pen selenggara
penumpukan	pen tumpuk an
menyulitkan	men sulit kan
mengawasinya	men awas i nya
meletakkannya	men letak kan nya
ditunjukkannya	di tunjuk kan nya
menumpas	men tumpas
dermaganya	dermaga nya
melatihnya	men latih nya
pengajarannya	pen ajar an nya
antarsekolah	antar sekolah
mengantarnya	men antar nya
pemain	pen main
panik	panik
ayat	ayat
sapi	sapi
medan	medan
menyapa	men sapa
mencabut	men cabut
kuda	kuda
pungutnya	pungut nya
sehari	se hari
saingan	saing an
bergengsi	ber gengsi
rangkuman	rangkum an
mengulang	men ulang
antar	antar
menstimulasi	men stimulasi
pakai	pakai
berkomentar	ber komentar
meninjunya	men tinju nya
dicalonkan	di calon kan
badan	badan
beban	beban
terima	terima
diinginkan	di ingin kan
gajian	gaji an
mengaduk	men aduk
memberhentikan	men ber henti kan
merangkum	men rangkum
keponakan	keponakan
paksa	paksa
gerakan	gerak an
kalori	kalori
fasih	fasih
pelupa	pen lupa
dianggarkan	di anggar kan
nonpertaniannya	non per tani an nya
mempesona	men pesona
memperlihatkan	men lihat kan
mengajarku	men ajar ku
tiketnya	tiket nya
perjamuan	per jamu an
dihadiahi	di hadiah i
pembelian	pen beli an
psikologis	psikologis
kekasih	kekasih
bertahun	ber tahun
antardaerah	antar daerah
menangisinya	men tangis i nya
penyulingan	pen suling an
tandan	tandan
antarklub	antar klub
kentang	kentang
tentu	tentu
terpalang	ter palang
penakut	pen takut
setoran	setor an
kerasukan	ke rasuk an
dikhianati	di khianat i
tekun	tekun
hipotesis	hipotesis
kantornya	kantor nya
rohaninya	rohani nya
tunangan	tunang an
singa	singa
teguh	teguh
menopang	men topang
katalog	katalog
sampingan	samping an
diatur	di atur
melintasi	men lintas i
dicukur	di cukur
tetapnya	tetap nya
memindai	men pindai
diberikannya	di beri kan nya
ditanggapi	di tanggap i
menayangkan	men tayang kan
tembaga	tembaga
antarmitra	antar mitra
bangunan	bangun an
pengasinan	pen asin an
ibarat	ibarat
tersungkur	ter sungkur
suntik	suntik
bobot	bobot
libur	libur
kadaluarsa	kadaluarsa
dililit	di lilit
perawat	pen rawat
dilenyapkan	di lenyap kan
pelecehan	pen leceh an
berunjuk	ber unjuk
menyiarkannya	men siar kan nya
pengetahuannya	pengetahuan nya
mencampuri	men campur i
empunya	empunya
mereda	men reda
pbb	pbb
jemaat	jemaat
perkelahian	per kelahi an
pembantaian	pen bantai an
jasad	jasad
ajak	ajak
terbelit	ter belit
emosionalnya	emosional nya
pengamatan	pengamat an
diselesaikan	di selesai kan
diingatkan	di ingat kan
kuasa	kuasa
dewasanya	dewasa nya
kerah	kerah
bergemar	ber gemar
aktivis	aktivis
bulu	bulu
membungkuk	men bungkuk
mengisahkan	men kisah kan
lulus	lulus
popularitas	popularitas
mengijonkan	men ijon kan
siaran	siar an
sekeras	se keras
mempersingkat	men singkat
mengunjunginya	men kunjung i nya
kolaborasi	kolaborasi
bohong	bohong
meningkatnya	men tingkat nya
regulasi	regulasi
bab	bab
ditunjukan	di tunjuk an
fasilitas	fasilitas
paradigma	paradigma
rincian	rinci an
gunakan	guna kan
malaikat	malaikat
iri	iri
saya	saya
terkuno	ter kuno
resep	resep
tertolong	ter tolong
profesinya	profesi nya
kairo	kairo
jaksa	jaksa
laksanakan	laksana kan
kuotanya	kuota nya
komprehensif	komprehensif
anemia	anemia
tempuran	tempur an
rekonsiliasi	rekonsiliasi
penyemprot	pen semprot
rapuh	rapuh
salju	salju
menggemakan	men gema kan
muncul	muncul
pembeli	pen beli
bertetanggaan	ber tetangga an
pajak	pajak
dibilang	di bilang
mengatur	men atur
antardepartemen	antar departemen
pengkhianatan	pen khianat an
meneliti	men teliti
sebatang	se batang
membutuhkannya	men butuh kan nya
diangkutnya	di angkut nya
berharap	ber harap
senapan	senapan
transaksinya	transaksi nya
kulit	kulit
wartawan	wartawan
komisaris	komisaris
duta	duta
lupakan	lupa kan
giat	giat
bernegara	ber negara
persidangan	per sidang an
menyombongkan	men sombong kan
menyibukkan	men sibuk kan
ketidakpercayaan	ke tidak percaya an
serahkan	serah kan
dikeluarkan	di keluar kan
penambah	pen tambah
mengenai	men kena i
tukar	tukar
contohnya	contoh nya
fakta	fakta
ekspresi	ekspresi
turis	turis
sasaran	sasar an
duga	duga
bahasanya	bahasa nya
ditebang	di tebang
demo	demo
terdistribusikan	ter distribusi kan
dijemput	di jemput
klip	klip
kandang	kandang
hambatannya	hambat an nya
sewaktu	se waktu
uangnya	uang nya
ditumbuk	di tumbuk
memperebutkan	men rebut kan
analogi	analog i
industri	industri
mengartikan	men arti kan
pemberangkatannya	pen berangkat an nya
pendosa	pen dosa
peroleh	peroleh
penegakan	pen tegak an
matahari	matahari
tertunda	ter tunda
penyangga	pen sangga
tentara	tentara
kuadrat	kuadrat
komunitas	komunitas
pisaunya	pisau nya
dewan	dewan
mengejar	men kejar
didaur	di daur
berasas	ber asas
artian	arti an
pengetikan	pen ketik an
seminggu	se minggu
ditinjau	di tinjau
dukungannya	dukung an nya
efeknya	efek nya
menunjuk	men tunjuk
deputi	deputi
asramanya	asrama nya
pendingin	pen dingin
seiring	seiring
pakar	pakar
dibagi	di bagi
mei	mei
melindungi	men lindung i
tiket	tiket
pedihnya	pedih nya
dibaca	di baca
tren	tren
puncaknya	puncak nya
anggota	anggota
pesatnya	pesat nya
disalib	di salib
mencoreng	men coreng
perdana	perdana
kinerjanya	kinerja nya
musium	musium
menyambutku	men sambut ku
disentuh	di sentuh
lunas	lunas
terakomodasinya	ter akomodasi nya
fungsi	fungsi
jabar	jabar
ambisius	ambisius
diusir	di usir
terpercaya	ter percaya
karirnya	karir nya
bertolak	ber tolak
perobohan	pen roboh an
mahal	mahal
terindikasi	ter indikasi
alam	alam
diperhadapkan	di per hadap kan
keras	keras
tambah	tambah
pendekatannya	pen dekat an nya
koloni	koloni
anekdot	anekdot
diabaikannya	di abai kan nya
hadapan	hadap an
informan	informan
mengikatnya	men ikat nya
musiman	musim an
mendefinisikannya	men definisi kan nya
digariskan	di garis kan
lingkar	lingkar
dimakannya	di makan nya
membimbingnya	men bimbing nya
perdanya	perda nya
lingkaran	lingkar an
lawannya	lawan nya
monitor	monitor
diakumulasikan	di akumulasi kan
menggerebek	men gerebek
pengharapan	pen harap an
lompatan	lompat an
disipliner	disipliner
petunjuk	petunjuk
pengimplementasian	pen implementasi an
soda	soda
ikutannya	ikut an nya
plastik	plastik
bercirikan	ber ciri kan
curian	curi an
tali	tali
lembaga	lembaga
terdengar	ter dengar
penunjukkan	penunjukkan
didambakannya	di damba kan nya
didapatkan	di dapat kan
selimut	selimut
mengasihimu	men kasih i mu
karier	karier
istimewa	istimewa
khawatirkan	khawatir kan
beda	beda
menindaklanjutinya	men tindaklanjut i nya
pemicu	pen picu
kejam	kejam
tafsirannya	tafsir an nya
penalti	penalti
mengkonsumsi	men konsumsi
mendewakan	men dewa kan
diajar	di ajar
diserang	di serang
noda	noda
terserak	ter serak
kupelajari	ku pelajar i
dia	dia
poin	poin
dibenarkan	di benar kan
kelola	kelola
mencela	men cela
berlainan	ber lain an
min	min
peredaran	per edar an
kecilnya	kecil nya
mengurusi	men urus i
tenggelam	tenggelam
nurani	nurani
garam	garam
antartingkatan	antar tingkat an
komoditas	komoditas
visinya	visi nya
mengarahkanku	men arah kan ku
menghujat	men hujat
volumenya	volume nya
presentase	presentase
reporter	reporter
berantai	ber rantai
mengakomodasi	men akomodasi
mengklasifikasikan	men klasifikasi kan
gajinya	gaji nya
kiamat	kiamat
urgensi	urgensi
sejelas	se jelas
negeri	negeri
tersapu	ter sapu
terhimpun	ter himpun
akademik	akademik
menganiaya	men aniaya
bernaung	ber naung
pengeluarannya	pen keluar an nya
didera	di dera
lamban	lamban
layaknya	layak nya
dilukai	di luka i
penggajian	pen gaji an
puas	puas
nyata	nyata
harta	harta
berdenyut	ber denyut
pejabat	pejabat
berasumsi	ber asumsi
terbayang	ter bayang
berimbang	ber imbang
terheran	ter heran
politik	politik
bensin	bensin
menko	menko
ramalannya	ramal an nya
mengarungi	men karung i
membiarnya	men biar nya
pakaian	pakai an
perombakan	pen rombak an
ayahnya	ayah nya
beraninya	berani nya
menopangnya	men topang nya
dipilah	di pilah
mengguncangkan	men guncang kan
karunnya	karun nya
yusuf	yusuf
doaku	doa aku
interupsi	interupsi
bergerak	ber gerak
menggunting	men gunting
terakomodasi	ter akomodasi
pengunjung	pen kunjung
cuma	cuma
logam	logam
hikmatnya	hikmat nya
nonusaha	non usaha
melatarbelakanginya	men latarbelakang i nya
kebagian	ke bagi an
datang	datang
landai	landa i
mengenal	men kenal
izin	izin
menempati	men tempat i
sejenisnya	se jenis nya
diperlukannya	di perlu kan nya
dicanangkannya	di canang kan nya
pasif	pasif
ditafsirkan	di tafsir kan
pemakai	pen pakai
jantan	jantan
gembala	gembala
sabet	sabet
ditanggungnya	di tanggung nya
pengaduan	pen adu an
indah	indah
dicabut	di cabut
dijahit	di jahit
berkonsultasi	ber konsultasi
caranya	cara nya
didiktekan	di dikte kan
pelajar	pelajar
memaksimalkan	men maksimal kan
diampuni	di ampun i
menerimanya	men terima nya
pengintai	pen intai
merealisasikan	men realisasi kan
legenda	legenda
obatnya	obat nya
kejadianku	ke jadi an ku
dimotivasi	di motivasi
mencobai	men coba i
memaafkan	men maaf kan
programnya	program nya
dikenakannya	di kena kan nya
sayuran	sayur an
menetapkan	men tetap kan
merontokkan	men rontok kan
pemberontak	pen berontak
fondasi	fondasi
terpakai	ter pakai
dekat	dekat
tunjukkan	tunjuk kan
direspon	di respon
kurun	kurun
miliki	milik i
realitasnya	realitas nya
menggoyang	men goyang
menambang	men tambang
ratu	ratu
bergema	ber gema
dimanipulasi	di manipulasi
durian	duri an
meminimalisasi	men minimalisasi
daya	daya
pemikir	pen pikir
pendaftaran	pen daftar an
sombong	sombong
klorofil	klorofil
dilibatkan	di libat kan
mengentaskan	men entas kan
pendapatan	pen dapat an
melewati	men lewat i
dihabiskan	di habis kan
merefleksikan	men refleksi kan
pemadaman	pen madam an
blok	blok
menuntut	men tuntut
juruselamat	juruselamat
ilmuwan	ilmu wan
gugatan	gugat an
mengalihkan	men alih kan
kawasan	kawasan
disahkan	di sah kan
tenaganya	tenaga nya
bangunannya	bangun an nya
terdesentralisasi	ter desentralisasi
perantaraan	perantara an
rutin	rutin
pembaca	pen baca
mendata	men data
kusebut	ku sebut
berbaris	ber baris
lahir	lahir
stabil	stabil
menempatkan	men tempat kan
terlama	ter lama
aman	aman
riang	riang
dipegangnya	di pegang nya
airnya	air nya
menguatkan	men kuat kan
mengucilkan	men kucil kan
diinterogasi	di interogasi
mengikisnya	men kikis nya
perbantahan	per bantah an
berhadapan	ber hadap an
berhak	ber hak
rayakan	raya kan
dilantunkannya	di lantun kan nya
tangga	tangga
penutupnya	pen tutup nya
lamanya	lama nya
lahiran	lahir an
mendekati	men dekat i
kontraktornya	kontraktor nya
olah	olah
terpancar	ter pancar
putaran	putar an
berakhirnya	ber akhir nya
menyeleksi	men seleksi
merestui	men restu i
berpegang	ber pegang
liburan	libur an
pemborosan	pen boros an
merambah	men rambah
pamannya	paman nya
pemesanan	pen pesan an
berintensitas	ber intensitas
memprakarsai	men prakarsa i
merebut	men rebut
mencairkan	men cair kan
magnetis	magnetis
dimuliakan	di mulia kan
aceh	aceh
menginspirasi	men inspirasi
kandungan	kandung an
meragukan	men ragu kan
cengkeh	cengkeh
menyajikan	men saji kan
gemuruhnya	gemuruh nya
persaingan	per saing an
sukunya	suku nya
oktober	oktober
ditempatkan	di tempat kan
leluasa	leluasa
