nontarif	non tarif
dimengerti	di mengerti
tutur	tutur
tamunya	tamu nya
menampung	men tampung
pengerasan	pen keras an
rajaku	raja aku
pengucuran	pen kucur an
menggagalkan	men gagal kan
membanggakan	men bangga kan
menakjubkan	men takjub kan
dikaruniai	di karunia i
alur	alur
nonreguler	non reguler
dibariskan	di baris kan
himbauan	himbau an
bbm	bbm
mulianya	mulia nya
pesaingnya	pesaing nya
antarrumah	antar rumah
dipimpin	di pimpin
tampilan	tampil an
dicermati	di cermat i
privasi	privasi
bermalam	ber malam
timnya	tim nya
berinovasi	ber inovasi
sangkakala	sangkakala
dihapuskan	di hapus kan
rupiah	rupiah
berkata	ber kata
pencabutan	pen cabut an
perkiraan	per kira an
kisaran	kisar an
dilekatkan	di lekat kan
terselami	ter selam i
terdahulu	terdahulu
penilik	pen tilik
layanan	layan an
difasilitasi	di fasilitas i
jepang	jepang
berlimpah	ber limpah
memblok	men blok
penempatan	pen tempat an
dipelajarinya	di pelajar i nya
allahmu	allah mu
pengamanan	pen aman an
ambruknya	ambruk nya
seumpama	se umpama
penjelas	pen jelas
pelayannya	pen layan nya
muncul	muncul
mengetuai	men ketua i
sendirinya	sendiri nya
didesain	di desain
tercepat	ter cepat
disipliner	disipliner
perantaraan	perantara an
diterangkan	di terang kan
merobohkan	men roboh kan
deskripsi	deskripsi
mendapatkannya	men dapat kan nya
seyogyanya	se yogya nya
pelibatan	pen libat an
motivasinya	motivasi nya
memutar	men putar
bantu	bantu
dampingannya	damping an nya
anjuran	anjur an
topeng	topeng
keluh	keluh
terputus	ter putus
daunnya	daun nya
puding	puding
longgar	longgar
pandai	pandai
dusun	dusun
jasanya	jasa nya
sedetik	se detik
pencarian	pen cari an
menurunnya	men turun nya
bawahmu	bawah mu
asalan	asal an
bermartabat	ber martabat
menggelapkan	men gelap kan
asalnya	asal nya
teralihkan	ter alih kan
ketidakharmonisan	ke tidak harmonis an
sahabatku	sahabat ku
bahasanya	bahasa nya
mentri	mentri
kameranya	kamera nya
dimungkinkan	dimungkinkan
mengejutkan	men kejut kan
sedekah	sedekah
rambut	rambut
efektif	efektif
relevansi	relevansi
wawancara	wawancara
bercampur	ber campur
goreng	goreng
pengantarnya	pen antar nya
prinsipnya	prinsip nya
anyaman	anyam an
mencari	men cari
absah	absah
penyadaran	pen sadar an
kaosnya	kaos nya
menghapus	men hapus
menyimaknya	men simak nya
juni	juni
pempublikasian	pen publikasi an
sensor	sensor
obatan	obat an
tentu	tentu
kelihatan	ke lihat an
hamil	hamil
membikin	men bikin
bermutu	ber mutu
islam	islam
penerbangannya	pen terbang an nya
korban	korban
sukar	sukar
dideskripsikan	di deskripsi kan
berjajar	ber jajar
kelihatannya	ke lihat an nya
natur	natur
diharap	di harap
perenungan	pen renung an
kasar	kasar
pendapatnya	pen dapat nya
kucingnya	kucing nya
membereskan	men beres kan
formatnya	format nya
luapan	luap an
mengusung	men usung
tersendiri	ter sendiri
mendapatkan	men dapat kan
situ	situ
tergusur	ter gusur
terkendali	ter kendali
terperhatikan	ter perhatikan
perda	perda
memberinya	men beri nya
presentasi	presentasi
primer	primer
kunci	kunci
diberitakannya	di berita kan nya
harganya	harga nya
menyebar	men sebar
terpenting	ter penting
asisten	asisten
cocok	cocok
disuruh	di suruh
komoditas	komoditas
marah	marah
warnanya	warna nya
memikirkannya	men pikir kan nya
organik	organik
nakal	nakal
simpanan	simpan an
dia	dia
dampak	dampak
rantai	rantai
mengukir	men ukir
menghemat	men hemat
permintaannya	per minta an nya
bebuyutan	bebuyutan
hargai	harga i
pengungsian	pen ungsi an
pipa	pipa
sinar	sinar
rambutnya	rambut nya
tercela	ter cela
menyebrangi	men sebrang i
berinvestasi	ber investasi
penghalau	pen halau
rutinnya	rutin nya
menginginkannya	men ingin kan nya
aroma	aroma
persampahan	per sampah an
kutipan	kutip an
memeliharaku	men pelihara aku
mencatatkan	men catat kan
terhibur	ter hibur
pemikiran	pen pikir an
menahannya	men tahan nya
perekonomian	per ekonomi an
pengepakan	pen kepak an
sasarannya	sasar an nya
dirumahmu	di rumah mu
lalai	lalai
berguna	ber guna
pemilu	pemilu
lahir	lahir
diadakan	di ada kan
berniat	ber niat
menyimak	men simak
pelabuh	pen labuh
lawannya	lawan nya
pembangkit	pen bangkit
didiagnosa	di diagnosa
mengidentifikasi	men identifikasi
belanjaan	belanja an
mengkombinasikan	men kombinasi kan
oktober	oktober
menelepon	men telepon
aniaya	aniaya
pembaru	pen baru
doanya	doa nya
doktrin	doktrin
kupelajari	ku pelajar i
pertumbuhannya	per tumbuh an nya
diam	diam
menengah	men tengah
mencintai	men cinta i
perempuan	perempuan
tandan	tandan
representasi	representasi
pinggir	pinggir
bidannya	bidan nya
terlarut	ter larut
asian	asian
disayangkan	di sayang kan
mengarahkanku	men arah kan ku
penganiayaan	pen aniaya an
mengasihimu	men kasih i mu
pembagi	pen bagi
sepesawat	se pesawat
borong	borong
hewan	hewan
melayaninya	men layan i nya
makna	makna
layak	layak
didenda	di denda
mengakumulasi	men akumulasi
berbaring	ber baring
kayu	kayu
meteran	meter an
nonpertaniannya	non per tani an nya
donasi	donasi
biologis	biologis
memantaunya	men pantau nya
ditransaksikan	di transaksi kan
mengirim	men kirim
indera	indera
jarang	jarang
ditaruhnya	di taruh nya
diorganisasi	di organisasi
aula	aula
kontroversi	kontroversi
membahasnya	men bahas nya
tanah	tanah
gosip	gosip
investor	investor
suksesnya	sukses nya
hilangnya	hilang nya
diagendakan	di agenda kan
menjahit	men jahit
karakternya	karakteri nya
sama	sama
mekaniknya	mekanik nya
mengkonsultasikannya	men konsultasi kan nya
ditargetkan	di target kan
militernya	militer nya
rumahnya	rumah nya
mengusahakan	men usaha kan
hinaan	hina an
kuat	kuat
dilimpahkan	di limpah kan
membayarkan	men bayar kan
rohnya	roh nya
pedesaannya	pedesaan nya
menginginkan	men ingin kan
asalkan	asal kan
disiplin	disiplin
menikahkan	men nikah kan
girang	girang
tunangan	tunang an
merubah	men rubah
mencicipi	men cicip i
ditolong	di tolong
produksi	produksi
bertobat	ber tobat
neraca	neraca
bidikan	bidik an
penyehatan	pen sehat an
dikelompokkan	di kelompok kan
membacakan	men baca kan
menindaklanjuti	men tindaklanjut i
nama	nama
kuabaikan	ku abai kan
inginkan	ingin kan
melunasi	men lunas i
dinamis	dinamis
relevannya	relevan nya
pernapasan	per napas an
pemilikan	pen milik an
golongan	golong an
demonstran	demonstran
menimpanya	men timpa nya
persekutuannya	per sekutu an nya
rw	rw
inspirasi	inspirasi
turki	turki
isterimu	isteri mu
simpulkan	simpul kan
partisipasi	partisipasi
tiang	tiang
melewatkan	men lewat kan
melimpahi	men limpah i
serunya	seru nya
dijualnya	di jual nya
makannya	makan nya
dicurahkannya	di curah kan nya
kapnya	kap nya
sedekahmu	sedekah mu
menua	men tua
gas	gas
diminum	di minum
makanan	makan an
kokpit	kokpit
kambing	kambing
berpawai	ber pawai
tuamu	tua mu
peranan	peran an
wabah	wabah
tenang	tenang
mengerahkan	men kerah kan
terjun	terjun
menuntun	men tuntun
hak	hak
pajaknya	pajak nya
yusuf	yusuf
selengkap	se lengkap
diharapkannya	di harap kan nya
penulisannya	pen tulis an nya
disajikan	di saji kan
ceritakan	cerita kan
mil	mil
saham	saham
belah	belah
menanggulanginya	men tanggulang i nya
diemban	di emban
membakar	men bakar
biolanya	biola nya
kosmetik	kosmetik
analis	analis
beasiswa	beasiswa
semenarik	se menarik
radikal	radikal
diciumnya	di cium nya
berusaha	ber usaha
pelikan	pelik an
menghitung	men hitung
terhalangi	ter halang i
kuhadapi	ku hadap i
mengobati	men obat i
menyusun	men susun
obsesi	obsesi
membesarkan	men besar kan
satelit	satelit
membosankan	men bosan kan
dilingkupi	di lingkup i
berbisnis	ber bisnis
anjloknya	anjlok nya
terdalamnya	ter dalam nya
diaksesnya	di akses nya
sekolahnya	sekolah nya
antartahun	antar tahun
ditaklukkan	di takluk kan
melapor	men lapor
absensi	absensi
neneknya	nenek nya
perkataannya	per kata an nya
tunggangan	tunggang an
asean	asean
terganggu	ter ganggu
berkilau	ber kilau
berpengetahuan	ber pengetahuan
akte	akte
bersih	bersih
dadanya	dada nya
perlawanan	per lawan an
antarprovinsi	antar provinsi
pemberkasan	pen berkas an
berpuasa	ber puasa
pematang	pen matang
liciknya	licik nya
terungkapkan	ter ungkap kan
berfungsinya	ber fungsi nya
peraturannya	per atur an nya
yahudi	yahudi
polos	polos
dokter	dokter
penyampaian	pen sampai an
rekaman	rekam an
digital	digital
diagnosa	diagnosa
balas	balas
lampiran	lampir an
hasilnya	hasil nya
menghubungi	men hubung i
pengangkat	pen angkat
melupakan	men lupa kan
mendasarkan	men dasar kan
telpon	telpon
kaki	kaki
kupikir	ku pikir
dicarinya	di cari nya
penciumannya	pen cium an nya
perundingan	pen runding an
pendapatannya	pen dapat an nya
terlatih	ter latih
luntur	luntur
pergelangan	per gelang an
mendapatinya	men dapat i nya
cap	cap
berkulit	ber kulit
ketanggapan	ke tanggap an
ditinggal	di tinggal
diagunkan	di agun kan
diperintahkan	di perintah kan
dibuktikan	di bukti kan
murah	murah
sengit	sengit
terpuruknya	ter puruk nya
dikhawatirkannya	di khawatir kan nya
insentif	insentif
dicirikan	di ciri kan
reka	reka
terukir	ter ukir
bersepeda	ber sepeda
mencermati	men cermat i
koperasi	koperasi
penggugah	pen gugah
merangsang	men rangsang
jawab	jawab
pendengarnya	pen dengar nya
motivasi	motivasi
jaminannya	jamin an nya
ditukar	di tukar
pungut	pungut
meletusnya	men letus nya
tercetak	ter cetak
berkendara	ber kendara
max	max
persetujuannya	per setuju an nya
serangkaian	se rangkaian
ditempati	di tempat i
penulisan	pen tulis an
beruntun	beruntun
saleh	saleh
diumpankan	di umpan kan
cengkehnya	cengkeh nya
luangkan	luang kan
kronis	kronis
antarlembaga	antar lembaga
mengatasinya	men atas i nya
tersingkap	ter singkap
curian	curi an
menyibukkan	men sibuk kan
memaksakan	men paksa kan
mengubah	men ubah
kuatnya	kuat nya
balon	balon
belakangmu	belakang mu
stadion	stadion
bunganya	bunga nya
dimaksimalkan	di maksimal kan
mengkompromikan	men kompromi kan
dewa	dewa
minta	minta
pemakai	pen pakai
diamanatkan	di amanat kan
usahakan	usaha kan
kamus	kamus
substansi	substansi
interaksi	interaksi
dibukanya	di buka nya
berbelok	ber belok
mencabut	men cabut
dibuatkan	di buat kan
mengimunisasi	men imunisasi
pejuang	pejuang
wilayah	wilayah
sepihak	se pihak
digenggam	di genggam
dihina	di hina
bersabda	ber sabda
dimanipulasi	di manipulasi
rekrut	rekrut
menjamur	men jamur
penggembalaan	pen gembala an
penuh	penuh
penggaris	pen garis
konsumen	konsumen
meledak	men ledak
bertanda	ber tanda
bidikannya	bidik an nya
berbincang	ber bincang
mikroskop	mikroskop
talak	talak
mantan	mantan
statistik	statistik
pengorbanannya	pen korban an nya
mekar	mekar
pembenci	pen benci
berharganya	ber harga nya
aksara	aksara
rumahmu	rumah mu
topinya	top i nya
terparah	ter parah
nyanyian	nyanyi an
mengoreksi	men koreksi
pengaduannya	pen adu an nya
hadapan	hadap an
terpancar	ter pancar
penyamaran	pen samar an
mengklaim	men klaim
pelajar	pelajar
ditelepon	di telepon
tuduhan	tuduh an
tips	tips
berwilayah	ber wilayah
tindakannya	tindak an nya
ketidaktransparanan	ke tidak transparan an
berdampingan	ber damping an
kereta	kereta
dirumahkan	di rumah kan
memperkenalkan	men kenal kan
farmasi	farmasi
diyakininya	di yakin i nya
sebal	sebal
menagih	men tagih
berumput	ber rumput
perangkap	pen rangkap
pangkuannya	pangku an nya
membuat	men buat
terletak	ter letak
ejekan	ejek an
sempurnanya	sempurna nya
bantahan	bantah an
lapang	lapang
pilih	pilih
bersenjatakan	ber senjata kan
kucilkan	kucil kan
menangisinya	men tangis i nya
denda	denda
terencana	ter rencana
bergiat	ber giat
jemaat	jemaat
wibawa	wibawa
dimakamkan	di makam kan
diikutinya	di ikut i nya
penebal	pen tebal
merambat	men rambat
dibohongi	di bohong i
berkeluh	ber keluh
bersukacita	ber sukacita
denpasar	denpasar
bakatnya	bakat nya
memburuknya	men buruk nya
kejutan	kejut an
telinga	telinga
terpahat	ter pahat
jasad	jasad
metrik	metrik
risikonya	risiko nya
pakaiannya	pakai an nya
firmanku	firman ku
menyuntikkan	men suntik kan
tembaga	tembaga
optimalisasi	optimalisasi
bertolak	ber tolak
berpenumpang	ber pen tumpang
penghentian	pen henti an
muatan	muat an
dagangan	dagang an
kawasan	kawasan
berkeinginan	ber ke ingin an
mengemuka	men kemuka
dirancang	di rancang
urgensi	urgensi
realistis	realistis
mengandalkan	men andal kan
tambah	tambah
penghujat	pen hujat
kalender	kalender
memenuhinya	men penuh i nya
mempublikasikannya	men publikasi kan nya
ide	ide
bea	bea
penakluk	pen takluk
susah	susah
postingan	posting an
spesifik	spesifik
dihibur	di hibur
perekam	pen rekam
beririgasi	ber irigasi
agroindustri	agroindustri
seenaknya	se enak nya
buatan	buat an
diwawancarai	di wawancara i
memveto	men veto
meringkaskan	men ringkas kan
serapan	serap an
disebutnya	di sebut nya
efektivitas	efektivitas
pelestarian	pen lestari an
raih	raih
ala	ala
tepi	tepi
strukturnya	struktur nya
alokasi	alokasi
pengawas	pen awas
skenario	skenario
penerbangan	pen terbang an
pengungsi	pen ungsi
mereview	men review
pengajar	pen ajar
berlantai	ber lantai
as	as
berkebalikan	ber ke balik an
memuncak	men puncak
pertandingannya	per tanding an nya
diubahkan	di ubah kan
mengharmoniskan	men harmonis kan
potong	potong
sepatah	se patah
pria	pria
mengikatnya	men ikat nya
memperkarakan	men perkara kan
dipenuhi	di penuh i
tercipta	ter cipta
diharuskan	di harus kan
pidatonya	pidato nya
menyumbangkan	men sumbang kan
pertukangan	per tukang an
terkuat	ter kuat
anak	anak
pemerintahan	pen perintah an
arahnya	arah nya
perdarahan	per darah an
spesialis	spesialis
merepresentasikan	men representasi kan
bakaran	bakar an
lini	lini
tuntas	tuntas
dikoleksi	di koleksi
harta	harta
spanyol	spanyol
rekening	rekening
deputi	deputi
display	display
tunjukkan	tunjuk kan
ketidakefisienan	ke tidak efisien an
penganggur	pen anggur
tata	tata
lihat	lihat
omzet	omzet
memperlihatkan	men lihat kan
berkerabat	ber kerabat
dicalonkan	di calon kan
perunggu	perunggu
mandat	mandat
senin	senin
aspirasi	aspirasi
dianugerahi	di anugerah i
mengalokasi	men alokasi
membanting	men banting
terwujudnya	ter wujud nya
mendarat	men darat
membungkuk	men bungkuk
sebagus	se bagus
menonjol	men tonjol
menyapanya	men sapa nya
penelitiannya	pen teliti an nya
tempuhnya	tempuh nya
tampil	tampil
kandungmu	kandung mu
tersobek	ter sobek
diberitahukan	di beritahu kan
disebarkan	di sebar kan
prospeknya	prospek nya
rekannya	rekan nya
mendeskripsikan	men deskripsi kan
akomodasi	akomodasi
mengasuransi	men asuransi
perabotan	perabot an
penjaminan	pen jamin an
kepalanya	kepala nya
nasabah	nasabah
menghambakan	men hamba kan
percontohan	per contoh an
menyinergikannya	men sinergi kan nya
diciptakan	di cipta kan
aneh	aneh
terdepan	ter depan
berteman	ber teman
memberiku	men beri ku
kasi	kas i
benua	benua
racun	racun
terkutuk	ter kutuk
mengeluhkan	men keluh kan
tipe	tipe
pencapaiannya	pen capai an nya
ganti	ganti
diujicobakan	di ujicoba kan
koleksinya	koleksi nya
berhitung	ber hitung
patuh	patuh
penerbitan	pen terbit an
bertingkah	ber tingkah
campuran	campur an
membayangi	men bayang i
penjamuran	pen jamur an
akademis	akademis
melupakannya	men lupa kan nya
frekuensinya	frekuensi nya
perbuatanmu	per buat an mu
titik	titik
nyamuk	nyamuk
dindingnya	dinding nya
bersintesis	ber sintesis
khawatir	khawatir
pemukiman	pen mukim an
diteruskan	di terus kan
pelacakan	pen lacak an
definisi	definisi
mengajari	men ajar i
penanda	pen tanda
unggulannya	unggul an nya
digadai	di gadai
federal	federal
berlanjutnya	ber lanjut nya
strata	strata
ditempuh	di tempuh
geografis	geografis
seismik	seismik
arsitektur	arsitektur
ditampung	di tampung
sejuk	sejuk
abdikan	abdi kan
argumentasi	argumentasi
kejatuhan	ke jatuh an
penyetoran	pen setor an
rohani	rohani
pemda	pemda
melanggar	men langgar
menerjemahkannya	men terjemah kan nya
pesertanya	peserta nya
penarikan	pen tarik an
kupas	kupas
kendali	kendali
mapan	mapan
imam	imam
keandalan	ke andal an
salinannya	salin an nya
memprediksi	men prediksi
menuliskan	men tulis kan
pengenalan	pen kenal an
terekspresikan	ter ekspresi kan
bertekad	ber tekad
bergembira	ber gembira
menangis	men tangis
kepunyaan	ke punya an
zamannya	zaman nya
relevan	relevan
mencalonkan	men calon kan
berpacu	ber pacu
berasumsi	ber asumsi
sirip	sirip
menambang	men tambang
pindah	pindah
sadari	sadar i
menginstruksikan	men instruksi kan
setimpal	setimpal
barat	barat
dijumpai	di jumpa i
capaiannya	capai an nya
resepnya	resep nya
melebur	men lebur
bunyi	bunyi
kira	kira
disalib	di salib
kebobolan	ke bobol an
cakap	cakap
dilelang	di lelang
tersier	tersier
sukarelawan	sukarela wan
jiwanya	jiwa nya
pertanggungan	per tanggung an
jabatan	jabat an
lingkup	lingkup
mengusik	men usik
jiwaku	jiwa aku
berperilaku	ber perilaku
gedung	gedung
kunjungannya	kunjung an nya
menginterpretasikannya	men interpretasi kan nya
awal	awal
penanganan	pen tangan an
sinerginya	sinergi nya
bersedia	ber sedia
tuduh	tuduh
minoritas	minoritas
pengalihan	pen alih an
fakultas	fakultas
penggemukan	pen gemuk an
antikomunis	anti komunis
populasi	populasi
mengakhirinya	men akhir i nya
unik	unik
prosedur	prosedur
dieksekusi	di eksekusi
inovatif	inovatif
pelabuhannya	pen labuh an nya
akurasi	akurasi
periang	pen riang
aparatnya	aparat nya
penerangan	pen terang an
persneling	persneling
menipisnya	men tipis nya
mengambilnya	men ambil nya
terpasang	ter pasang
menyepelekan	men sepele kan
asosiasi	asosiasi
lumpuh	lumpuh
jurus	jurus
didalam	di dalam
menjangkiti	men jangkit i
penanaman	pen tanam an
mengemukakan	men kemuka kan
ditelanjangi	di telanjang i
diatasnya	di atas nya
strategis	strategis
diagram	diagram
menugasi	men tugas i
mengagendakan	men agenda kan
ramainya	ramai nya
resiko	resiko
mendiskusikan	men diskusi kan
pahatan	pahat an
bapa	bapa
pegangan	pegang an
kembali	kembali
komitmennya	komitmen nya
empuk	empuk
karyanya	karya nya
terhenti	ter henti
sukacita	sukacita
bungkus	bungkus
mengukuhkan	men kukuh kan
dipermasalahkan	di per masalah kan
abu	abu
inisial	inisial
berimplikasi	ber implikasi
wawasannya	wawasan nya
secanggih	se canggih
bicarakan	bicara kan
mencirikan	men ciri kan
berlumur	ber lumur
terpana	terpana
mereduksi	men reduksi
pujikan	puji kan
memaksimalkan	men maksimal kan
bersumpah	ber sumpah
halus	halus
disucikan	di suci kan
dijembatani	di jembatan i
nyaman	nyaman
penyelesai	pen selesai
keharusan	ke harus an
kejam	kejam
ditugaskan	di tugas kan
santrinya	santri nya
berdamai	ber damai
investasi	investasi
jelasnya	jelas nya
mengacaukan	men kacau kan
pembedaan	pen beda an
meredam	men redam
pedihnya	pedih nya
luasan	luas an
lanjut	lanjut
teduh	teduh
abad	abad
diinginkan	di ingin kan
penghalang	pen halang
dibanyak	di banyak
pengiring	pen iring
milik	milik
deregulasi	deregulasi
ajaranmu	ajar an mu
putrinya	putri nya
united	united
terbunuhnya	ter bunuh nya
mendefinisikannya	men definisi kan nya
sukacitamu	sukacita mu
diucapkan	di ucap kan
meringkas	men ringkas
biasa	biasa
memberantas	men berantas
segel	segel
diharapkan	di harap kan
diperpanjang	di per panjang
terdengar	ter dengar
mengkomunikasikannya	men komunikasi kan nya
penerimanya	pen terima nya
mengalir	men alir
ditampar	di tampar
wc	wc
radio	radio
otonomi	otonomi
pengendali	pen kendali
injil	injil
sibuk	sibuk
ribut	ribut
karier	karier
kampung	kampung
seisi	se isi
dibawahinya	di bawah i nya
bertemakan	ber tema kan
penyebaran	pen sebar an
pariwisata	pariwisata
perzinaan	per zina an
berlatar	ber latar
rujukan	rujuk an
terendah	ter rendah
dipegangnya	di pegang nya
terpetakan	ter peta kan
pangsa	pangsa
memaknai	men makna i
memberatkan	men berat kan
dipaparkan	di papar kan
profesionalisme	profesionalisme
tuanku	tuan ku
repotnya	repot nya
tenun	tenun
gayanya	gaya nya
tetap	tetap
lamaran	lamar an
bak	bak
berproduksi	ber produksi
tamu	tamu
berjubahkan	ber jubah kan
berair	ber air
pengaturnya	pen atur nya
memprotes	men protes
mengingini	men ingin i
besarnya	besar nya
informan	informan
kusebut	ku sebut
lutut	lutut
obatnya	obat nya
modern	modern
terjual	ter jual
dipatuhi	di patuh i
membuang	men buang
depkeu	depkeu
keberangkatannya	ke berangkat an nya
parit	parit
menafsirkan	men tafsir kan
disalahkan	di salah kan
gelar	gelar
yupiter	yupiter
sukarela	sukarela
petisi	petisi
otak	otak
sederhana	sederhana
televisi	televisi
dini	din i
penghubung	pen hubung
merusak	men rusak
tajam	tajam
pandu	pandu
pertunjukan	per tunjuk an
menyandarkan	men sandar kan
walikota	walikota
diseimbangkan	di seimbang kan
memberhentikan	men ber henti kan
organisasi	organisasi
ingat	ingat
ketidakpedulian	ke tidak peduli an
bantal	bantal
dioptimalkan	di optimal kan
dilabuhkan	di labuh kan
mendelegasikan	men delegasi kan
disidang	di sidang
mengganggu	men ganggu
terorganisir	ter organisir
terpentingnya	ter penting nya
penjudi	pen judi
penyediaan	pen sedia an
larut	larut
perjamuan	per jamu an
gundul	gundul
automotif	automotif
bernoda	ber noda
perbuatan	per buat an
berpandangan	ber pandang an
tertancap	ter tancap
didengungkan	di dengung kan
noninfrastruktur	non infrastruktur
meninggalnya	men tinggal nya
prevalensi	prevalensi
dekatnya	dekat nya
disaksikan	di saksi kan
izin	izin
telanjang	telanjang
bawang	bawang
mengalihkan	men alih kan
premi	premi
gaul	gaul
permennya	permen nya
meregangkan	men regang kan
alias	alias
fosil	fosil
les	les
stiker	stiker
dikehendaki	di kehendak i
berbunga	ber bunga
direndahkan	di rendah kan
kawannya	kawan nya
produser	produser
fajar	fajar
mensahkan	men sah kan
digendong	di gendong
kuatkan	kuat kan
sahabatnya	sahabat nya
menyerahkannya	men serah kan nya
setangkai	se tangkai
usulkan	usul kan
penciptaan	pen cipta an
pengemis	pen kemis
menyucikan	men suci kan
independensinya	independensi nya
lulusan	lulus an
bubungan	bubung an
dekonsentrasi	dekonsentrasi
nada	nada
loncatan	loncat an
peka	peka
supervisi	supervisi
persekolahan	per sekolah an
memangkas	men pangkas
menyuarakan	men suara kan
membicarakan	men bicara kan
warisan	waris an
mencuci	men cuci
privat	privat
memaksa	men paksa
sukses	sukses
membohongi	men bohong i
membenci	men benci
pembunuh	pen bunuh
penghakiman	pen hakim an
legislasi	legislasi
pengeboran	pengeboran
menduduki	men duduk i
melanjutkan	men lanjut kan
layanannya	layan an nya
memperparah	men parah
digolongkan	di golong kan
lampu	lampu
pembidiknya	pen bidik nya
keluhannya	keluh an nya
kala	kala
mencondongkan	men condong kan
memedulikan	men peduli kan
melandasi	men landas i
susukan	susu kan
lembut	lembut
seiman	se iman
kenal	kenal
risiko	risiko
menggeser	men geser
dibersihkan	di bersih kan
membebaskan	men bebas kan
minimum	minimum
divalidasi	di validasi
mengharapkan	men harap kan
asas	asas
mencium	men cium
takaran	takar an
pengidentifikasian	pen identifikasi an
nasional	nasional
meletakkan	men letak kan
industri	industri
studi	studi
memukulnya	men pukul nya
saudaranya	saudara nya
menyelenggarakannya	men selenggara kan nya
terbawah	ter bawah
dilacak	di lacak
berpaling	ber paling
talentanya	talenta nya
wakili	wakil i
akuntabilitas	akuntabilitas
pengurusannya	pen urus an nya
didiskusikan	di diskusi kan
dibekali	di bekal i
perang	perang
komentar	komentar
pembinaan	pen bina an
gran	gr an
karya	karya
waris	waris
terluas	ter luas
mengganti	men ganti
tercoreng	ter coreng
darahku	darah ku
dilupakannya	di lupa kan nya
pendapat	pen dapat
pengering	pen kering
subur	subur
penyelamatan	pen selamat an
program	program
terutang	ter utang
ditekel	di tekel
kukira	ku kira
diikutsertakannya	di ikutserta kan nya
dilewati	di lewat i
terlupakan	ter lupa kan
pekerjaannya	pekerja an nya
konsentrasi	konsentrasi
cerah	cerah
menjalin	men jalin
permukiman	per mukim an
oposisi	oposisi
peran	peran
menyaksikan	men saksi kan
peroleh	peroleh
penderita	pen derita
posisi	posisi
mengangsur	men angsur
peliharaannya	pelihara an nya
pemandu	pen pandu
berharap	ber harap
ibunya	ibu nya
tandatangani	tandatangan i
bimbang	bimbang
bermusyawarah	ber musyawarah
komoditasnya	komoditas nya
kecewa	kecewa
membutakan	men buta kan
hiburan	hibur an
lisan	lisan
diangkut	di angkut
tembakan	tembak an
mempublikasikan	men publikasi kan
sapu	sapu
menghadapi	men hadap i
frekuensi	frekuensi
pengirimannya	pen kirim an nya
bercermin	ber cermin
mengisyaratkan	men isyarat kan
pasarnya	pasar nya
pendistribusiannya	pen distribusi an nya
urus	urus
pembina	pen bina
terbebani	ter beban i
diilhamkan	di ilham kan
melaksanakannya	men laksana kan nya
cuma	cuma
administratifnya	administratif nya
menggugah	men gugah
sulitnya	sulit nya
pendiri	pen diri
gelandangan	gelandang an
cobaan	coba an
mengantarnya	men antar nya
berkeadilan	ber ke adil an
terbelit	ter belit
bobroknya	bobrok nya
kode	kode
dampaknya	dampak nya
menyanyi	men nyanyi
dipalsukan	di palsu kan
diantisipasi	di antisipasi
selepas	se lepas
kiranya	kira nya
luput	luput
perhatianku	per hati an ku
dipanggang	di panggang
didaur	di daur
dijadikan	di jadi kan
retak	retak
nonanggota	non anggota
kehendakku	kehendak ku
letih	letih
menyambutnya	men sambut nya
diasingkan	di asing kan
nonkonsumsi	non konsumsi
digalakkan	di galak kan
nonharga	non harga
penengah	pen tengah
metodologi	metodologi
hormat	hormat
menyangkanya	men sangka nya
menang	menang
dukun	dukun
provinsi	provinsi
tantangannya	tantang an nya
mengajarkan	men ajar kan
diterapkan	di terap kan
nelayan	nelayan
penyelamat	pen selamat
pencacahan	pen cacah an
berdiri	ber diri
penyeleksian	pen seleksi an
mengukur	men ukur
membiarnya	men biar nya
memudahkan	men mudah kan
suram	suram
suntikan	suntik an
pembeli	pen beli
ajaran	ajar an
ayam	ayam
terbenam	ter benam
menjejali	men jejal i
musuh	musuh
ulang	ulang
kabarkan	kabar kan
kemunculan	ke muncul an
seumur	se umur
bencana	bencana
berseru	ber seru
buruannya	buru an nya
fasih	fasih
alas	alas
kontraktor	kontraktor
trendi	trend i
cicilan	cicil an
mencapai	men capai
absolut	absolut
pengarah	pen arah
menyatakannya	men nyata kan nya
kabarnya	kabar nya
peminat	pen minat
ladang	ladang
melunasinya	men lunas i nya
prestasi	prestasi
bergosip	ber gosip
ketidakterbukaan	ke tidak terbuka an
daur	daur
maksimal	maksimal
perkampungan	per kampung an
validitas	validitas
perkaretan	per karet an
memuliakan	men mulia kan
jadwal	jadwal
berbaris	ber baris
dikeringkan	di kering kan
ban	ban
ikat	ikat
membuatnya	men buat nya
menyelesaikannya	men selesai kan nya
regenerasi	regenerasi
memburuk	men buruk
anunya	anu nya
penangkapan	pen tangkap an
upah	upah
pemberantasan	pen berantas an
menggunung	men gunung
penalarannya	pen nalar an nya
mengasumsikan	men asumsi kan
kelamin	kelamin
busana	busana
kalung	kalung
dihitung	di hitung
perkantoran	per kantor an
seadanya	se ada nya
permohonan	per mohon an
menuding	men tuding
adidaya	adidaya
didapatkan	di dapat kan
serukan	seru kan
ketidaksuburan	ke tidak subur an
ampun	ampun
kekasih	kekasih
klip	klip
diindonesiakan	di indonesia kan
memasukkan	men masuk kan
mengekspor	men ekspor
